taxon,growthForm,guild,trophicMode,confidenceRanking,n_assemblies
Calocybe gambosa,Agaricoid,Undefined Saprotroph,Saprotroph,Probable,1
Calonectria,Microfungus,|Plant Pathogen|,Pathotroph,Probable,17
Caloplaca,Thallus,|Lichenized|,Symbiotroph,Highly Probable,3
Calvatia,Gasteroid,|Undefined Saprotroph|,Saprotroph,Probable,1
Calycina,Microfungus,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Camillea,Microfungus,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Camptophora,Microfungus,Endophyte-|Epiphyte|,Symbiotroph,Probable,1
Canariomyces,Microfungus,Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,2
Candelaria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Candelina,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Candida,Dimorphic Yeast-Yeast,Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,98
Candida aaseri,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida albicans,Dimorphic Yeast,Animal Pathogen,Pathotroph,Highly Probable,1
Candida auris,Dimorphic Yeast,Animal Pathogen,Pathotroph,Highly Probable,1
Candida blankii,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida boleticola,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida caryicola,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida chilensis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida diddensiae,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida dubliniensis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida entomophila,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida glaebosa,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida incommunis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida insectalens,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida insectorum,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida intermedia,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida membranifaciens,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida mesenterica,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida metapsilosis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida mucifera,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida oleophila,Dimorphic Yeast,Epiphyte,Symbiotroph,Probable,1
Candida orthopsilosis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida parapsilosis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Highly Probable,1
Candida railenensis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida ruelliae,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida saitoana,Dimorphic Yeast,Epiphyte,Symbiotroph,Probable,1
Candida sake,Dimorphic Yeast,Epiphyte,Symbiotroph,Probable,1
Candida santamariae,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida savonica,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida sequanensis,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida silvatica,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida sophiae-reginae,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Candida tropicalis,Dimorphic Yeast,Animal Pathogen-Endophyte-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Candida zeylanoides,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Cantharellus,Agaricoid-Cantherelloid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,3
Capillidium,Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Capniomyces,Microfungus,|Animal Symbiotroph|,Symbiotroph,Probable,1
Capronia,Dimorphic-Facultative Yeast,Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,2
Catenaria,Chytrid-Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Caulochytrium,Chytrid-Microfungus,|Fungal Parasite|,Pathotroph,Probable,1
Celoporthe,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Cenococcum,Microfungus,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Cephaloascus,Yeast,Fungal Parasite-Insect Parasite-Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,2
Cephalotrichum,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Ceraceosorus,Microfungus,Epiphyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Probable,2
Ceratobasidium,Corticioid-Microfungus,Ectomycorrhizal-Endomycorrhizal-Orchid Mycorrhizal-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,14
Ceratocystiopsis,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,3
Ceratocystis,Microfungus,Endophyte-|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,25
Ceratocystis adiposa,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ceratocystis fimbriata,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ceratorhiza,Corticioid,Ectomycorrhizal-Orchid Mycorrhizal-Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Cercophora,Microfungus,|Dung Saprotroph|,Saprotroph,Highly Probable,4
Cercospora,Microfungus,|Plant Pathogen|,Pathotroph,Probable,6
Cercospora apii,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Cercospora beticola,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora brassicicola,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora canescens,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora citrullina,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora janseana,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora kikuchii,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora nicotianae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora sojina,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cercospora zeae-maydis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cerioporus,Polyporoid,|Wood Saprotroph|,Saprotroph,Probable,1
Ceriporiopsis,Corticioid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Cerrena,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Cetradonia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Cetraspora,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,1
Chaenotheca,Calicioid-Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Chaetomella,Microfungus,Endophyte-|Plant Saprotroph|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,1
Chaetomiaceae,Microfungus,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,5
Chaetomidium,Microfungus,|Dung Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Chaetomium,Microfungus,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,7
Chaetomium globosum,Microfungus,Dung Saprotroph-Endophyte-Epiphyte-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Chaetoscypha,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Chalara,Microfungus,Endophyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Chalaropsis,Microfungus,Endophyte-|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,1
Chalaropsis thielavioides,NULL,Plant Pathogen,Pathotroph,Probable,1
Chalciporus,Agaricoid-Boletoid,Ectomycorrhizal-|Fungal Parasite|,Pathotroph-Symbiotroph,Possible,6
Chalciporus piperatus,Boletoid,Fungal Parasite,Pathotroph,Highly Probable,1
Chiua,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,2
Chlamydoabsidia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Chlorencoelia,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Chloridium,Microfungus,Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,1
Chlorociboria,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Chlorociboria aeruginosa,Microfungus,Wood Saprotroph,Saprotroph,Probable,1
Chlorophyllum,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Choanephora cucurbitarum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Choiromyces,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Chondrostereum,Corticioid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Chroogomphus,Agaricoid,|Ectomycorrhizal|-Fungal Parasite,Pathotroph-Symbiotroph,Probable,1
Chrysoporthe,Microfungus,|Plant Pathogen|,Pathotroph,Probable,6
Chrysosporium keratinophilum,NULL,Animal Pathogen,Pathotroph,Probable,1
Chrysosporium queenslandicum,NULL,Animal Pathogen,Pathotroph,Probable,1
Chrysothrix,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Chytridium,Chytrid-Microfungus,|Algal Parasite|-Algal Symbiotroph-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Chytriomyces,Chytrid-Microfungus,Algal Parasite-Fungal Parasite-Plant Saprotroph-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,4
Ciboria,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Ciborinia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Circinella,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,2
Cirrosporium,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Citeromyces,Yeast,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,3
Citeromyces matritensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Cladobotryum,Microfungus,|Fungal Parasite|,Pathotroph,Highly Probable,1
Cladobotryum mycophilum,Microfungus,Fungal Parasite,Pathotroph,Highly Probable,1
Cladochytrium,Chytrid-Microfungus,Algal Saprotroph-Plant Pathogen-|Plant Saprotroph|,Pathotroph-Saprotroph,Probable,1
Cladochytrium replicatum,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Cladonia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,8
Cladophialophora,Dimorphic-Microfungus,Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,5
Cladophialophora bantiana,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Cladophialophora carrionii,Microfungus,Animal Pathogen-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Cladophialophora chaetospira,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Cladorrhinum,Microfungus,Animal Pathogen-Dung Saprotroph-Endophyte-Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,3
Cladosporiaceae,Microfungus,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,1
Cladosporium,Microfungus,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,13
Cladosporium antarcticum,Microfungus,Lichen Parasite,Pathotroph,Possible,1
Cladosporium cladosporioides,Microfungus,Endophyte-Epiphyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Cladosporium cucumerinum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cladosporium oxysporum,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Cladosporium phlei,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Cladosporium sphaerospermum,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Cladosporium tenuissimum,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Clarireedia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,5
Clarireedia homoeocarpa,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Clarireedia jacksonii,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Clarireedia monteithiana,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Clathrospora,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Clathrus,Clathroid,|Undefined Saprotroph|,Saprotroph,Probable,1
Claussenomyces,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Clavaria,Clavarioid,|Undefined Saprotroph|-Undefined Symbiotroph,Saprotroph-Symbiotroph,Probable,1
Clavariopsis,Microfungus,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Claviceps,Microfungus,|Plant Pathogen|,Pathotroph,Probable,31
Claviceps fusiformis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Claviceps purpurea,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Claviceps sorghi,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Clavispora,Yeast,Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,6
Clavispora lusitaniae,NULL,Animal Pathogen,Pathotroph,Probable,1
Clavulina,Clavarioid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Clitocybe,Agaricoid,|Plant Saprotroph|,Pathotroph-Saprotroph,Probable,1
Clitopilus,Agaricoid,Fungal Parasite-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Clitopilus passeckerianus,Agaricoid,Fungal Parasite,Pathotroph,Highly Probable,1
Clohesyomyces,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Clonostachys,Microfungus,Fungal Parasite-Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,6
Clonostachys rosea,NULL,Endophyte,Symbiotroph,Highly Probable,1
Clydaea,Chytrid-Microfungus,|Pollen Saprotroph|,Saprotroph,Probable,1
Coccidioides immitis,Facultative Yeast,Animal Pathogen-Soil Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Coccidioides posadasii,Facultative Yeast,Animal Pathogen-Soil Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Coccinonectria,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Cochlonema,Microfungus,Animal Pathogen-|Protist Parasite|,Pathotroph,Probable,1
Coelomomyces,Chytrid-Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Possible,1
Coemansia,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,145
Coemansia reversa,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Cokeromyces recurvatus,NULL,Animal Pathogen,Pathotroph,Probable,1
Coleophoma,Microfungus,Endophyte-|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,3
Collariella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Colletotrichum,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,83
Colletotrichum acutatum,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Colletotrichum camelliae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum coccodes,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum destructivum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum falcatum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum gloeosporioides,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Colletotrichum graminicola,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum higginsianum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum kahawae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum karsti,Microfungus,Endophyte,Symbiotroph,Possible,1
Colletotrichum lindemuthianum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum musae,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Colletotrichum orbiculare,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Colletotrichum phormii,Microfungus,Endophyte,Symbiotroph,Probable,1
Colletotrichum salicis,Microfungus,Endophyte,Symbiotroph,Probable,1
Colletotrichum trifolii,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Colletotrichum tropicale,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Colletotrichum truncatum,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Collybia,Agaricoid,|Fungal Parasite|-Plant Pathogen,Pathotroph-Saprotroph,Highly Probable,4
Conidiobolus,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Conidiobolus coronatus,NULL,Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Coniella,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Coniferiporia,Corticioid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,2
Coniochaeta,Microfungus,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Possible,7
Coniochaeta ligniaria,Microfungus,Lichen Parasite,Pathotroph,Highly Probable,1
Coniochaeta prunicola,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Coniophora,Corticioid,|Wood Saprotroph|,Saprotroph,Probable,1
Coniosporium,Microfungus,Animal Parasite-Animal Pathogen-|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph,Possible,1
Coniosporium apollinis,Microfungus,Undefined Saprotroph,Saprotroph,Highly Probable,1
Coniothyrium,Microfungus,Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Conoideocrella,Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Coprinellus,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,2
Coprinopsis,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,3
Coprinopsis cinerea,Agaricoid,Undefined Saprotroph,Saprotroph,Probable,1
Coprinus comatus,Agaricoid,Soil Saprotroph,Saprotroph,Probable,1
Copromyces,Microfungus,|Dung Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Cordyceps,Cordyceptoid-Microfungus,Clavicipitaceous Endophyte-Fungal Parasite-|Insect Pathogen|,Pathotroph-Symbiotroph,Possible,9
Corinectria,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Coriolopsis,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Corynascus,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Corynespora,Microfungus,Endophyte-Lichen Parasite-|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Corynespora cassiicola,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Crassisporium,Agaricoid,Plant Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Crepidotus,Agaricoid,|Wood Saprotroph|,Saprotroph,Highly Probable,2
Cristinia,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Crocinoboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Cronartium,Microfungus-Rust,|Plant Pathogen|,Pathotroph,Highly Probable,3
Crucibulum,Gasteroid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,2
Crucibulum laeve,NULL,Dung Saprotroph,Saprotroph,Highly Probable,1
Cryomyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Possible,2
Cryphonectria,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Highly Probable,6
Cryphonectria parasitica,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Cryptococcus,Dimorphic Yeast-Yeast,Animal Pathogen-Endophyte-Epiphyte-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Possible,21
Cryptococcus amylolentus,Dimorphic Yeast,Animal Pathogen,Pathotroph,Probable,1
Cryptococcus gattii,Dimorphic Yeast,Animal Pathogen,Pathotroph,Highly Probable,1
Cryptococcus neoformans,Dimorphic Yeast,Animal Pathogen,Pathotroph,Highly Probable,1
Cucumispora,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Cucurbitaria,Microfungus,|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Cudoniella,Microfungus,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph,Probable,1
Cumuliphoma,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Cunninghamella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,4
Curvularia,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,5
Curvularia clavata,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Curvularia eragrostidis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Curvularia geniculata,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Curvularia lunata,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Curvularia spicifera,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Curvularia verruculosa,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Cutaneotrichosporon,Yeast,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Possible,16
Cyanodermella,Microfungus,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Cyathus,Gasteroid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,3
Cyberlindnera,Yeast,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,34
Cyberlindnera fabianii,NULL,Animal Pathogen,Pathotroph,Probable,1
Cyberlindnera jadinii,NULL,Animal Pathogen,Pathotroph,Probable,1
Cyclaneusma,Microfungus,Endophyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Possible,1
Cyclocybe,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,1
Cylindrobasidium,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Possible,1
Cylindrocarpon,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Cylindrodendrum,Microfungus,Algal Parasite-|Plant Pathogen|,Pathotroph,Probable,1
Cyphellophora europaea,Facultative Yeast-Microfungus,Animal Pathogen,Pathotroph,Probable,1
Cystobasidiopsis,Dimorphic-Facultative Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Cystobasidium,Dimorphic-Facultative Yeast,|Fungal Parasite|,Pathotroph,Highly Probable,6
Cystoderma,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Cystodermella,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Cystofilobasidium,Yeast,|Plant Saprotroph|,Saprotroph,Possible,4
Cytidiella,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Cytospora,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,3
Cytospora leucostoma,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Dacryopinax,Clavarioid,|Wood Saprotroph|,Saprotroph,Probable,1
Dacryopinax spathularia,Tremelloid,Wood Saprotroph,Saprotroph,Probable,1
Dactylella,Microfungus,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Dactylellina,Microfungus,|Animal Parasite|-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,6
Dactylonectria,Microfungus,|Plant Pathogen|,Pathotroph,Probable,4
Daedaleopsis,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,2
Daldinia,Microfungus,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Symbiotroph,Probable,8
Daldinia childiae,NULL,Endophyte,Symbiotroph,Highly Probable,1
Daldinia concentrica,Daldinioid,Wood Saprotroph,Saprotroph,Highly Probable,1
Daldinia loculata,NULL,Endophyte,Symbiotroph,Possible,1
Danielozyma ontarioensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Darksidea,Microfungus,|Endophyte|-Undefined Saprotroph,Saprotroph-Symbiotroph,Highly Probable,1
Davidsoniella,Microfungus,Endophyte-|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,4
Debaryomyces,Yeast,|Undefined Saprotroph|,Saprotroph,Highly Probable,11
Debaryomyces hansenii,Yeast,Undefined Saprotroph,Saprotroph,Highly Probable,1
Debaryomyces nepalensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Debaryomyces subglobosus,NULL,Animal Pathogen,Pathotroph,Probable,1
Decorospora,Microfungus,Plant Pathogen-Plant Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Delitschia confertaspora,NULL,Dung Saprotroph,Saprotroph,Highly Probable,1
Delphinella,Microfungus,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Dendrostoma,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Dendrothele,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Dendryphion,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Dentipellis,Corticioid-Hydnoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Dentiscutata,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Dermatocarpon miniatum,Thallus,Lichenized,Symbiotroph,Probable,1
Desarmillaria,Agaricoid,Bryophyte Parasite-|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,2
Diaporthaceae,Microfungus,Endophyte-Plant Pathogen-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
