Species,trait,value,source,notes
Berkeleyomyces rouxiae,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|"")"
Berkeleyomyces rouxiae,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|"")"
Bipolaris maydis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Bipolaris is trophically/ecologically diverse across species; this genus-level composite call may not reflect Bipolaris maydis specifically, verify before relying on it"
Bipolaris maydis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"") -- CAUTION: Bipolaris is trophically/ecologically diverse across species; this genus-level composite call may not reflect Bipolaris maydis specifically, verify before relying on it"
Bipolaris maydis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"") -- CAUTION: Bipolaris is trophically/ecologically diverse across species; this genus-level composite call may not reflect Bipolaris maydis specifically, verify before relying on it"
Bipolaris maydis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"") -- CAUTION: Bipolaris is trophically/ecologically diverse across species; this genus-level composite call may not reflect Bipolaris maydis specifically, verify before relying on it"
Bipolaris maydis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"") -- CAUTION: Bipolaris is trophically/ecologically diverse across species; this genus-level composite call may not reflect Bipolaris maydis specifically, verify before relying on it"
Blastobotrys vanleenenianus,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Yeast"")"
Blastobotrys vanleenenianus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Blastomyces dermatitidis,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Dimorphic-Dimorphic Yeast-Microfungus"")"
Blastomyces dermatitidis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Blastomyces dermatitidis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Blastomyces dermatitidis,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Animal Parasite|-Animal Pathogen-Undefined Saprotroph"")"
Boeremia exigua,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Boeremia exigua,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Boeremia exigua,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Boeremia exigua,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Endophyte-|Plant Pathogen|"")"
Boeremia exigua,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Endophyte-|Plant Pathogen|"")"
Botrytis byssoidea,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Botrytis byssoidea,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Botrytis byssoidea,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Botrytis byssoidea,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Botrytis byssoidea,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Brettanomyces bruxellensis,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Brettanomyces bruxellensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Cadophora gregata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Cadophora gregata,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cadophora gregata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cadophora gregata,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cadophora gregata,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|"")"
Cadophora gregata,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|"")"
Cadophora gregata,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|"")"
Cadophora gregata,plant_association,mycorrhizal_mutualist,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Ectomycorrhizal-Endophyte-Plant Pathogen-|Plant Saprotroph|"")"
Canariomyces notabilis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Canariomyces notabilis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Canariomyces notabilis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Canariomyces notabilis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|"")"
Canariomyces notabilis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-Plant Saprotroph-|Undefined Saprotroph|"")"
Cantharellus anzutake,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Agaricoid-Cantherelloid"")"
Cantharellus anzutake,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Symbiotroph"")"
Cantharellus anzutake,plant_association,mycorrhizal_mutualist,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Ectomycorrhizal|"")"
Capronia coronata,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Dimorphic-Facultative Yeast"")"
Capronia coronata,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Capronia coronata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Capronia coronata,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Capronia coronata,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|"")"
Capronia coronata,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|"")"
Capronia coronata,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|"")"
Cenococcum geophilum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Cenococcum geophilum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Symbiotroph"")"
Cenococcum geophilum,plant_association,mycorrhizal_mutualist,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Ectomycorrhizal|"")"
Ceraceosorus guamensis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Ceraceosorus guamensis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Ceraceosorus guamensis,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Ceraceosorus guamensis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Epiphyte-|Plant Pathogen|"")"
Ceratocystis lukuohia,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Ceratocystis lukuohia,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Ceratocystis lukuohia,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Ceratocystis lukuohia,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Ceratocystis lukuohia,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Wood Saprotroph"")"
Ceratocystis lukuohia,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Wood Saprotroph"")"
Ceratocystis lukuohia,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Wood Saprotroph"")"
Cercospora beticola,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Cercospora beticola,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Cercospora beticola,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Chaetomium fimeti,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Chaetomium fimeti,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Chaetomium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Chaetomium fimeti specifically, verify before relying on it"
Cladophialophora bantiana,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Dimorphic-Microfungus"")"
Cladophialophora bantiana,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cladophialophora bantiana,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cladophialophora bantiana,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cladophialophora bantiana,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|"")"
Cladophialophora bantiana,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|"")"
Cladophialophora bantiana,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Fungal Parasite-|Undefined Saprotroph|"")"
Cladosporium halotolerans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph"") -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Cladosporium halotolerans,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph""); lichen parasite mapped to mycoparasite -- CAUTION: Cladosporium is trophically/ecologically diverse across species; this genus-level composite call may not reflect Cladosporium halotolerans specifically, verify before relying on it"
Clavispora lusitaniae,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Clavispora lusitaniae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Clavispora lusitaniae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Clavispora lusitaniae,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph"")"
Clavispora lusitaniae,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-|Plant Saprotroph|-Undefined Saprotroph"")"
Colletotrichum abscissum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Colletotrichum abscissum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Colletotrichum abscissum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Colletotrichum abscissum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Colletotrichum abscissum,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Plant Saprotroph"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Colletotrichum abscissum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Plant Saprotroph"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Colletotrichum abscissum,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Plant Pathogen|-Plant Saprotroph"") -- CAUTION: Colletotrichum is trophically/ecologically diverse across species; this genus-level composite call may not reflect Colletotrichum abscissum specifically, verify before relying on it"
Coniophora puteana,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Corticioid"")"
Coniophora puteana,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Coniophora puteana,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Wood Saprotroph|"")"
Coniosporium apollinis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Coniosporium apollinis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Coniosporium apollinis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Coniosporium apollinis,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Parasite-Animal Pathogen-|Plant Pathogen|-Undefined Saprotroph"")"
Coniosporium apollinis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Parasite-Animal Pathogen-|Plant Pathogen|-Undefined Saprotroph"")"
Cordyceps fumosorosea,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Cordyceptoid-Microfungus"")"
Cordyceps fumosorosea,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Cordyceps fumosorosea,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Cordyceps fumosorosea,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Clavicipitaceous Endophyte-Fungal Parasite-|Insect Pathogen|""); arthropod/insect-specific"
Cordyceps fumosorosea,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Clavicipitaceous Endophyte-Fungal Parasite-|Insect Pathogen|"")"
Cordyceps fumosorosea,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Clavicipitaceous Endophyte-Fungal Parasite-|Insect Pathogen|"")"
Cryphonectria parasitica,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus"")"
Cryphonectria parasitica,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Cryphonectria parasitica,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Cryphonectria parasitica,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Cryphonectria parasitica,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Cucurbitaria berberidis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Cucurbitaria berberidis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Cucurbitaria berberidis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Cucurbitaria berberidis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"")"
Cucurbitaria berberidis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"")"
Cutaneotrichosporon cavernicola,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Yeast"")"
Cutaneotrichosporon cavernicola,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Cutaneotrichosporon cavernicola,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
