label	family	locus	island_n_strains	example_strain	island_size	n_supporting_pairs	classifications	locus_id	locus_contig	locus_start	locus_end	pfam_domains
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA20	16	16	ambiguous_linkage,unexplained_physical	SDVA20:scaffold_103:3141-48573	scaffold_103	3141	48573	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X168	16	22	ambiguous_linkage,unexplained_physical	UTAH_23742X168:scaffold_133:35472-70517	scaffold_133	35472	70517	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,GGACT,HET
H038	SDVA10|CE292C0_006993-T1	L012	1	B11518	15	1	unexplained_physical	B11518:scaffold_261:9191-32839	scaffold_261	9191	32839	Chitin_bind_1,FAD_binding_8,Glyco_hydro_18,Myb_DNA-bind_5,NAD_binding_6
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B1249_Guatemala	15	12	unexplained_physical	B1249_Guatemala:scaffold_25:1183-31194	scaffold_25	1183	31194	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B15142	15	34	unexplained_physical	B15142:scaffold_113:3525-59246	scaffold_113	3525	59246	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B3344	15	14	ambiguous_linkage,unexplained_physical	B3344:scaffold_134:24219-49601	scaffold_134	24219	49601	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-119	15	35	ambiguous_linkage,unexplained_physical	GT-119:scaffold_16:257076-305175	scaffold_16	257076	305175	APH,Abhydrolase_3,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X19	15	12	unexplained_physical	UTAH_23742X19:scaffold_92:84614-112293	scaffold_92	84614	112293	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	6	B5773_Brazil	14	12	unexplained_physical	B5773_Brazil:scaffold_61:29983-64726	scaffold_61	29983	64726	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	730332_Guatemala	14	10	unexplained_physical	730332_Guatemala:scaffold_322:270-25315	scaffold_322	270	25315	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B15146	14	41	ambiguous_linkage,unexplained_physical	B15146:scaffold_30:132906-154455	scaffold_30	132906	154455	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA22	14	34	ambiguous_linkage,unexplained_physical	CA22:scaffold_34:274-22980	scaffold_34	274	22980	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Cocci_1400035797	14	15	unexplained_physical	Cocci_1400035797:scaffold_165:1180-24984	scaffold_165	1180	24984	APH,Amidoligase_2,Beta-lactamase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	FMC778	14	15	ambiguous_linkage,unexplained_physical	FMC778:scaffold_312:2041-27486	scaffold_312	2041	27486	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-111	14	47	ambiguous_linkage,unexplained_physical	GT-111:scaffold_77:58723-110513	scaffold_77	58723	110513	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M191	14	16	ambiguous_linkage,unexplained_physical	M191:scaffold_202:8627-33975	scaffold_202	8627	33975	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M195	14	16	unexplained_physical	M195:scaffold_79:17038-116238	scaffold_79	17038	116238	APH,Amidoligase_2,Beta-lactamase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Nuevo_Leon_2	14	12	unexplained_physical	Nuevo_Leon_2:scaffold_68:48156-82899	scaffold_68	48156	82899	APH,Beta-lactamase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SJV_6	14	30	ambiguous_linkage,unexplained_physical	SJV_6:scaffold_95:52087-73616	scaffold_95	52087	73616	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	3	B11198	13	47	ambiguous_linkage,unexplained_physical	B11198:scaffold_67:14810-67869	scaffold_67	14810	67869	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B11034	13	39	ambiguous_linkage,unexplained_physical	B11034:scaffold_117:36012-61524	scaffold_117	36012	61524	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12219	13	32	ambiguous_linkage,unexplained_physical	B12219:scaffold_17:16479-151640	scaffold_17	16479	151640	3HCDH_N,APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,DUF7924,Fung_rhodopsin,GGACT,HET,Pkinase,Pyr_redox,Pyr_redox_2,Pyr_redox_3,Pyr_redox_dim
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Beeville	13	16	unexplained_physical	Beeville:scaffold_14:1175-61740	scaffold_14	1175	61740	APH,Amidoligase_2,Beta-lactamase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA17	13	39	ambiguous_linkage,unexplained_physical	CA17:scaffold_52:113027-134554	scaffold_52	113027	134554	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCPO_103718	13	5	unexplained_physical	COCPO_103718:scaffold_331:1004-21460	scaffold_331	1004	21460	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCSP-2006	13	13	unexplained_physical	COCSP-2006:scaffold_107:383-43206	scaffold_107	383	43206	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	NM_0369	13	15	ambiguous_linkage,unexplained_physical	NM_0369:scaffold_228:1907-27265	scaffold_228	1907	27265	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	NM_9837	13	15	ambiguous_linkage,unexplained_physical	NM_9837:scaffold_203:6472-31826	scaffold_203	6472	31826	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SA2	13	8	unexplained_physical	SA2:scaffold_167:14893-42399	scaffold_167	14893	42399	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X206	13	47	ambiguous_linkage,unexplained_physical	UTAH_23742X206:scaffold_75:30104-51684	scaffold_75	30104	51684	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X227	13	30	ambiguous_linkage,unexplained_physical	UTAH_23742X227:scaffold_75:70834-123273	scaffold_75	70834	123273	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,TCAD9
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	3	CA9	12	46	ambiguous_linkage,unexplained_physical	CA9:scaffold_97:71687-93254	scaffold_97	71687	93254	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	B11343	12	43	ambiguous_linkage,unexplained_physical	B11343:scaffold_52:916-67413	scaffold_52	916	67413	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	CA4	12	46	ambiguous_linkage,unexplained_physical	CA4:scaffold_16:14598-40083	scaffold_16	14598	40083	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	485B-4_S_NEW_CPA0029	12	10	unexplained_physical	485B-4_S_NEW_CPA0029:scaffold_168:26665-47111	scaffold_168	26665	47111	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	A502-2	12	28	ambiguous_linkage,unexplained_physical	A502-2:scaffold_154:33826-59298	scaffold_154	33826	59298	APH,Amidoligase_2,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B13956	12	42	ambiguous_linkage,unexplained_physical	B13956:scaffold_59:34969-56519	scaffold_59	34969	56519	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B14131	12	39	ambiguous_linkage,unexplained_physical	B14131:scaffold_44:126385-151895	scaffold_44	126385	151895	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B14286	12	30	ambiguous_linkage,unexplained_physical	B14286:scaffold_121:9494-58447	scaffold_121	9494	58447	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B3476	12	42	ambiguous_linkage,unexplained_physical	B3476:scaffold_44:162359-183955	scaffold_44	162359	183955	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA15	12	23	ambiguous_linkage,unexplained_physical	CA15:scaffold_52:64820-110005	scaffold_52	64820	110005	APH,Abhydrolase_3,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CDC-202	12	46	ambiguous_linkage,unexplained_physical	CDC-202:scaffold_150:37491-59145	scaffold_150	37491	59145	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	COCSP-8945	12	24	ambiguous_linkage,unexplained_physical	COCSP-8945:scaffold_91:4928-69030	scaffold_91	4928	69030	APH,Abhydrolase_3,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-107	12	42	ambiguous_linkage,unexplained_physical	GT-107:scaffold_89:6710-28334	scaffold_89	6710	28334	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-117	12	29	ambiguous_linkage,unexplained_physical	GT-117:scaffold_35:19500-40984	scaffold_35	19500	40984	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	M1_5	12	8	unexplained_physical	M1_5:scaffold_156:26035-47166	scaffold_156	26035	47166	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SJV_11	12	30	ambiguous_linkage,unexplained_physical	SJV_11:scaffold_42:169641-191165	scaffold_42	169641	191165	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SJV_4	12	40	ambiguous_linkage,unexplained_physical	SJV_4:scaffold_52:130778-152334	scaffold_52	130778	152334	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SJV_7	12	39	ambiguous_linkage,unexplained_physical	SJV_7:scaffold_24:2894-58275	scaffold_24	2894	58275	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,TCAD9
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Tucson_15	12	10	unexplained_physical	Tucson_15:scaffold_124:26666-47726	scaffold_124	26666	47726	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X123	12	25	unexplained_physical	UTAH_23742X123:scaffold_20:52013-102612	scaffold_20	52013	102612	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X205	12	40	ambiguous_linkage,unexplained_physical	UTAH_23742X205:scaffold_43:99388-151187	scaffold_43	99388	151187	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X214	12	40	ambiguous_linkage,unexplained_physical	UTAH_23742X214:scaffold_95:14506-70005	scaffold_95	14506	70005	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,TCAD9
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_9443	12	15	ambiguous_linkage,unexplained_physical	UTAH_9443:scaffold_302:867-26919	scaffold_302	867	26919	APH,Abhydrolase_3,BD-FAE,Beta-lactamase,COesterase,Fung_rhodopsin,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	VFC052	12	22	unexplained_physical	VFC052:scaffold_53:49988-98489	scaffold_53	49988	98489	APH,Amidoligase_2,COesterase,Fung_rhodopsin,GGACT,HET,TCAD9
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	3	CA28	11	46	ambiguous_linkage,unexplained_physical	CA28:scaffold_150:31523-52971	scaffold_150	31523	52971	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	GT-125	11	35	ambiguous_linkage,unexplained_physical	GT-125:scaffold_13:38482-60090	scaffold_13	38482	60090	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	SDVA17	11	39	ambiguous_linkage,unexplained_physical	SDVA17:scaffold_149:13560-36106	scaffold_149	13560	36106	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	485B-0_S_OLD_CPA0021	11	10	unexplained_physical	485B-0_S_OLD_CPA0021:scaffold_140:2317-28897	scaffold_140	2317	28897	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B11019	11	35	ambiguous_linkage,unexplained_physical	B11019:scaffold_61:35106-53718	scaffold_61	35106	53718	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12495	11	42	ambiguous_linkage,unexplained_physical	B12495:scaffold_79:77349-103104	scaffold_79	77349	103104	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B12496	11	39	ambiguous_linkage,unexplained_physical	B12496:scaffold_136:2021-27519	scaffold_136	2021	27519	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B14133	11	30	ambiguous_linkage,unexplained_physical	B14133:scaffold_138:3912-25183	scaffold_138	3912	25183	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA23	11	30	ambiguous_linkage,unexplained_physical	CA23:scaffold_157:5371-58294	scaffold_157	5371	58294	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA25	11	36	ambiguous_linkage,unexplained_physical	CA25:scaffold_130:19120-37919	scaffold_130	19120	37919	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA8	11	30	unexplained_physical	CA8:scaffold_132:14528-63593	scaffold_132	14528	63593	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Coahuila_2	11	7	unexplained_physical	Coahuila_2:scaffold_156:996-21443	scaffold_156	996	21443	APH,Beta-lactamase,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-116	11	39	ambiguous_linkage,unexplained_physical	GT-116:scaffold_80:72596-94126	scaffold_80	72596	94126	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-140	11	36	ambiguous_linkage,unexplained_physical	GT-140:scaffold_78:25694-49809	scaffold_78	25694	49809	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-162	11	8	unexplained_physical	GT-162:scaffold_144:1032-21477	scaffold_144	1032	21477	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	Tucson_21	11	10	unexplained_physical	Tucson_21:scaffold_101:997-43201	scaffold_101	997	43201	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_20380X16	11	24	ambiguous_linkage,unexplained_physical	UTAH_20380X16:scaffold_60:23813-69504	scaffold_60	23813	69504	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	UTAH_23742X225	11	30	ambiguous_linkage,unexplained_physical	UTAH_23742X225:scaffold_1:927464-979986	scaffold_1	927464	979986	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET,TCAD9
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	WA_211	11	42	ambiguous_linkage,unexplained_physical	WA_211:scaffold_142:1269-22817	scaffold_142	1269	22817	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	h5384	11	42	ambiguous_linkage,unexplained_physical	h5384:scaffold_79:33256-54770	scaffold_79	33256	54770	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	5	A432	10	42	ambiguous_linkage,unexplained_physical	A432:scaffold_165:33826-55356	scaffold_165	33826	55356	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	4	CDC-212	10	35	ambiguous_linkage,unexplained_physical	CDC-212:scaffold_173:2194-20945	scaffold_173	2194	20945	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	B11002	10	36	ambiguous_linkage,unexplained_physical	B11002:scaffold_193:11891-30505	scaffold_193	11891	30505	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	Phoenix_6	10	8	unexplained_physical	Phoenix_6:scaffold_124:1036-21491	scaffold_124	1036	21491	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	A391	10	35	ambiguous_linkage,unexplained_physical	A391:scaffold_153:812-22362	scaffold_153	812	22362	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	B14132	10	28	ambiguous_linkage,unexplained_physical	B14132:scaffold_91:74960-97976	scaffold_91	74960	97976	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	CA14	10	31	unexplained_physical	CA14:scaffold_365:328-20462	scaffold_365	328	20462	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-108	10	23	unexplained_physical	GT-108:scaffold_84:75116-93601	scaffold_84	75116	93601	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-141	10	10	unexplained_physical	GT-141:scaffold_220:417-16988	scaffold_220	417	16988	APH,Amidoligase_2,Beta-lactamase,GGACT,HET
H007	GT-151|CDCC634_008618-T1	L015	1	GT-142	10	2	unexplained_physical	GT-142:scaffold_166:286-15753	scaffold_166	286	15753	APH,GGACT,PK_Tyr_Ser-Thr,Pkinase,TCAD9
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-148	10	10	unexplained_physical	GT-148:scaffold_226:251-16822	scaffold_226	251	16822	APH,Amidoligase_2,Beta-lactamase,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	GT-169	10	35	ambiguous_linkage,unexplained_physical	GT-169:scaffold_93:74918-93522	scaffold_93	74918	93522	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SDVA36	10	29	ambiguous_linkage,unexplained_physical	SDVA36:scaffold_154:4995-25929	scaffold_154	4995	25929	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SJV_5	10	39	ambiguous_linkage,unexplained_physical	SJV_5:scaffold_29:265556-287101	scaffold_29	265556	287101	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SOIL_485B-0_L_OLD_CPA0020	10	10	unexplained_physical	SOIL_485B-0_L_OLD_CPA0020:scaffold_152:8069-29308	scaffold_152	8069	29308	APH,Beta-lactamase,GGACT,HET,PK_Tyr_Ser-Thr,Pkinase
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	SOIL_604-1_L_OLD_CPA066	10	3	unexplained_physical	SOIL_604-1_L_OLD_CPA066:scaffold_183:958-11236	scaffold_183	958	11236	APH,HET
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	1	San_Diego_1	10	35	ambiguous_linkage,unexplained_physical	San_Diego_1:scaffold_50:17272-35882	scaffold_50	17272	35882	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
H011	UCSF_Cp_Silveira|C282BBF_005390-T1	L002	8	B3224	9	1	unexplained_physical	B3224:scaffold_20:38636-42461	scaffold_20	38636	42461	Goodbye
H049	B11871|CA42FC6_007798-T1	L002	8	B3224	9	1	unexplained_physical	B3224:scaffold_20:38636-42461	scaffold_20	38636	42461	Goodbye
H014	A502-1|C7FAE4E_005112-T1	L002	8	B3224	9	1	unexplained_physical	B3224:scaffold_20:38636-42461	scaffold_20	38636	42461	Goodbye
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	5	GT-124	9	3	unexplained_physical	GT-124:scaffold_241:997-11275	scaffold_241	997	11275	APH,Beta-lactamase,HET
H011	UCSF_Cp_Silveira|C282BBF_005390-T1	L002	3	B3246	9	1	unexplained_physical	B3246:scaffold_58:28474-32123	scaffold_58	28474	32123	Goodbye
H049	B11871|CA42FC6_007798-T1	L002	3	B3246	9	1	unexplained_physical	B3246:scaffold_58:28474-32123	scaffold_58	28474	32123	Goodbye
H014	A502-1|C7FAE4E_005112-T1	L002	3	B3246	9	1	unexplained_physical	B3246:scaffold_58:28474-32123	scaffold_58	28474	32123	Goodbye
H002	578-1_L_NEW_CPA0049|C79DB71_008498-T1	L011	2	B11863	9	29	ambiguous_linkage,unexplained_physical	B11863:scaffold_102:2229-20892	scaffold_102	2229	20892	APH,Abhydrolase_3,Amidoligase_2,BD-FAE,COesterase,Fung_rhodopsin,GGACT,HET
