Short	Species	n_contigs	n50	total_length	dedup_group	is_representative	species	n_all_HET_NLR	n_HET_domain	n_HeLo_SesA_Goodbye_HETs	n_Het-C	n_NLR_NOD	n_NLR_accessory_only	n_NLR_total
GT-155	Coccidioides posadasii	2466	20845	26273208	235	1	Cp	12	2	0	2	2	6	2
GT-156	Coccidioides immitis	1046	121600	27642681	236	1	Ci	12	2	0	2	3	5	3
GT-157	Coccidioides posadasii	334	174946	26043235	237	1	Cp	11	1	1	2	3	4	3
GT-158	Coccidioides posadasii	893	131829	26740889	238	1	Cp	12	1	0	3	3	5	3
GT-159	Coccidioides posadasii	390	173136	27547988	239	1	Cp	12	1	1	3	3	4	3
GT-160	Coccidioides posadasii	2630	19267	26199673	240	1	Cp	13	2	1	2	3	5	3
GT-161	Coccidioides posadasii	760	177259	26887930	241	1	Cp	12	1	1	2	3	5	3
GT-162	Coccidioides posadasii	659	185293	27171018	242	1	Cp	12	2	0	2	3	5	3
GT-163	Coccidioides immitis	1328	53114	27710450	243	1	Ci	13	2	1	2	3	5	3
GT-164	Coccidioides posadasii	969	143498	27071607	244	1	Cp	14	2	1	3	3	5	3
GT-165	Coccidioides posadasii	626	165330	26895569	245	1	Cp	13	2	1	2	3	5	3
GT-166	Coccidioides posadasii	531	191485	26926901	246	1	Cp	13	2	1	2	3	5	3
GT-167	Coccidioides immitis	445	182795	27217571	16	1	Ci	12	2	0	2	3	5	3
GT-168	Coccidioides posadasii	508	180389	26775830	220	0	Cp	12	1	0	3	3	5	3
GT-169	Coccidioides immitis	1071	124834	27748014	247	1	Ci	13	2	1	2	3	5	3
GT-171	Coccidioides posadasii	419	179789	26846082	227	1	Cp	10	1	0	2	3	4	3
Guerrero_1	Coccidioides immitis	406	303825	27529286	248	1	Ci	12	2	0	2	3	5	3
IL1	Coccidioides posadasii	1040	105036	26991282	249	1	Cp	14	2	1	3	2	6	2
J_TORRES	Coccidioides posadasii	663	109481	28284731	5	0	Cp	12	1	1	2	3	5	3
KJH004	Coccidioides posadasii	681	116522	27133102	250	1	Cp	12	1	1	2	3	5	3
M191	Coccidioides posadasii	359	156642	27277072	251	1	Cp	12	2	0	2	3	5	3
M195	Coccidioides posadasii	385	199559	27979835	252	1	Cp	12	2	0	2	3	5	3
M196	Coccidioides posadasii	360	187902	27095263	253	1	Cp	11	1	0	2	3	5	3
M197	Coccidioides posadasii	463	165025	27688061	254	1	Cp	12	2	0	2	3	5	3
M198	Coccidioides posadasii	415	160068	27644589	255	0	Cp	12	2	0	2	3	5	3
M199	Coccidioides posadasii	361	203430	26772287	256	0	Cp	13	2	0	3	3	5	3
M1_5	Coccidioides posadasii	595	154776	27457319	257	1	Cp	12	2	0	2	2	6	2
M200	Coccidioides posadasii	376	155638	27223411	258	1	Cp	13	1	1	3	3	5	3
M201	Coccidioides posadasii	209	287912	26700262	259	1	Cp	12	1	0	3	3	5	3
M204	Coccidioides immitis	283	262368	27315870	177	1	Ci	12	1	1	2	2	6	2
M205	Coccidioides posadasii	568	106768	27464671	186	0	Cp	11	1	0	2	3	5	3
M206	Coccidioides posadasii	661	93697	27578446	188	1	Cp	12	1	1	2	3	5	3
M207	Coccidioides posadasii	458	150363	27238148	187	1	Cp	10	1	0	2	3	4	3
M208	Coccidioides posadasii	412	151063	27223406	189	1	Cp	12	1	1	2	3	5	3
M211	Coccidioides posadasii	377	169724	27392634	190	1	Cp	12	1	1	2	3	5	3
M213	Coccidioides posadasii	377	190194	26776985	153	1	Cp	12	1	1	2	3	5	3
M214	Coccidioides posadasii	215	350026	27676112	255	1	Cp	13	2	1	2	3	5	3
M215	Coccidioides posadasii	221	324766	26874417	256	1	Cp	12	2	0	2	3	5	3
M219	Coccidioides posadasii	448	150130	27496395	185	0	Cp	11	1	0	2	3	5	3
M220	Coccidioides posadasii	338	200109	27539095	260	1	Cp	12	1	1	2	2	6	2
M221	Coccidioides posadasii	175	331063	26458722	261	1	Cp	11	1	1	3	2	4	2
M222	Coccidioides posadasii	199	372283	27783353	262	1	Cp	14	2	1	3	3	5	3
M223	Coccidioides posadasii	853	143383	27476560	245	0	Cp	15	2	1	2	3	7	3
MJS	Coccidioides posadasii	671	77352	26984825	150	0	Cp	13	2	0	2	3	6	3
Michoacan_1	Coccidioides posadasii	1102	55477	28023002	263	1	Cp	13	1	1	2	4	5	4
Michoacan_2	Coccidioides immitis	1664	65381	26577189	145	0	Ci	10	2	0	1	2	5	2
NACVFR_2566	Coccidioides posadasii	1934	34759	28371344	5	0	Cp	13	2	1	2	3	5	3
NACVFR_4542	Coccidioides posadasii	833	94636	28482804	5	0	Cp	12	1	1	2	3	5	3
NM_0369	Coccidioides posadasii	569	121873	27679359	264	1	Cp	12	2	0	2	3	5	3
NM_3006	Coccidioides posadasii	297	208592	26669159	265	1	Cp	13	2	1	2	3	5	3
NM_4233	Coccidioides posadasii	479	137130	27222281	266	1	Cp	12	2	0	2	3	5	3
NM_4708	Coccidioides posadasii	390	161216	27441527	267	1	Cp	11	2	0	2	3	4	3
NM_5945	Coccidioides posadasii	415	148362	27316733	268	1	Cp	13	2	1	2	3	5	3
NM_9837	Coccidioides posadasii	468	146855	27459679	268	0	Cp	13	2	0	3	3	5	3
Nuevo_Leon_1	Coccidioides posadasii	1116	53793	27590789	269	1	Cp	13	2	1	2	3	5	3
Nuevo_Leon_2	Coccidioides posadasii	1030	55799	27670975	270	1	Cp	13	2	0	3	3	5	3
Phoenix_1	Coccidioides posadasii	396	293393	27497366	271	1	Cp	11	1	1	3	2	4	2
Phoenix_2	Coccidioides posadasii	257	387755	27066147	272	1	Cp	13	1	1	3	2	6	2
Phoenix_3	Coccidioides posadasii	331	301880	26990231	273	1	Cp	11	1	0	2	3	5	3
Phoenix_4	Coccidioides posadasii	363	355393	26751273	274	1	Cp	12	1	1	2	3	5	3
Phoenix_5	Coccidioides posadasii	327	376525	27477588	275	1	Cp	13	1	1	3	3	5	3
Phoenix_6	Coccidioides posadasii	468	346021	27567135	276	1	Cp	12	2	0	3	2	5	2
Phoenix_7	Coccidioides posadasii	380	282201	27280462	277	1	Cp	13	2	1	3	3	4	3
Phoenix_8	Coccidioides posadasii	390	290588	27049397	278	1	Cp	13	2	0	3	3	5	3
Phoenix_9	Coccidioides posadasii	414	294636	27364604	279	1	Cp	13	1	1	2	4	5	4
RS	Coccidioides immitis	463	141890	28553335	280	1	Ci	13	2	1	2	3	5	3
SA12	Coccidioides posadasii	584	139010	27395047	175	0	Cp	12	2	0	2	3	5	3
SA14	Coccidioides posadasii	715	135504	28721934	5	0	Cp	11	1	0	2	3	5	3
SA2	Coccidioides posadasii	543	151738	27538430	281	1	Cp	13	2	1	2	3	5	3
SDVA1	Coccidioides immitis	239	267517	27680502	282	1	Ci	11	1	1	2	3	4	3
SDVA10	Coccidioides posadasii	346	189571	26966698	283	1	Cp	14	1	1	3	4	5	4
SDVA14	Coccidioides posadasii	361	206878	27610727	284	1	Cp	12	1	0	3	3	5	3
SDVA15	Coccidioides immitis	351	222945	28115163	285	1	Ci	11	1	0	2	3	5	3
SDVA16	Coccidioides posadasii	307	182915	27517492	286	0	Cp	13	2	0	3	3	5	3
SDVA17	Coccidioides immitis	297	238679	28221689	287	1	Ci	12	2	0	2	3	5	3
SDVA2	Coccidioides immitis	381	155108	27673521	288	1	Ci	11	1	1	2	3	4	3
SDVA20	Coccidioides posadasii	270	233483	27516644	286	1	Cp	13	2	0	3	3	5	3
SDVA25	Coccidioides posadasii	280	257876	27205387	289	1	Cp	12	2	0	2	3	5	3
SDVA26	Coccidioides posadasii	318	207316	27731208	290	1	Cp	13	1	1	3	3	5	3
SDVA27	Coccidioides posadasii	509	125730	27006955	291	1	Cp	12	1	1	2	3	5	3
SDVA3	Coccidioides immitis	374	176457	28030288	292	1	Ci	12	2	0	2	3	5	3
SDVA36	Coccidioides immitis	340	213861	28151292	287	0	Ci	11	2	0	2	2	5	2
SDVA38	Coccidioides immitis	217	301658	26963384	293	1	Ci	11	1	1	2	2	5	2
SDVA39	Coccidioides immitis	251	338189	28337546	294	1	Ci	12	1	1	2	3	5	3
SDVA4	Coccidioides immitis	246	238227	27677364	282	0	Ci	11	1	1	2	3	4	3
SDVA41	Coccidioides immitis	705	95681	29128351	295	1	Ci	12	2	1	2	3	4	3
SDVA42	Coccidioides posadasii	292	207558	27520821	286	0	Cp	14	2	1	3	3	5	3
SDVA44	Coccidioides immitis	1286	49068	28562645	280	0	Ci	13	2	1	2	3	5	3
SDVA45	Coccidioides posadasii	696	91624	27254786	296	0	Cp	12	1	1	2	3	5	3
SDVA47	Coccidioides posadasii	478	149908	27110801	297	1	Cp	12	1	0	3	2	6	2
SDVA48	Coccidioides immitis	674	96872	28940751	298	1	Ci	13	2	1	2	3	5	3
SDVA5	Coccidioides immitis	270	279262	28668532	299	1	Ci	12	2	0	2	3	5	3
SDVA6	Coccidioides immitis	311	242596	28433421	299	0	Ci	12	2	0	2	3	5	3
SDVA7	Coccidioides posadasii	277	242998	27489334	300	1	Cp	11	1	1	2	3	4	3
SDVA8	Coccidioides posadasii	414	177881	27961223	301	1	Cp	14	1	1	3	4	5	4
SJV_1	Coccidioides immitis	600	225657	27743647	302	1	Ci	12	1	1	2	3	5	3
SJV_10	Coccidioides immitis	1018	61189	27904800	303	1	Ci	11	1	0	2	3	5	3
SJV_11	Coccidioides immitis	435	278442	27439629	304	1	Ci	13	2	1	2	3	5	3
SJV_2	Coccidioides immitis	279	389694	27203012	305	1	Ci	12	2	0	2	3	5	3
SJV_4	Coccidioides immitis	373	270722	27664556	306	1	Ci	12	2	1	2	3	4	3
SJV_5	Coccidioides immitis	320	324344	27433734	307	1	Ci	12	2	0	2	3	5	3
SJV_6	Coccidioides immitis	780	198559	27428566	308	1	Ci	11	2	0	2	3	4	3
SJV_7	Coccidioides immitis	387	294274	27472516	309	1	Ci	12	2	1	2	3	4	3
SJV_8	Coccidioides immitis	473	266687	27580341	310	1	Ci	12	1	1	2	3	5	3
SJV_9	Coccidioides immitis	521	247470	27512304	311	1	Ci	12	1	1	2	3	5	3
SOIL_407-0_L_OLD_CPA0001	Coccidioides posadasii	2778	18986	27049250	3	0	Cp	13	2	1	2	3	5	3
SOIL_485B-0_L_OLD_CPA0020	Coccidioides posadasii	965	137008	27410220	6	0	Cp	13	2	0	3	3	5	3
SOIL_573-2_L_NEW_CPA0035	Coccidioides posadasii	1012	111887	27387928	9	0	Cp	12	2	0	2	3	5	3
SOIL_574-2_L_NEW_CPA0042	Coccidioides posadasii	554	185815	27334698	9	1	Cp	10	1	0	2	3	4	3
SOIL_578-1_A_NEW_CPA0048	Coccidioides posadasii	822	141900	27440674	9	0	Cp	12	2	0	2	3	5	3
SOIL_580-1_L_NEW_CPA0055	Coccidioides posadasii	2894	17147	25944775	11	0	Cp	13	2	1	2	3	5	3
SOIL_580-2_L_NEW_CPA0060	Coccidioides posadasii	925	142163	27389007	9	0	Cp	13	2	0	3	3	5	3
SOIL_580-4_L_NEW_CPA0062	Coccidioides posadasii	702	141361	27229403	9	0	Cp	12	1	0	3	3	5	3
SOIL_604-1_L_OLD_CPA066	Coccidioides posadasii	2883	17110	26236171	312	1	Cp	12	2	0	2	3	5	3
S_670	Coccidioides posadasii	417	128635	27197754	150	0	Cp	13	2	0	3	3	5	3
S_671	Coccidioides posadasii	443	125056	27197369	150	0	Cp	13	2	1	2	3	5	3
S_672	Coccidioides posadasii	725	69637	27034942	150	0	Cp	12	2	0	2	3	5	3
S_673	Coccidioides posadasii	729	73224	27159054	150	0	Cp	12	2	0	2	3	5	3
S_674	Coccidioides posadasii	455	117886	27190983	150	0	Cp	14	2	1	3	3	5	3
S_675	Coccidioides posadasii	1276	43989	27177554	150	0	Cp	13	2	1	2	3	5	3
S_676	Coccidioides posadasii	447	121631	27184711	150	0	Cp	13	2	1	3	3	4	3
S_739	Coccidioides posadasii	362	160209	27159836	150	1	Cp	13	2	0	3	3	5	3
S_740	Coccidioides posadasii	546	105437	27128047	150	0	Cp	14	2	1	3	3	5	3
S_741	Coccidioides posadasii	562	97152	27075955	150	0	Cp	14	2	1	3	3	5	3
S_742	Coccidioides posadasii	399	143577	27092864	150	0	Cp	12	2	1	2	3	4	3
San_Antonio_1	Coccidioides posadasii	422	317127	27477635	313	1	Cp	12	1	0	3	3	5	3
San_Diego_1	Coccidioides immitis	440	238201	27687384	314	1	Ci	12	2	0	2	3	5	3
Sonora_1	Coccidioides posadasii	652	220031	27387647	315	1	Cp	12	2	0	3	3	4	3
Sonora_2	Coccidioides posadasii	681	232248	27542969	316	1	Cp	13	2	1	2	3	5	3
TX1	Coccidioides posadasii	429	163307	27457570	196	1	Cp	11	1	0	2	3	5	3
TX11	Coccidioides posadasii	2851	17409	26295707	226	0	Cp	11	1	0	2	3	5	3
TX12	Coccidioides posadasii	1038	128452	27383964	317	1	Cp	13	1	1	3	3	5	3
TX14	Coccidioides posadasii	757	156240	27282350	318	1	Cp	12	2	0	2	3	5	3
TX17	Coccidioides posadasii	355	163365	26861575	319	1	Cp	11	1	0	2	3	5	3
TX2	Coccidioides posadasii	432	223337	27200881	320	1	Cp	14	1	1	3	4	5	4
TX3	Coccidioides posadasii	317	183084	27378272	321	1	Cp	11	1	0	2	3	5	3
TX4	Coccidioides posadasii	491	143485	27476078	203	0	Cp	12	1	0	3	3	5	3
TX5	Coccidioides posadasii	372	172655	27410441	322	1	Cp	12	1	1	2	3	5	3
TX6	Coccidioides posadasii	665	169062	27720497	323	1	Cp	12	2	0	2	3	5	3
TX8	Coccidioides posadasii	1034	128255	26841662	324	1	Cp	13	1	1	3	3	5	3
TX9	Coccidioides posadasii	517	180554	26864240	325	1	Cp	12	1	1	2	3	5	3
Tucson_1	Coccidioides posadasii	447	282259	27727418	326	1	Cp	13	2	0	3	3	5	3
Tucson_10	Coccidioides posadasii	414	276218	27106566	327	1	Cp	11	1	0	3	2	5	2
Tucson_11	Coccidioides posadasii	454	255134	27601274	328	1	Cp	12	1	1	2	3	5	3
Tucson_12	Coccidioides posadasii	451	319254	27167628	329	1	Cp	12	1	1	2	3	5	3
Tucson_13	Coccidioides posadasii	383	346671	27145462	330	1	Cp	14	2	1	3	3	5	3
Tucson_14	Coccidioides posadasii	453	344919	27323280	331	1	Cp	11	1	0	2	3	5	3
Tucson_15	Coccidioides posadasii	478	252204	27430526	332	1	Cp	13	2	1	2	3	5	3
Tucson_16	Coccidioides posadasii	389	256490	27726493	333	1	Cp	11	1	0	2	3	5	3
Tucson_17	Coccidioides posadasii	429	310878	27310874	334	1	Cp	13	2	1	2	3	5	3
Tucson_18	Coccidioides posadasii	509	255903	27525960	335	1	Cp	12	1	0	3	3	5	3
Tucson_19	Coccidioides posadasii	408	275309	27125004	336	1	Cp	13	1	1	3	3	5	3
Tucson_2	Coccidioides posadasii	408	352957	27901639	337	1	Cp	13	1	1	3	3	5	3
Tucson_20	Coccidioides posadasii	453	318729	27554180	338	1	Cp	11	1	0	2	3	5	3
Tucson_21	Coccidioides posadasii	357	320027	27430941	339	1	Cp	14	2	1	3	2	6	2
Tucson_22	Coccidioides posadasii	520	301140	27075601	340	1	Cp	11	1	1	2	2	5	2
Tucson_23	Coccidioides posadasii	348	415293	26774906	341	1	Cp	11	1	0	2	3	5	3
Tucson_24	Coccidioides posadasii	531	216949	27561962	342	1	Cp	14	2	1	3	3	5	3
Tucson_3	Coccidioides posadasii	419	284632	27324022	343	0	Cp	13	2	0	3	2	6	2
Tucson_4	Coccidioides posadasii	329	366915	27380100	343	1	Cp	12	1	0	3	2	6	2
Tucson_5	Coccidioides posadasii	389	361612	27435546	344	1	Cp	13	2	1	2	3	5	3
Tucson_6	Coccidioides posadasii	434	346595	26775414	345	1	Cp	12	1	1	2	3	5	3
Tucson_7	Coccidioides posadasii	498	292206	27989621	346	1	Cp	13	2	0	3	3	5	3
Tucson_8	Coccidioides posadasii	423	265549	27178568	347	1	Cp	12	1	1	2	3	5	3
Tucson_9	Coccidioides posadasii	325	263208	26970197	348	1	Cp	13	1	1	3	3	5	3
UCSF_10AZ	Coccidioides posadasii	493	145108	27207024	349	1	Cp	11	1	0	2	3	5	3
UCSF_3490AZ	Coccidioides posadasii	478	138863	27507540	350	1	Cp	12	1	1	2	3	5	3
UCSF_5AZ	Coccidioides posadasii	483	178993	26736309	351	1	Cp	12	1	0	3	3	5	3
UCSF_9AZ	Coccidioides posadasii	318	186693	27174587	352	1	Cp	12	1	1	2	3	5	3
UCSF_Cp_Silveira	Coccidioides posadasii	346	250466	27125870	296	1	Cp	12	1	1	2	3	5	3
UTAH_20380X1	Coccidioides posadasii	218	432583	27213266	353	1	Cp	12	1	0	2	4	5	4
UTAH_20380X10	Coccidioides immitis	144	514752	27480045	354	1	Ci	14	2	1	2	2	7	2
UTAH_20380X16	Coccidioides immitis	123	645427	28359489	355	1	Ci	12	2	0	2	3	5	3
UTAH_20380X2	Coccidioides posadasii	325	363270	27893887	356	1	Cp	12	1	1	2	3	5	3
UTAH_20380X5	Coccidioides posadasii	222	390317	26223708	357	1	Cp	11	1	0	2	2	6	2
UTAH_23742X111	Coccidioides immitis	252	232530	27278464	358	1	Ci	13	2	1	2	3	5	3
UTAH_23742X12	Coccidioides posadasii	691	82192	27214827	359	0	Cp	13	1	1	3	3	5	3
UTAH_23742X123	Coccidioides immitis	228	293845	27175252	360	1	Ci	12	2	0	2	3	5	3
UTAH_23742X138	Coccidioides immitis	605	110777	28090590	361	1	Ci	13	2	1	2	3	5	3
UTAH_23742X144	Coccidioides posadasii	304	178413	26981767	362	1	Cp	12	2	0	2	3	5	3
UTAH_23742X153	Coccidioides immitis	213	257696	28073205	363	1	Ci	12	1	1	2	3	5	3
UTAH_23742X160	Coccidioides posadasii	606	101126	27230793	364	1	Cp	12	1	1	2	3	5	3
UTAH_23742X162	Coccidioides immitis	1203	48885	27875939	365	1	Ci	12	2	0	2	3	5	3
UTAH_23742X163	Coccidioides posadasii	473	137368	27344611	366	0	Cp	14	1	1	3	4	5	4
UTAH_23742X165	Coccidioides posadasii	450	153163	27097225	366	1	Cp	12	1	0	2	4	5	4
UTAH_23742X168	Coccidioides posadasii	426	147797	27439050	367	1	Cp	13	2	0	3	3	5	3
UTAH_23742X170	Coccidioides immitis	273	212277	26640004	368	1	Ci	13	2	1	2	3	5	3
UTAH_23742X18	Coccidioides posadasii	314	189218	26471682	369	1	Cp	12	1	0	3	3	5	3
UTAH_23742X189	Coccidioides posadasii	442	130876	26562211	370	1	Cp	12	1	1	2	2	6	2
UTAH_23742X19	Coccidioides posadasii	460	142225	28294940	371	1	Cp	13	2	0	2	4	5	4
UTAH_23742X195	Coccidioides posadasii	313	217941	27704500	372	1	Cp	12	1	0	3	3	5	3
UTAH_23742X199	Coccidioides posadasii	285	200693	27222578	373	1	Cp	13	1	1	3	3	5	3
UTAH_23742X205	Coccidioides immitis	705	123271	28605031	374	1	Ci	12	2	0	2	3	5	3
UTAH_23742X206	Coccidioides immitis	217	301031	27761419	375	1	Ci	12	2	0	2	3	5	3
UTAH_23742X208	Coccidioides posadasii	314	234971	26940887	376	1	Cp	11	1	1	1	3	5	3
UTAH_23742X209	Coccidioides posadasii	218	259965	27105705	377	1	Cp	10	1	1	1	2	5	2
UTAH_23742X211	Coccidioides immitis	488	133142	27771973	378	1	Ci	12	1	1	2	3	5	3
UTAH_23742X214	Coccidioides immitis	223	270702	27268584	379	0	Ci	12	2	1	1	3	5	3
UTAH_23742X223	Coccidioides immitis	446	128011	28065452	380	1	Ci	13	2	1	2	3	5	3
UTAH_23742X225	Coccidioides immitis	238	299893	27862358	379	0	Ci	13	2	1	2	3	5	3
UTAH_23742X227	Coccidioides immitis	176	325987	27948348	379	1	Ci	12	2	1	2	3	4	3
UTAH_23742X235	Coccidioides immitis	225	290626	27411240	381	1	Ci	11	1	0	2	3	5	3
UTAH_23742X241	Coccidioides immitis	231	309762	27828466	382	1	Ci	12	2	1	2	2	5	2
UTAH_23742X242	Coccidioides immitis	237	276658	28809046	383	1	Ci	12	2	0	2	3	5	3
UTAH_23742X246	Coccidioides posadasii	329	202155	27361690	376	0	Cp	11	1	0	2	3	5	3
UTAH_23742X253	Coccidioides posadasii	430	138503	26707433	384	1	Cp	12	1	0	3	3	5	3
UTAH_23742X255	Coccidioides immitis	326	206446	27719060	385	1	Ci	13	2	1	2	3	5	3
UTAH_23742X257	Coccidioides immitis	294	220988	27802130	386	1	Ci	12	2	0	2	3	5	3
UTAH_23742X260	Coccidioides immitis	277	225414	25870817	387	1	Ci	13	2	1	2	3	5	3
UTAH_23742X31	Coccidioides immitis	255	257069	27174861	388	1	Ci	11	1	1	2	3	4	3
UTAH_23742X38	Coccidioides posadasii	447	150901	27500808	389	1	Cp	12	1	1	3	3	4	3
UTAH_23742X40	Coccidioides posadasii	337	229677	27613065	390	1	Cp	13	1	1	2	4	5	4
UTAH_23742X44	Coccidioides posadasii	302	214368	26589379	391	1	Cp	11	1	1	2	3	4	3
UTAH_23742X51	Coccidioides posadasii	398	181463	27706521	392	1	Cp	13	1	1	3	4	4	4
UTAH_23742X6	Coccidioides posadasii	719	86960	27872261	393	1	Cp	12	1	1	2	3	5	3
UTAH_23742X7	Coccidioides posadasii	725	83786	27408233	359	1	Cp	12	1	1	2	3	5	3
UTAH_23742X71	Coccidioides immitis	550	112871	27894982	394	1	Ci	11	1	0	2	3	5	3
UTAH_23742X83	Coccidioides posadasii	244	266473	26647542	395	1	Cp	12	1	1	2	3	5	3
UTAH_23742X84	Coccidioides posadasii	247	238452	26959382	396	1	Cp	12	1	1	2	3	5	3
UTAH_31331	Coccidioides posadasii	581	139593	27090559	397	1	Cp	15	2	1	3	4	5	4
UTAH_350355	Coccidioides posadasii	517	147303	27313513	398	1	Cp	11	1	0	2	3	5	3
UTAH_9443	Coccidioides posadasii	1472	75905	30767832	399	1	Cp	15	2	0	2	4	7	4
UTAH_9737	Coccidioides posadasii	440	157690	26882124	259	0	Cp	12	1	1	2	3	5	3
VFC043	Coccidioides immitis	337	244621	28002618	400	1	Ci	12	2	1	2	3	4	3
VFC052	Coccidioides immitis	335	296628	27308257	401	1	Ci	12	2	0	2	3	5	3
VFC083	Coccidioides posadasii	2245	34608	27013744	402	1	Cp	13	2	1	2	3	5	3
VFC084_CPA0067	Coccidioides posadasii	2042	33178	26481989	403	1	Cp	13	1	0	4	3	5	3
VFC085_CPA0068	Coccidioides posadasii	866	182095	27646582	404	1	Cp	13	1	1	3	3	5	3
VFC087	Coccidioides posadasii	1035	141492	27058902	405	1	Cp	11	2	0	2	3	4	3
VFC088	Coccidioides posadasii	484	188057	26338059	406	0	Cp	12	1	0	2	3	6	3
VFC090	Coccidioides posadasii	1459	132407	25875903	405	0	Cp	12	1	1	3	3	4	3
VFC091	Coccidioides posadasii	639	133780	26758633	407	1	Cp	12	2	0	2	3	5	3
VFC092	Coccidioides posadasii	700	132705	26803581	408	1	Cp	14	2	1	3	3	5	3
VFC093	Coccidioides posadasii	453	203889	26616477	406	1	Cp	14	2	0	3	3	6	3
WA31	Coccidioides posadasii	404	205308	27290264	409	1	Cp	12	1	0	3	3	5	3
WA_211	Coccidioides immitis	990	60735	27194867	16	0	Ci	12	2	0	2	3	5	3
WA_221	Coccidioides immitis	1502	40778	27247894	16	0	Ci	13	2	1	2	3	5	3
Washington_1	Coccidioides immitis	1101	56483	27261114	16	0	Ci	13	2	1	2	3	5	3
h5384	Coccidioides immitis	831	111338	27250009	410	1	Ci	13	2	1	2	3	5	3
