q	s	pident	length	qlen	slen	qstart	qend	sstart	send	evalue	bits	qcov	scov	q_label	s_label	q_locus	s_locus
SDVA38|CE6DD8A_000803-T1	SDVA20|C001139_007070-T1	98.0	196	271	196	39	234	1	196	1.38e-136	377.0	0.723	1.0	H029	H032	L001	L001
B10757_Nevada|CAE1CCF_003071-T1	SDVA38|CE6DD8A_000803-T1	98.0	196	196	271	1	196	39	234	1e-136	377.0	1.0	0.723	H035	H029	L001	L001
UTAH_20380X1|CF4A409_007973-T1	409B-0_L_OLD_CPA0011|C90261E_007970-T1	43.6	477	440	1090	1	434	43	513	3.45e-123	377.0	0.986	0.432	H036	H025	L012	L008
B10757_Nevada|CAE1CCF_003071-T1	B11035|C5FC1D8_003079-T1	98.0	196	196	391	1	196	170	365	6.16e-135	377.0	1.0	0.501	H035	H033	L001	L001
B14286|CC2BA17_001544-T1	SDVA20|C001139_007070-T1	98.0	196	390	196	169	364	1	196	1.19e-134	377.0	0.503	1.0	H044	H032	L001	L001
B11035|C5FC1D8_003079-T1	B10757_Nevada|CAE1CCF_003071-T1	98.0	196	391	196	170	365	1	196	6.11e-135	377.0	0.501	1.0	H033	H035	L001	L001
B14286|CC2BA17_001544-T1	B10757_Nevada|CAE1CCF_003071-T1	98.0	196	390	196	169	364	1	196	5.89e-135	377.0	0.503	1.0	H044	H035	L001	L001
GT-101|C4EFBB3_002316-T1	GT-171|C28DABA_004054-T1	28.6	1006	1631	995	88	1056	36	984	2.65e-113	377.0	0.594	0.954	H051	H069	L006	L005
B11035|C5FC1D8_003079-T1	SDVA20|C001139_007070-T1	98.0	196	391	196	170	365	1	196	1.23e-134	377.0	0.501	1.0	H033	H032	L001	L001
SDVA20|C001139_007070-T1	B11035|C5FC1D8_003079-T1	98.0	196	196	391	1	196	170	365	8.75e-135	376.0	1.0	0.501	H032	H033	L001	L001
SDVA20|C001139_007070-T1	B14286|CC2BA17_001544-T1	98.0	196	196	390	1	196	169	364	8.46e-135	376.0	1.0	0.503	H032	H044	L001	L001
SDVA20|C001139_007070-T1	SDVA38|CE6DD8A_000803-T1	98.0	196	196	271	1	196	39	234	1.42e-136	376.0	1.0	0.723	H032	H029	L001	L001
Phoenix_1|CDD70D4_008045-T1	SDVA20|C001139_007070-T1	96.9	196	196	196	1	196	1	196	4.06e-137	375.0	1.0	1.0	H039	H032	L001	L001
UTAH_23742X51|C229CD7_002130-T1	B11400|CF1B8A4_004391-T1	97.4	196	196	196	1	196	1	196	2.01e-137	375.0	1.0	1.0	H034	H031	L001	L001
B11400|CF1B8A4_004391-T1	UTAH_23742X51|C229CD7_002130-T1	97.4	196	196	196	1	196	1	196	2.86e-137	375.0	1.0	1.0	H031	H034	L001	L001
UTAH_23742X51|C229CD7_002130-T1	B10757_Nevada|CAE1CCF_003071-T1	96.9	196	196	196	1	196	1	196	5.77e-137	374.0	1.0	1.0	H034	H035	L001	L001
B10757_Nevada|CAE1CCF_003071-T1	UTAH_23742X51|C229CD7_002130-T1	96.9	196	196	196	1	196	1	196	1.16e-136	374.0	1.0	1.0	H035	H034	L001	L001
UTAH_23742X51|C229CD7_002130-T1	SDVA20|C001139_007070-T1	96.9	196	196	196	1	196	1	196	1.16e-136	374.0	1.0	1.0	H034	H032	L001	L001
SDVA20|C001139_007070-T1	Phoenix_1|CDD70D4_008045-T1	96.9	196	196	196	1	196	1	196	1.16e-136	374.0	1.0	1.0	H032	H039	L001	L001
SDVA20|C001139_007070-T1	UTAH_23742X51|C229CD7_002130-T1	96.9	196	196	196	1	196	1	196	1.6499999999999999e-136	373.0	1.0	1.0	H032	H034	L001	L001
GT-171|C28DABA_004054-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	28.6	997	995	1608	36	984	62	1030	1.07e-111	372.0	0.954	0.603	H069	H047	L005	L006
Phoenix_1|CDD70D4_008045-T1	B11400|CF1B8A4_004391-T1	96.4	196	196	196	1	196	1	196	6.73e-136	372.0	1.0	1.0	H039	H031	L001	L001
B11872|C426E4A_003179-T1	CA1|CEE9A5C_008761-T1	42.5	532	791	490	84	595	1	486	2.88e-123	372.0	0.647	0.992	H018	H023	L003	L017
Phoenix_1|CDD70D4_008045-T1	B10757_Nevada|CAE1CCF_003071-T1	95.9	196	196	196	1	196	1	196	1.93e-135	370.0	1.0	1.0	H039	H035	L001	L001
B11400|CF1B8A4_004391-T1	Phoenix_1|CDD70D4_008045-T1	96.4	196	196	196	1	196	1	196	1.93e-135	370.0	1.0	1.0	H031	H039	L001	L001
B10757_Nevada|CAE1CCF_003071-T1	Phoenix_1|CDD70D4_008045-T1	95.9	196	196	196	1	196	1	196	7.86e-135	369.0	1.0	1.0	H035	H039	L001	L001
SDVA38|CE6DD8A_000803-T1	UTAH_23742X51|C229CD7_002130-T1	95.9	196	271	196	39	234	1	196	4.41e-133	368.0	0.723	1.0	H029	H034	L001	L001
B11035|C5FC1D8_003079-T1	UTAH_23742X51|C229CD7_002130-T1	95.9	196	391	196	170	365	1	196	3.83e-131	368.0	0.501	1.0	H033	H034	L001	L001
B14286|CC2BA17_001544-T1	UTAH_23742X51|C229CD7_002130-T1	95.9	196	390	196	169	364	1	196	3.6999999999999997e-131	368.0	0.503	1.0	H044	H034	L001	L001
UTAH_23742X51|C229CD7_002130-T1	B14286|CC2BA17_001544-T1	95.9	196	196	390	1	196	169	364	1.86e-131	368.0	1.0	0.503	H034	H044	L001	L001
UTAH_23742X51|C229CD7_002130-T1	SDVA38|CE6DD8A_000803-T1	95.9	196	196	271	1	196	39	234	3.19e-133	368.0	1.0	0.723	H034	H029	L001	L001
B11002|C5E4193_001102-T1	UTAH_20380X10|CE3D476_001466-T1	99.5	182	581	439	1	182	258	439	8.860000000000001e-125	368.0	0.313	0.415	H074	H071	L004	L004
UTAH_23742X51|C229CD7_002130-T1	B11035|C5FC1D8_003079-T1	95.9	196	196	391	1	196	170	365	1.9199999999999999e-131	368.0	1.0	0.501	H034	H033	L001	L001
CA1|CEE9A5C_008761-T1	B11872|C426E4A_003179-T1	42.3	532	490	791	1	486	84	595	5.93e-121	366.0	0.992	0.647	H023	H018	L017	L003
SOIL_604-1_L_OLD_CPA066|C04D475_008327-T1	CA1|CEE9A5C_008761-T1	42.2	524	589	490	84	588	1	478	3.2100000000000004e-123	366.0	0.857	0.976	H022	H023	L003	L017
UTAH_20380X10|CE3D476_001466-T1	B11002|C5E4193_001102-T1	99.5	182	439	581	258	439	1	182	5.33e-124	365.0	0.415	0.313	H071	H074	L004	L004
Phoenix_1|CDD70D4_008045-T1	B14286|CC2BA17_001544-T1	94.9	196	196	390	1	196	169	364	6.14e-130	364.0	1.0	0.503	H039	H044	L001	L001
Phoenix_1|CDD70D4_008045-T1	SDVA38|CE6DD8A_000803-T1	94.9	196	196	271	1	196	39	234	1.0599999999999999e-131	364.0	1.0	0.723	H039	H029	L001	L001
Phoenix_1|CDD70D4_008045-T1	B11035|C5FC1D8_003079-T1	94.9	196	196	391	1	196	170	365	6.34e-130	364.0	1.0	0.501	H039	H033	L001	L001
B11035|C5FC1D8_003079-T1	Phoenix_1|CDD70D4_008045-T1	94.9	196	391	196	170	365	1	196	2.5500000000000003e-129	363.0	0.501	1.0	H033	H039	L001	L001
SDVA38|CE6DD8A_000803-T1	Phoenix_1|CDD70D4_008045-T1	94.9	196	271	196	39	234	1	196	2.96e-131	363.0	0.723	1.0	H029	H039	L001	L001
CA1|CEE9A5C_008761-T1	SOIL_604-1_L_OLD_CPA066|C04D475_008327-T1	42.2	505	490	589	1	459	84	570	2.98e-122	363.0	0.937	0.827	H023	H022	L017	L003
B14286|CC2BA17_001544-T1	Phoenix_1|CDD70D4_008045-T1	94.9	196	390	196	169	364	1	196	2.4600000000000004e-129	363.0	0.503	1.0	H044	H039	L001	L001
578-1_L_NEW_CPA0049|C79DB71_006976-T1	GT-171|C28DABA_004054-T1	28.5	995	1608	995	62	1030	36	984	1.86e-107	360.0	0.603	0.954	H047	H069	L006	L005
GT-119|C5FB385_003315-T1	UTAH_23742X260|CC29979_006059-T1	84.4	231	196	251	1	196	21	251	1.44e-129	358.0	1.0	0.92	H017	H010	L002	L002
578-1_L_NEW_CPA0049|C79DB71_007498-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	30.9	874	1575	898	31	861	53	887	9.599999999999999e-108	358.0	0.528	0.93	H052	H065	L005	L006
UTAH_23742X260|CC29979_006059-T1	GT-119|C5FB385_003315-T1	84.4	231	251	196	21	251	1	196	9.16e-130	358.0	0.92	1.0	H010	H017	L002	L002
407-0_S_OLD_CPA0002|C577643_002522-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	31.0	872	898	1575	55	887	33	861	6.59e-107	355.0	0.928	0.526	H065	H052	L006	L005
GT-147|C9481DC_005228-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	30.8	874	1038	898	31	861	53	887	1.33e-109	355.0	0.801	0.93	H041	H065	L005	L006
UTAH_23742X260|CC29979_006059-T1	SDVA10|CE292C0_000946-T1	80.4	240	251	245	21	251	1	239	9.91e-127	353.0	0.92	0.976	H010	H009	L002	L002
407-0_S_OLD_CPA0002|C577643_002522-T1	GT-147|C9481DC_005228-T1	30.8	872	898	1038	55	887	33	861	5.89e-109	353.0	0.928	0.799	H065	H041	L006	L005
GT-111|C5A2EA4_002972-T1	GT-101|C4EFBB3_002316-T1	29.4	841	934	1631	67	858	93	925	2.34e-105	352.0	0.848	0.511	H046	H051	L010	L006
SDVA10|CE292C0_000946-T1	UTAH_23742X260|CC29979_006059-T1	80.4	240	245	251	1	239	21	251	5.5799999999999996e-126	351.0	0.976	0.92	H009	H010	L002	L002
GT-101|C4EFBB3_002316-T1	GT-111|C5A2EA4_002972-T1	29.4	841	1631	934	93	925	67	858	1.4e-104	350.0	0.511	0.848	H051	H046	L006	L010
CA23|C477594_005344-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	30.9	854	1580	898	50	867	67	887	1.48e-103	346.0	0.518	0.914	H054	H065	L005	L006
UTAH_23742X260|CC29979_006059-T1	UCSF_Cp_Silveira|C282BBF_005390-T1	79.7	237	251	242	21	251	1	236	1.15e-122	342.0	0.92	0.975	H010	H011	L002	L002
UTAH_23742X260|CC29979_006059-T1	A502-1|C7FAE4E_005112-T1	99.4	179	251	182	73	251	4	182	1.3900000000000001e-123	342.0	0.713	0.984	H010	H014	L002	L002
COCSP-3505|C3BD8F1_004417-T1	A502-1|C7FAE4E_005112-T1	98.9	179	237	182	59	237	4	182	4.67e-123	340.0	0.755	0.984	H012	H014	L002	L002
A502-1|C7FAE4E_005112-T1	UTAH_23742X260|CC29979_006059-T1	99.4	179	182	251	4	182	73	251	5.840000000000001e-123	340.0	0.984	0.713	H014	H010	L002	L002
A502-1|C7FAE4E_005112-T1	COCSP-3505|C3BD8F1_004417-T1	98.9	179	182	237	4	182	59	237	1.46e-122	339.0	0.984	0.755	H014	H012	L002	L002
GT-111|C5A2EA4_002972-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	29.7	835	934	898	67	851	67	892	3.1099999999999996e-104	338.0	0.84	0.92	H046	H065	L010	L006
UCSF_Cp_Silveira|C282BBF_005390-T1	UTAH_23742X260|CC29979_006059-T1	78.1	242	242	251	1	236	21	251	3.6700000000000003e-121	338.0	0.975	0.92	H011	H010	L002	L002
GT-111|C5A2EA4_002972-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	29.3	842	934	1608	67	858	67	899	8.2e-100	336.0	0.848	0.518	H046	H047	L010	L006
B3269|C180A32_006926-T1	B3276|C38AD85_001344-T1	98.8	165	1177	541	1	165	369	533	5.88e-105	335.0	0.14	0.305	H059	H077	L005	L005
B3276|C38AD85_001344-T1	B3269|C180A32_006926-T1	98.8	165	541	1177	369	533	1	165	1.95e-105	335.0	0.305	0.14	H077	H059	L005	L005
407-0_S_OLD_CPA0002|C577643_002522-T1	GT-111|C5A2EA4_002972-T1	29.8	833	898	934	67	892	67	851	1.1e-102	334.0	0.92	0.84	H065	H046	L006	L010
GT-158|C010C21_006437-T1	B10757_Nevada|CAE1CCF_003071-T1	100.0	168	168	196	1	168	1	168	3.7900000000000003e-121	333.0	1.0	0.857	H042	H035	L001	L001
B10757_Nevada|CAE1CCF_003071-T1	GT-158|C010C21_006437-T1	100.0	168	196	168	1	168	1	168	6.28e-121	333.0	0.857	1.0	H035	H042	L001	L001
B11400|CF1B8A4_004391-T1	GT-158|C010C21_006437-T1	99.4	168	196	168	1	168	1	168	1.27e-120	332.0	0.857	1.0	H031	H042	L001	L001
407-0_S_OLD_CPA0002|C577643_002522-T1	CA23|C477594_005344-T1	30.9	864	898	1580	67	894	50	874	7.37e-99	332.0	0.922	0.522	H065	H054	L006	L005
GT-158|C010C21_006437-T1	B11400|CF1B8A4_004391-T1	99.4	168	168	196	1	168	1	168	1.09e-120	332.0	1.0	0.857	H042	H031	L001	L001
578-1_L_NEW_CPA0049|C79DB71_006976-T1	GT-111|C5A2EA4_002972-T1	29.4	840	1608	934	67	899	67	858	7.399999999999999e-98	331.0	0.518	0.848	H047	H046	L006	L010
SDVA20|C001139_007070-T1	GT-158|C010C21_006437-T1	98.8	168	196	168	1	168	1	168	7.32e-120	330.0	0.857	1.0	H032	H042	L001	L001
GT-158|C010C21_006437-T1	SDVA20|C001139_007070-T1	98.8	168	168	196	1	168	1	168	6.28e-120	330.0	1.0	0.857	H042	H032	L001	L001
GT-171|C28DABA_004054-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	29.0	860	995	898	36	851	62	893	6.71e-100	328.0	0.82	0.927	H069	H065	L005	L006
GT-119|C5FB385_003315-T1	COCSP-3505|C3BD8F1_004417-T1	77.2	237	196	237	1	196	1	237	6.7e-118	328.0	1.0	1.0	H017	H012	L002	L002
COCSP-3505|C3BD8F1_004417-T1	GT-119|C5FB385_003315-T1	77.2	237	237	196	1	237	1	196	1.1500000000000001e-117	327.0	1.0	1.0	H012	H017	L002	L002
GT-149|C5E7948_005114-T1	407-0_S_OLD_CPA0002|C577643_002522-T1	29.4	861	1510	898	36	840	62	893	1.22e-96	326.0	0.533	0.927	H050	H065	L005	L006
SDVA38|CE6DD8A_000803-T1	GT-158|C010C21_006437-T1	98.2	167	271	168	39	205	1	167	9.210000000000001e-117	325.0	0.616	0.994	H029	H042	L001	L001
B14286|CC2BA17_001544-T1	GT-158|C010C21_006437-T1	98.2	167	390	168	169	335	1	167	6.87e-115	325.0	0.428	0.994	H044	H042	L001	L001
GT-158|C010C21_006437-T1	SDVA38|CE6DD8A_000803-T1	98.2	167	168	271	1	167	39	205	8.1e-117	325.0	0.994	0.616	H042	H029	L001	L001
GT-158|C010C21_006437-T1	B11035|C5FC1D8_003079-T1	98.2	167	168	391	1	167	170	336	4.3399999999999995e-115	325.0	0.994	0.427	H042	H033	L001	L001
GT-158|C010C21_006437-T1	B14286|CC2BA17_001544-T1	98.2	167	168	390	1	167	169	335	4.2e-115	325.0	0.994	0.428	H042	H044	L001	L001
B11035|C5FC1D8_003079-T1	GT-158|C010C21_006437-T1	98.2	167	391	168	170	336	1	167	7.119999999999999e-115	325.0	0.427	0.994	H033	H042	L001	L001
UTAH_23742X51|C229CD7_002130-T1	GT-158|C010C21_006437-T1	96.4	168	196	168	1	168	1	168	2.35e-116	321.0	0.857	1.0	H034	H042	L001	L001
GT-158|C010C21_006437-T1	UTAH_23742X51|C229CD7_002130-T1	96.4	168	168	196	1	168	1	168	2.0100000000000001e-116	321.0	1.0	0.857	H042	H034	L001	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B14286|CC2BA17_001544-T1	98.2	163	188	390	1	163	131	293	1.2499999999999999e-112	320.0	0.867	0.418	H043	H044	L001	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	SDVA38|CE6DD8A_000803-T1	98.2	163	188	271	1	163	1	163	2.4599999999999998e-114	320.0	0.867	0.601	H043	H029	L001	L001
B14286|CC2BA17_001544-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	98.2	163	390	188	131	293	1	163	5.23e-112	319.0	0.418	0.867	H044	H043	L001	L001
SDVA38|CE6DD8A_000803-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	98.2	163	271	188	1	163	1	163	7.149999999999999e-114	319.0	0.601	0.867	H029	H043	L001	L001
GT-111|C5A2EA4_002972-T1	B15142|CE5AC85_003480-T1	30.7	681	934	768	67	717	93	768	6.99e-98	318.0	0.697	0.88	H046	H075	L010	L006
407-0_S_OLD_CPA0002|C577643_002522-T1	GT-171|C28DABA_004054-T1	29.0	852	898	995	62	887	36	845	3.77e-96	317.0	0.92	0.814	H065	H069	L006	L005
CA23|C477594_005344-T1	B15142|CE5AC85_003480-T1	30.3	712	1580	768	40	737	83	766	1.29e-94	317.0	0.442	0.891	H054	H075	L005	L006
407-0_S_OLD_CPA0002|C577643_002522-T1	GT-149|C5E7948_005114-T1	29.4	853	898	1510	62	887	36	834	1.12e-93	317.0	0.92	0.529	H065	H050	L006	L005
Phoenix_1|CDD70D4_008045-T1	GT-158|C010C21_006437-T1	95.2	168	196	168	1	168	1	168	7.849999999999999e-115	317.0	0.857	1.0	H039	H042	L001	L001
GT-158|C010C21_006437-T1	Phoenix_1|CDD70D4_008045-T1	95.2	168	168	196	1	168	1	168	1.36e-114	317.0	1.0	0.857	H042	H039	L001	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B11035|C5FC1D8_003079-T1	96.9	163	188	391	1	163	132	294	1.4899999999999999e-111	317.0	0.867	0.417	H043	H033	L001	L001
B11035|C5FC1D8_003079-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	96.9	163	391	188	132	294	1	163	6.23e-111	316.0	0.417	0.867	H033	H043	L001	L001
COCSP-3505|C3BD8F1_004417-T1	UCSF_Cp_Silveira|C282BBF_005390-T1	74.2	240	237	242	1	237	1	236	2.97e-112	315.0	1.0	0.975	H012	H011	L002	L002
B15142|CE5AC85_003480-T1	GT-111|C5A2EA4_002972-T1	30.7	681	768	934	93	768	67	717	1.53e-96	314.0	0.88	0.697	H075	H046	L006	L010
B3276|C38AD85_001344-T1	GT-111|C5A2EA4_002972-T1	35.7	484	541	934	37	518	63	509	3.7e-99	314.0	0.891	0.479	H077	H046	L005	L010
UCSF_Cp_Silveira|C282BBF_005390-T1	COCSP-3505|C3BD8F1_004417-T1	74.2	240	242	237	1	236	1	237	8.67e-112	314.0	0.975	1.0	H011	H012	L002	L002
GT-119|C5FB385_003315-T1	SDVA10|CE292C0_000946-T1	74.1	239	196	245	1	196	1	239	1.88e-112	314.0	1.0	0.976	H017	H009	L002	L002
SDVA10|CE292C0_000946-T1	GT-119|C5FB385_003315-T1	74.1	239	245	196	1	239	1	196	2.3499999999999998e-112	314.0	0.976	1.0	H009	H017	L002	L002
B3269|C180A32_006926-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	24.8	1210	1177	1608	7	1129	386	1572	9.179999999999999e-89	308.0	0.954	0.738	H059	H047	L005	L006
GT-119|C5FB385_003315-T1	UCSF_Cp_Silveira|C282BBF_005390-T1	74.2	236	196	242	1	196	1	236	6.560000000000001e-110	308.0	1.0	0.975	H017	H011	L002	L002
B15142|CE5AC85_003480-T1	CA23|C477594_005344-T1	30.3	713	768	1580	83	767	40	738	9.6e-92	308.0	0.892	0.442	H075	H054	L006	L005
GT-111|C5A2EA4_002972-T1	B3276|C38AD85_001344-T1	35.3	498	934	541	63	519	37	532	1.81e-96	307.0	0.489	0.917	H046	H077	L010	L005
UCSF_Cp_Silveira|C282BBF_005390-T1	GT-119|C5FB385_003315-T1	73.7	236	242	196	1	236	1	196	4.67e-109	306.0	0.975	1.0	H011	H017	L002	L002
578-1_L_NEW_CPA0049|C79DB71_006976-T1	B3269|C180A32_006926-T1	24.7	1216	1608	1177	386	1578	7	1135	4.15e-87	303.0	0.742	0.959	H047	H059	L006	L005
B15142|CE5AC85_003480-T1	578-1_L_NEW_CPA0049|C79DB71_007498-T1	29.9	703	768	1575	90	763	42	730	3.67e-90	303.0	0.878	0.437	H075	H052	L006	L005
B15142|CE5AC85_003480-T1	GT-147|C9481DC_005228-T1	30.3	707	768	1038	90	763	42	730	1.33e-91	302.0	0.878	0.664	H075	H041	L006	L005
578-1_L_NEW_CPA0049|C79DB71_007498-T1	B15142|CE5AC85_003480-T1	30.0	704	1575	768	42	730	90	763	1.87e-89	302.0	0.437	0.878	H052	H075	L005	L006
GT-171|C28DABA_004054-T1	B15142|CE5AC85_003480-T1	29.6	709	995	768	36	712	88	763	2.46e-91	301.0	0.68	0.88	H069	H075	L005	L006
GT-147|C9481DC_005228-T1	B15142|CE5AC85_003480-T1	30.4	708	1038	768	42	730	90	763	1.72e-90	300.0	0.664	0.878	H041	H075	L005	L006
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	730332_Guatemala|C45F23D_001753-T1	100.0	150	188	150	39	188	1	150	1.82e-107	298.0	0.798	1.0	H043	H030	L001	L001
730332_Guatemala|C45F23D_001753-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	100.0	150	150	188	1	150	39	188	2.06e-107	297.0	1.0	0.798	H030	H043	L001	L001
B15142|CE5AC85_003480-T1	GT-171|C28DABA_004054-T1	30.0	707	768	995	88	763	36	712	4.82e-90	297.0	0.88	0.68	H075	H069	L006	L005
GT-101|C4EFBB3_002316-T1	B3269|C180A32_006926-T1	24.1	1214	1631	1177	409	1601	4	1135	1.96e-83	292.0	0.731	0.962	H051	H059	L006	L005
GT-101|C4EFBB3_002316-T1	B11035|C5FC1D8_003314-T1	24.3	1171	1631	1123	485	1625	2	1097	4.77e-83	290.0	0.7	0.976	H051	H057	L006	L005
578-1_L_NEW_CPA0049|C79DB71_006976-T1	B11035|C5FC1D8_003314-T1	26.0	1175	1608	1123	475	1602	18	1097	4.54e-83	290.0	0.701	0.962	H047	H057	L006	L005
GT-149|C5E7948_005114-T1	B15142|CE5AC85_003480-T1	29.1	709	1510	768	36	701	88	763	8.71e-85	288.0	0.441	0.88	H050	H075	L005	L006
A502-1|C7FAE4E_005112-T1	UCSF_Cp_Silveira|C282BBF_005390-T1	84.9	185	182	242	1	182	53	236	6.19e-102	287.0	1.0	0.76	H014	H011	L002	L002
B3269|C180A32_006926-T1	GT-101|C4EFBB3_002316-T1	25.2	1063	1177	1631	4	1011	409	1454	6e-82	287.0	0.856	0.641	H059	H051	L005	L006
UCSF_Cp_Silveira|C282BBF_005390-T1	A502-1|C7FAE4E_005112-T1	84.9	185	242	182	53	236	1	182	1.66e-101	286.0	0.76	1.0	H011	H014	L002	L002
B11035|C5FC1D8_003314-T1	578-1_L_NEW_CPA0049|C79DB71_006976-T1	25.8	1167	1123	1608	18	1084	475	1587	1.38e-81	285.0	0.95	0.692	H057	H047	L005	L006
B15142|CE5AC85_003480-T1	GT-149|C5E7948_005114-T1	29.4	707	768	1510	88	763	36	701	6.76e-84	285.0	0.88	0.441	H075	H050	L006	L005
SDVA10|CE292C0_000946-T1	A502-1|C7FAE4E_005112-T1	84.6	182	245	182	59	239	4	182	4.34e-100	283.0	0.739	0.984	H009	H014	L002	L002
A502-1|C7FAE4E_005112-T1	SDVA10|CE292C0_000946-T1	84.6	182	182	245	4	182	59	239	4.58e-100	282.0	0.984	0.739	H014	H009	L002	L002
B11035|C5FC1D8_003314-T1	GT-101|C4EFBB3_002316-T1	24.4	1169	1123	1631	2	1097	485	1625	1.08e-78	276.0	0.976	0.7	H057	H051	L005	L006
B3276|C38AD85_001344-T1	B15142|CE5AC85_003480-T1	32.2	503	541	768	36	520	88	561	1.53e-81	263.0	0.896	0.617	H077	H075	L005	L006
GT-119|C5FB385_003315-T1	A502-1|C7FAE4E_005112-T1	81.0	179	196	182	51	196	4	182	7.709999999999999e-93	262.0	0.745	0.984	H017	H014	L002	L002
B3276|C38AD85_001344-T1	GT-101|C4EFBB3_002316-T1	31.6	522	541	1631	36	536	88	577	4.56e-78	261.0	0.926	0.3	H077	H051	L005	L006
A502-1|C7FAE4E_005112-T1	GT-119|C5FB385_003315-T1	81.0	179	182	196	4	182	51	196	4.13e-92	260.0	0.984	0.745	H014	H017	L002	L002
UTAH_23742X260|CC29979_006059-T1	CA25|C4385CC_002784-T1	97.0	135	251	151	21	155	1	133	1.7699999999999999e-91	260.0	0.538	0.881	H010	H016	L002	L002
COCSP-3505|C3BD8F1_004417-T1	B3440|C2CD592_001965-T1	94.3	141	237	159	1	141	1	141	2.7899999999999997e-91	259.0	0.595	0.887	H012	H015	L002	L002
B3440|C2CD592_001965-T1	COCSP-3505|C3BD8F1_004417-T1	94.3	141	159	237	1	141	1	141	2.6499999999999997e-91	259.0	0.887	0.595	H015	H012	L002	L002
B15142|CE5AC85_003480-T1	B3276|C38AD85_001344-T1	32.2	503	768	541	88	561	36	520	5.96e-80	259.0	0.617	0.896	H075	H077	L006	L005
CA25|C4385CC_002784-T1	UTAH_23742X260|CC29979_006059-T1	97.0	135	151	251	1	133	21	155	4.3299999999999996e-91	258.0	0.881	0.538	H016	H010	L002	L002
GT-101|C4EFBB3_002316-T1	B3276|C38AD85_001344-T1	31.8	506	1631	541	88	561	36	520	2.88e-76	257.0	0.291	0.896	H051	H077	L006	L005
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B11400|CF1B8A4_004391-T1	100.0	125	188	196	39	163	1	125	1.65e-88	251.0	0.665	0.638	H043	H031	L001	L001
730332_Guatemala|C45F23D_001753-T1	B11400|CF1B8A4_004391-T1	100.0	125	150	196	1	125	1	125	5.19e-89	251.0	0.833	0.638	H030	H031	L001	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	UTAH_23742X51|C229CD7_002130-T1	100.0	125	188	196	39	163	1	125	1.65e-88	251.0	0.665	0.638	H043	H034	L001	L001
730332_Guatemala|C45F23D_001753-T1	UTAH_23742X51|C229CD7_002130-T1	100.0	125	150	196	1	125	1	125	5.19e-89	251.0	0.833	0.638	H030	H034	L001	L001
UTAH_23742X51|C229CD7_002130-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	100.0	125	196	188	1	125	39	163	6.99e-88	250.0	0.638	0.665	H034	H043	L001	L001
730332_Guatemala|C45F23D_001753-T1	B10757_Nevada|CAE1CCF_003071-T1	99.2	125	150	196	1	125	1	125	1.49e-88	250.0	0.833	0.638	H030	H035	L001	L001
730332_Guatemala|C45F23D_001753-T1	GT-158|C010C21_006437-T1	99.2	125	150	168	1	125	1	125	5.79e-89	250.0	0.833	0.744	H030	H042	L001	L001
UTAH_23742X51|C229CD7_002130-T1	730332_Guatemala|C45F23D_001753-T1	100.0	125	196	150	1	125	1	125	1.9400000000000002e-88	250.0	0.638	0.833	H034	H030	L001	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	B10757_Nevada|CAE1CCF_003071-T1	99.2	125	188	196	39	163	1	125	4.72e-88	250.0	0.665	0.638	H043	H035	L001	L001
485B-1_L_OLD_CPA0023|C4025D1_005989-T1	GT-158|C010C21_006437-T1	99.2	125	188	168	39	163	1	125	1.84e-88	250.0	0.665	0.744	H043	H042	L001	L001
B11400|CF1B8A4_004391-T1	485B-1_L_OLD_CPA0023|C4025D1_005989-T1	100.0	125	196	188	1	125	39	163	6.99e-88	250.0	0.638	0.665	H031	H043	L001	L001
B11400|CF1B8A4_004391-T1	730332_Guatemala|C45F23D_001753-T1	100.0	125	196	150	1	125	1	125	1.9400000000000002e-88	250.0	0.638	0.833	H031	H030	L001	L001
CA25|C4385CC_002784-T1	B3440|C2CD592_001965-T1	83.6	159	151	159	1	151	1	159	4.45e-89	250.0	1.0	1.0	H016	H015	L002	L002
B3440|C2CD592_001965-T1	CA25|C4385CC_002784-T1	83.6	159	159	151	1	159	1	151	4.69e-89	250.0	1.0	1.0	H015	H016	L002	L002
