label	family	family_class	n_members	n_members_classified	frac_members_classified	class_counts	modal_architecture	architectures	rep_architecture	median_len	n_strains_with_member	max_copies_per_strain	n_strains_multicopy	bin	strain_count_Ci_rep	Ci_present	Ci_genome_only	Ci_n	Cp_present	Cp_genome_only	Cp_n	Ci_frac_any	Cp_frac_any	fisher_p_any	Ci_frac_annot	Cp_frac_annot	fisher_p_annot	bh_q_any	bh_q_annot	poly_within_annot	poly_between_annot	poly_within_any	poly_between_any	Ci_mean_copies_carriers	Cp_mean_copies_carriers	locus	n_markers_family	in_pair_table	rep_pfam_full	frac_APH_adjacent
H065	407-0_S_OLD_CPA0002|C577643_002522-T1	NLR_accessory_only	4	4	1.0	NLR_accessory_only:4	NPHP3_N-WHD	NPHP3_N-WHD:4	NPHP3_N-WHD	898	4	1	0	singleton	0	0	0	169	4	0	360	0.0	0.0111	0.3116845365590723	0.0	0.0111	0.3116845365590723	0.4851689159765086	0.4995360027496133	False	False	False	False	0.0	1.0	L006	10	False	DUF676,NPHP3_N,WHD_GPIID	0.0
H066	Phoenix_2|CE7BF4E_002155-T1	NLR_accessory_only	4	4	1.0	NLR_accessory_only:4	NPHP3_N	NPHP3_N:4	NPHP3_N	817	4	1	0	singleton	0	0	0	169	4	2	360	0.0	0.0167	0.1838113553103615	0.0	0.0111	0.3116845365590723	0.3512839234820242	0.4995360027496133	False	False	False	False	0.0	1.0	L001	7	False	DUF7104,NPHP3_N	0.0
H067	UTAH_23742X205|CB0BD29_008619-T1	NLR_accessory_only	4	4	1.0	NLR_accessory_only:4	NPHP3_N	NPHP3_N:4	NPHP3_N	1084	4	1	0	cloud	3	4	0	169	0	0	360	0.0237	0.0	0.0101656368588037	0.0237	0.0	0.0101656368588037	0.0264922657532461	0.0257130814663859	False	True	False	True	1.0	0.0	L001	1	False	NPHP3_N	0.0
H068	B16531|C0BF1BA_007130-T1	NLR_accessory_only	3	3	1.0	NLR_accessory_only:3	NPHP3_N	NPHP3_N:3	NPHP3_N	1339	3	1	0	singleton	0	0	0	169	3	1	360	0.0	0.0111	0.3116845365590723	0.0	0.0083	0.5548517207746787	0.4851689159765086	0.7455819997909745	False	False	False	False	0.0	1.0	L001	3	False	DUF676,DUF7104,NPHP3_N	0.0
H069	GT-171|C28DABA_004054-T1	NLR_accessory_only	3	3	1.0	NLR_accessory_only:3	NPHP3_N-WHD	NPHP3_N-WHD:3	NPHP3_N-WHD	995	3	1	0	singleton	0	0	0	169	3	0	360	0.0	0.0083	0.5548517207746787	0.0	0.0083	0.5548517207746787	0.7455819997909745	0.7455819997909745	False	False	False	False	0.0	1.0	L005	11	False	NPHP3_N,PGAP1,WHD_GPIID	0.0
H070	CA2|CD8B963_008471-T1	NLR_accessory_only	2	2	1.0	NLR_accessory_only:2	NPHP3_N	NPHP3_N:2	NPHP3_N	572	2	1	0	singleton	1	1	0	169	1	0	360	0.0059	0.0028	0.5372916308644098	0.0059	0.0028	0.5372916308644098	0.7334457183228451	0.7455819997909745	False	False	False	False	1.0	1.0	L001	1	False	NPHP3_N	0.0
H071	UTAH_20380X10|CE3D476_001466-T1	NLR_accessory_only	2	2	1.0	NLR_accessory_only:2	PNP_UDP-NPHP3_N	PNP_UDP-NPHP3_N:2	PNP_UDP-NPHP3_N	458	2	1	0	cloud	2	2	0	169	0	0	360	0.0118	0.0	0.1016497680013748	0.0118	0.0	0.1016497680013748	0.2216789211955651	0.2273629960980155	False	False	False	False	1.0	0.0	L004	18	False	NPHP3_N,PNP_UDP_1	0.0
H072	409B-0_L_OLD_CPA0011|C90261E_005650-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	WHD	WHD:1	WHD	905	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L005	7	False	WHD_GPIID	0.0
H073	730334_Guatemala|C5AD400_001716-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	130	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L002	13	False	NPHP3_N	0.0
H074	B11002|C5E4193_001102-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N-WHD	NPHP3_N-WHD:1	NPHP3_N-WHD	581	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L004	10	False	NPHP3_N,WHD_GPIID	0.0
H075	B15142|CE5AC85_003480-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N-WHD	NPHP3_N-WHD:1	NPHP3_N-WHD	768	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L006	14	False	Abhydrolase_6,DUF676,NPHP3_N,WHD_GPIID	0.0
H076	B3222|C3A673A_002130-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	117	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L002	14	False	NPHP3_N	0.0
H077	B3276|C38AD85_001344-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	541	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L005	11	False	NPHP3_N,PGAP1	0.0
H078	CA7|CFA4D20_007665-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	798	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L001	8	False	DUF676,NPHP3_N	0.0
H079	GT-151|CDCC634_000369-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	80	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L002	15	False	NPHP3_N	0.0
H080	IL1|C81A900_003260-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	102	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L002	14	False	NPHP3_N	0.0
H081	M223|C6CD41C_008745-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	138	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L018	0	False	NPHP3_N	0.0
H082	M223|C6CD41C_008767-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	131	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L019	0	False	NPHP3_N	0.0
H083	SOIL_578-1_A_NEW_CPA0048|CEB879C_008473-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	983	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L001	1	False	DUF676,NPHP3_N	0.0
H084	SOIL_580-1_L_NEW_CPA0055|C4BB30D_007251-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	983	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L020	0	False	DUF676,NPHP3_N	0.0
H085	TX8|C5FF6CA_008304-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	983	1	1	0	singleton	0	0	0	169	1	0	360	0.0	0.0028	1.0	0.0	0.0028	1.0	1.0	1.0	False	False	False	False	0.0	1.0	L001	1	False	DUF676,NPHP3_N	0.0
H086	UTAH_23742X260|CC29979_006058-T1	NLR_accessory_only	1	1	1.0	NLR_accessory_only:1	NPHP3_N	NPHP3_N:1	NPHP3_N	89	1	1	0	singleton	1	1	0	169	0	0	360	0.0059	0.0	0.3194706994328922	0.0059	0.0	0.3194706994328922	0.4851689159765086	0.4995360027496133	False	False	False	False	1.0	0.0	L002	11	False	NPHP3_N	0.0
