accession	taxon_id	gene_name	description	go_ids	pfam_ids	pfam_names	interpro_ids	ec_numbers	alphafold_id
A6TEL8	272620	yrbK	Lipopolysaccharide export system protein LptC	GO:0030288:IEA|GO:0005886:IEA|GO:0017089:IEA|GO:0015221:IEA|GO:0043165:IEA	PF06835	LptC	IPR010664|IPR052363|IPR026265		A6TEL8
A6TEV1	272620	rpsM	Small ribosomal subunit protein uS13	GO:0005829:IEA|GO:0015935:IEA|GO:0019843:IEA|GO:0003735:IEA|GO:0000049:IEA|GO:0006412:IEA	PF00416	Ribosomal_S13	IPR027437|IPR001892|IPR010979|IPR019980|IPR018269		A6TEV1
A6TF48	272620	glgA	Glycogen synthase	GO:0005829:IEA|GO:0009011:IEA|GO:0004373:IEA|GO:0005978:IEA	PF08323|PF00534	Glyco_transf_5|Glycos_transf_1	IPR001296|IPR011835|IPR013534	2.4.1.21	A6TF48
A6TF69	272620	livF	High-affinity branched-chain amino acid transport ATP-binding protein	GO:0005524:IEA|GO:0016887:IEA|GO:0015658:IEA|GO:0003333:IEA|GO:0015807:IEA|GO:0015804:IEA|GO:0015695:IEA	PF00005	ABC_tran	IPR003593|IPR030660|IPR003439|IPR017871|IPR052156|IPR027417		A6TF69
A6TFC8	272620	yhjG	AsmA domain-containing protein	GO:0005886:IEA|GO:0090313:IEA	PF05170	AsmA	IPR007844|IPR052894		A6TFC8
A6TFH4	272620	glyS	Glycine--tRNA ligase beta subunit	GO:0005829:IEA|GO:0004814:IEA|GO:0005524:IEA|GO:0004820:IEA|GO:0006420:IEA|GO:0006426:IEA	PF05746|PF02092	DALR_1|tRNA_synt_2f	IPR008909|IPR015944|IPR006194	6.1.1.14	A6TFH4
A6TG29	272620	pstB	ATP-binding component of high-affinity phosphate-specific transport system	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0005315:IEA|GO:0035435:IEA	PF00005	ABC_tran	IPR003593|IPR003439|IPR017871|IPR027417|IPR005670		A6TG29
A6TGA0	272620	rhaM	L-rhamnose mutarotase	GO:0005737:IEA|GO:0062192:IEA|GO:0019301:IEA	PF05336	rhaM	IPR011008|IPR013448|IPR008000	5.1.3.32	A6TGA0
A6TGC7	272620	metJ	Met repressor	GO:0005737:IEA|GO:0003677:IEA|GO:0003700:IEA|GO:0006351:IEA|GO:0009086:IEA|GO:0045892:IEA	PF01340	MetJ	IPR002084|IPR023453|IPR010985		A6TGC7
A6TGT2	272620	yfeH	Cytochrome oxidase	GO:0016020:IEA	PF01758	SBF	IPR002657|IPR004710|IPR038770		A6TGT2
A6TH77	272620	psd	Phosphatidylserine decarboxylase proenzyme	GO:0005886:IEA|GO:0004609:IEA|GO:0006646:IEA	PF02666|PF27523	PS_Dcarbxylase|PSD	IPR003817|IPR033177|IPR033178	4.1.1.65	A6TH77
A6THN4	272620	KPN_04718	Uncharacterized protein						A6THN4
A6TIH5	272620	traW	F pilus assembly protein		PF12477	TraW_N	IPR014114|IPR025864		A6TIH5
A6TIQ7	272620	KPN_pKPN4p07101	Antirestriction protein		PF03230	Antirestrict	IPR004914|IPR042297		A6TIQ7
A6TIQ8	272620	KPN_pKPN4p07102	Antirestriction protein ArdA		PF07275	ArdA	IPR009899|IPR041895|IPR041893		A6TIQ8
A6TIR9	272620	KPN_pKPN4p07112	Regulator of SOS induction		PF06290	PsiB	IPR009385|IPR038131		A6TIR9
A6TIS9	272620	KPN_pKPN4p07123	Lytic transglycosylase		PF01464	SLT	IPR023346|IPR008258		A6TIS9
A6TIT1	272620	traJ	Expression of the tra operon		PF27685	TraJ	IPR016383		A6TIT1
A6T4G5	272620	KPN_00026	Uncharacterized protein						A6T4G5
A6T4M7	272620	ftsI	Peptidoglycan D,D-transpeptidase FtsI	GO:0005886:IEA|GO:0008658:IEA|GO:0008955:IEA|GO:0009002:IEA|GO:0071555:IEA|GO:0000917:IEA|GO:0043093:IEA|GO:0009252:IEA|GO:0006508:IEA|GO:0008360:IEA	PF03717|PF00905	PBP_dimer|Transpeptidase	IPR050515|IPR012338|IPR037532|IPR005311|IPR036138|IPR001460	3.4.16.4	A6T4M7
A6T4P4	272620	zapD	Cell division protein ZapD	GO:0032153:IEA|GO:0005737:IEA|GO:0000917:IEA|GO:0043093:IEA	PF07072	ZapD	IPR009777|IPR027462|IPR036268		A6T4P4
A6T4S6	272620	yadI	PTS enzyme II B component	GO:0005737:IEA|GO:0016020:IEA|GO:0016301:IEA|GO:0009401:IEA	PF03610	EIIA-man	IPR051471|IPR004701|IPR036662|IPR033887		A6T4S6
A6T4V0	272620	pulC	Pullulanase C protein	GO:0005886:IEA|GO:0015627:IEA|GO:0015628:IEA	PF11356	T2SSC	IPR036034|IPR024961|IPR001639		A6T4V0
A6T5E1	272620	secF	Protein-export membrane protein SecF	GO:0005886:IEA|GO:0015450:IEA|GO:0065002:IEA|GO:0006605:IEA|GO:0043952:IEA	PF07549|PF02355	Sec_GG|SecD_SecF_C	IPR022813|IPR022645|IPR022646|IPR048634|IPR055344|IPR005665		A6T5E1
A6T5F2	272620	yajO	NAD(P)H-dependent xylose reductase	GO:0005829:IEA|GO:0016491:IEA	PF00248	Aldo_ket_red	IPR020471|IPR050523|IPR036812|IPR023210		A6T5F2
A6T5Q3	272620	ybbA	Uncharacterized ABC transporter ATP-binding protein YbbA	GO:0005524:IEA|GO:0016887:IEA	PF00005	ABC_tran	IPR003593|IPR003439|IPR017871|IPR017911|IPR027417		A6T5Q3
A6T5R6	272620	KPN_00487	Uncharacterized protein						A6T5R6
A6T5W5	272620	KPN_00536	TonB-dependent receptor	GO:0009279:IEA|GO:0015344:IEA|GO:0038023:IEA|GO:0015891:IEA	PF07715|PF00593	Plug|TonB_dep_Rec_b-barrel	IPR000531|IPR036942|IPR012910|IPR037066|IPR039426|IPR010916|IPR010917|IPR010105		A6T5W5
A6T619	272620	KPN_00590	S-transferase	GO:0004364:IEA|GO:0016034:IEA|GO:0006749:IEA|GO:0006559:IEA	PF13417	GST_N_3	IPR036282|IPR004045|IPR036249		A6T619
A6T626	272620	KPN_00597	Bacterial inner-membrane translocator	GO:0005886:IEA|GO:0022857:IEA	PF02653	BPD_transp_2	IPR001851		A6T626
A6T643	272620	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	GO:0008667:IEA|GO:0019290:IEA	PF13561	adh_short_C2	IPR003560|IPR057326|IPR036291|IPR020904|IPR002347	1.3.1.28	A6T643
A6T678	272620	dsbG	Thiol:disulfide interchange protein	GO:0042597:IEA|GO:0016853:IEA	PF10411|PF13098	DsbC_N|Thioredoxin_2	IPR033954|IPR018950|IPR009094|IPR051470|IPR012336|IPR036249		A6T678
A6T697	272620	rlmH	Ribosomal RNA large subunit methyltransferase H	GO:0005737:IEA|GO:0070038:IEA	PF02590	SPOUT_MTase	IPR029028|IPR003742|IPR029026	2.1.1.177	A6T697
A6T698	272620	ybeB	Ribosomal silencing factor RsfS	GO:0005737:IEA|GO:0043023:IEA|GO:0042256:IEA|GO:0090071:IEA|GO:0017148:IEA	PF02410	RsfS	IPR004394|IPR043519		A6T698
A6T6C0	272620	nagA	N-acetylglucosamine-6-phosphate deacetylase	GO:0046872:IEA|GO:0008448:IEA|GO:0006046:IEA	PF01979	Amidohydro_1	IPR006680|IPR003764|IPR011059|IPR032466		A6T6C0
A6T6X2	272620	hcp	Hydroxylamine reductase	GO:0005737:IEA|GO:0051537:IEA|GO:0050418:IEA|GO:0046872:IEA|GO:0004601:IEA|GO:0042542:IEA	PF03063	Prismane	IPR004137|IPR010048|IPR016099|IPR011254|IPR016100	1.7.99.1	A6T6X2
A6T6X7	272620	macB	Macrolide transport protein	GO:0005886:IEA|GO:1902495:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0022857:IEA|GO:0046677:IEA	PF00005|PF02687|PF12704	ABC_tran|FtsX|MacB_PCD	IPR003593|IPR003838|IPR003439|IPR017871|IPR017911|IPR025857|IPR050250|IPR027417		A6T6X7
A6T796	272620	ycdG	Transport protein	GO:0005886:IEA|GO:0015218:IEA|GO:0042907:IEA	PF00860	Xan_ur_permease	IPR006043|IPR019918|IPR006042		A6T796
A6T7A5	272620	putA	Bifunctional protein PutA	GO:0009898:IEA|GO:0043168:IEA|GO:0001217:IEA|GO:1901363:IEA|GO:0003842:IEA|GO:0004657:IEA|GO:0000976:IEA|GO:0006351:IEA|GO:0055129:IEA|GO:0010133:IEA	PF00171|PF01619|PF14850|PF18327|PF21775	Aldedh|Pro_dh|Pro_dh-DNA_bdg|PRODH|PutA_1st	IPR016161|IPR016163|IPR016160|IPR029510|IPR016162|IPR015590|IPR013321|IPR025703|IPR029041|IPR041349|IPR024090|IPR024089|IPR024082|IPR002872|IPR050485|IPR005933|IPR048798|IPR010985	1.5.5.2|1.2.1.88	
A6T7L3	272620	yciE	Uncharacterized protein		PF05974	DUF892	IPR010287|IPR012347|IPR009078		A6T7L3
A6T7L8	272620	KPN_01156	Uncharacterized protein						A6T7L8
A6T7P3	272620	KPN_01181	DinI-like protein		PF06183	DinI	IPR036687|IPR010391		A6T7P3
A6T7T7	272620	astE	Succinylglutamate desuccinylase	GO:0016788:IEA|GO:0009017:IEA|GO:0008270:IEA|GO:0019544:IEA|GO:0019545:IEA	PF24827|PF04952	AstE_AspA_cat|AstE_AspA_hybrid	IPR050178|IPR055438|IPR007036|IPR016681	3.5.1.96	A6T7T7
A6T8F6	272620	ompN	Outer membrane pore protein N, non-specific	GO:0009279:IEA|GO:0046930:IEA|GO:0015288:IEA|GO:0034220:IEA	PF00267	Porin_1	IPR050298|IPR033900|IPR023614|IPR001897|IPR001702		A6T8F6
A6T8H6	272620	KPN_01465	Phytanoyl-CoA dioxygenase	GO:0016706:IEA|GO:0005506:IEA	PF05721	PhyH	IPR008775		A6T8H6
A6T8L7	272620	KPN_01507	DUF1304 domain-containing protein		PF06993	DUF1304	IPR009732		A6T8L7
A6T905	272620	KPN_01645	Carboxymuconolactone decarboxylase	GO:0051920:IEA	PF02627	CMD	IPR052512|IPR029032|IPR003779		A6T905
A6T968	272620	KPN_01708	DUF2255 family protein		PF10012	DUF2255	IPR016888		A6T968
A6T974	272620	KPN_01714	Insertion element IS150 protein InsJ-like helix-turn-helix domain-containing protein		PF13518	HTH_28	IPR009057|IPR055247		A6T974
A6T9C0	272620	KPN_01760	Dehydrogenase	GO:0018580:IEA	PF03060	NMO	IPR013785|IPR004136		A6T9C0
A6T9E7	272620	KPN_01787	Polysaccharide deacetylase	GO:0016810:IEA|GO:0005975:IEA	PF01522	Polysacc_deac_1	IPR011330|IPR002509|IPR017625		A6T9E7
A6T9P0	272620	narZ	nitrate reductase (quinone)	GO:0009325:IEA|GO:0005886:IEA|GO:0051539:IEA|GO:0046872:IEA|GO:0043546:IEA|GO:0160182:IEA|GO:0019645:IEA|GO:0042128:IEA	PF00384|PF01568|PF28599|PF14710	Molybdopterin|Molydop_binding|NarG_dom_V|Nitr_red_alph_N	IPR009010|IPR037943|IPR006657|IPR006656|IPR006963|IPR006655|IPR027467|IPR006468|IPR028189|IPR044906|IPR050123	1.7.5.1	A6T9P0
A6T9R2	272620	KPN_01902	Peptidase	GO:0046872:IEA|GO:0050118:IEA|GO:0019877:IEA	PF07687|PF01546	M20_dimer|Peptidase_M20	IPR017439|IPR036264|IPR002933|IPR011650|IPR033846		A6T9R2
A6T9X8	272620	rnfG	Ion-translocating oxidoreductase complex subunit G	GO:0005886:IEA|GO:0009055:IEA|GO:0010181:IEA|GO:0022900:IEA	PF04205	FMN_bind	IPR007329|IPR010209	7.-	A6T9X8
A6T9X9	272620	rnfE	Ion-translocating oxidoreductase complex subunit E	GO:0012505:IEA|GO:0005886:IEA|GO:0022900:IEA	PF02508	Rnf-Nqr	IPR003667|IPR010968	7.-	A6T9X9
A6T9Y5	272620	tyrS	Tyrosine--tRNA ligase	GO:0005829:IEA|GO:0005524:IEA|GO:0042803:IEA|GO:0003723:IEA|GO:0004831:IEA|GO:0006437:IEA	PF22421|PF00579	SYY_C-terminal|tRNA-synt_1b	IPR001412|IPR002305|IPR014729|IPR002942|IPR036986|IPR054608|IPR002307|IPR024088|IPR024107	6.1.1.1	A6T9Y5
A6TA91	272620	KPN_02084	Gluconate 2-dehydrogenase subunit 3 family protein		PF13618	Gluconate_2-dh3	IPR027056|IPR006311		A6TA91
A6TAG0	272620	KPN_02153	DUF1852 domain-containing protein		PF08908	MesX	IPR015004		A6TAG0
A6TAQ2	272620	KPN_02247	Type VI secretion system ImpA family N-terminal domain-containing protein		PF06812|PF12486	ImpA_N|VasL	IPR021069|IPR010657		A6TAQ2
A6TAS7	272620	KPN_02272	Pyosin/cloacin translocation domain-containing protein	GO:0042742:IEA|GO:0031640:IEA	PF06958	Pyocin_S	IPR016128|IPR036302		A6TAS7
A6TAX9	272620	yeaZ	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	GO:0005829:IEA|GO:0002949:IEA	PF00814	TsaD	IPR043129|IPR000905|IPR022496		A6TAX9
A6TBG4	272620	asmA	Suppressor of ompF assembly mutants	GO:0005886:IEA|GO:0090313:IEA	PF05170	AsmA	IPR007844|IPR052894		A6TBG4
A6TBK6	272620	mrp	Iron-sulfur cluster carrier protein	GO:0005829:IEA|GO:0051539:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0140663:IEA|GO:0046872:IEA|GO:0016226:IEA	PF10609	ParA	IPR034904|IPR000808|IPR019591|IPR044304|IPR027417|IPR033756		A6TBK6
A6TBQ8	272620	yejB	Oligopeptide transport system permease protein YejB	GO:0005886:IEA|GO:0042884:IEA|GO:0055085:IEA	PF00528	BPD_transp_1	IPR000515|IPR035906		A6TBQ8
A6TBT2	272620	ompC	Outer membrane pore protein 1b (Ibc)	GO:0009279:IEA|GO:0046930:IEA|GO:0015288:IEA|GO:0034220:IEA	PF00267	Porin_1	IPR050298|IPR023614|IPR001897|IPR001702|IPR013793		A6TBT2
A6TC39	272620	nupC	Nucleoside permease	GO:0005886:IEA|GO:0015212:IEA|GO:0015506:IEA|GO:0015213:IEA	PF07670|PF07662|PF01773	Gate|Nucleos_tra2_C|Nucleos_tra2_N	IPR008276|IPR018270|IPR011657|IPR002668|IPR011642		A6TC39
A6TC62	272620	cysP	Thiosulfate binding protein	GO:0042597:IEA|GO:0140104:IEA|GO:1901681:IEA|GO:1902358:IEA	PF13531	SBP_bac_11	IPR000957|IPR034408|IPR005669		A6TC62
A6TC94	272620	dapE	Succinyl-diaminopimelate desuccinylase	GO:0008777:IEA|GO:0050897:IEA|GO:0009014:IEA|GO:0008270:IEA|GO:0019877:IEA|GO:0006526:IEA|GO:0009089:IEA	PF07687|PF01546	M20_dimer|Peptidase_M20	IPR001261|IPR036264|IPR005941|IPR002933|IPR011650|IPR050072	3.5.1.18	A6TC94
A6TCE1	272620	KPN_02852	DUF5066 family protein		PF16728	DUF5066	IPR031990|IPR037883		A6TCE1
A6TCF9	272620	hcaT	MFS (Major facilitator superfamily) transporter	GO:0005886:IEA|GO:0030395:IEA|GO:0015528:IEA	PF12832	MFS_1_like	IPR026032|IPR024989|IPR036259		A6TCF9
A6TCP9	272620	KPN_02964	DUF262 domain-containing protein		PF07510|PF03235	GmrSD_C|GmrSD_N	IPR011089|IPR004919		A6TCP9
A6TCQ8	272620	KPN_02973	Arginase/agmatinase/formiminoglutamase	GO:0008783:IEA|GO:0047971:IEA|GO:0046872:IEA|GO:0033389:IEA	PF00491	Arginase	IPR005925|IPR006035|IPR023696|IPR020855		A6TCQ8
A6TCU4	272620	proW	Glycine/betaine/proline transport protein (ABC superfamily, membrane)	GO:0043190:IEA|GO:0005275:IEA|GO:0015226:IEA|GO:0015871:IEA|GO:0031460:IEA	PF00528	BPD_transp_1	IPR000515|IPR035906		A6TCU4
A6TD12	272620	ygbA	Nitrous oxide-stimulated promoter		PF11756	YgbA_NO	IPR020483		A6TD12
A6TDC0	272620	cbiG	Cobalt-precorrin 5A hydrolase	GO:0009236:IEA	PF01890|PF11761|PF11760	CbiG_C|CbiG_mid|CbiG_N	IPR052553|IPR021745|IPR021744|IPR002750|IPR036518|IPR038029		A6TDC0
A6TDF4	272620	KPN_03227	Uncharacterized protein						A6TDF4
A6TDJ7	272620	rnfA	Na(+)-translocating NADH-quinone reductase subunit E		PF05232	BTP	IPR007896|IPR058208		A6TDJ7
A6TDY9	272620	KPN_03414	Uncharacterized protein						A6TDY9
A6TDZ1	272620	gss	Bifunctional glutathionylspermidine synthetase/amidase	GO:0005524:IEA|GO:0008884:IEA|GO:0008885:IEA|GO:0046872:IEA	PF05257|PF03738	CHAP|GSP_synth	IPR007921|IPR051705|IPR005494|IPR038765|IPR016185	3.5.1.78|6.3.1.8	A6TDZ1
A6TE96	272620	glpF	Major Intrinsic Protein channel, glycerol diffusion	GO:0005886:IEA|GO:0015254:IEA	PF00230	MIP	IPR023271|IPR000425|IPR050363|IPR022357		A6TE96
A6TEC3	272620	KPN_03512	B3/B4 tRNA-binding domain-containing protein	GO:0004826:IEA|GO:0003723:IEA	PF03483	B3_4	IPR005146|IPR020825		A6TEC3
A6TED6	272620	yqjC	DUF1090 domain-containing protein		PF06476	DUF1090	IPR009468		A6TED6
A6TEF4	272620	gatY	D-tagatose-1,6-bisphosphate aldolase subunit GatY	GO:0005829:IEA|GO:0009025:IEA|GO:0008270:IEA|GO:2001059:IEA|GO:0019404:IEA	PF01116	F_bP_aldolase	IPR013785|IPR050246|IPR000771|IPR011288|IPR023955	4.1.2.40	A6TEF4
A6TEH0	272620	yraQ	Permease	GO:0005886:IEA	PF03773	ArsP_1	IPR005524		A6TEH0
A6TEK4	272620	rpmA	Large ribosomal subunit protein bL27	GO:0022625:IEA|GO:0043022:IEA|GO:0003735:IEA|GO:1902626:IEA|GO:0006412:IEA	PF01016	Ribosomal_L27	IPR001684|IPR018261		A6TEK4
A6TEN0	272620	KPN_03621	Dehydrogenase, NAD(P)-binding, starvation-sensing protein	GO:0016616:IEA|GO:0008270:IEA	PF08240|PF00107	ADH_N|ADH_zinc_N	IPR013149|IPR013154|IPR002328|IPR020843|IPR011032|IPR036291|IPR050129		A6TEN0
A6TEP9	272620	KPN_03640	L(+)-tartrate dehydratase subunit alpha	GO:0051539:IEA|GO:0008730:IEA|GO:0046872:IEA	PF05681	Fumerase	IPR051208|IPR004646	4.2.1.32	A6TEP9
A6TEQ0	272620	KPN_03641	Cation transporter	GO:0005886:IEA|GO:0022857:IEA	PF03600	CitMHS	IPR004680|IPR051679|IPR031312|IPR001898		A6TEQ0
A6TEU0	272620	def	Peptide deformylase	GO:0046872:IEA|GO:0042586:IEA|GO:0006412:IEA	PF01327	Pep_deformylase	IPR023635|IPR036821	3.5.1.88	A6TEU0
A6TEX0	272620	rplW	Large ribosomal subunit protein uL23	GO:1990904:IEA|GO:0005840:IEA|GO:0019843:IEA|GO:0003735:IEA|GO:0006412:IEA	PF00276	Ribosomal_L23	IPR012677|IPR013025|IPR012678|IPR001014		A6TEX0
A6TF67	272620	KPN_03814	Death-on-curing protein of phage P1	GO:0016301:IEA	PF02661	Fic	IPR006440|IPR003812|IPR036597|IPR053737		A6TF67
A6TFA6	272620	nikD	ABC-type dipeptide transporter	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA	PF00005	ABC_tran	IPR003593|IPR050388|IPR003439|IPR017871|IPR027417	7.4.2.9	A6TFA6
A6TFE0	272620	yhjT	Cellulose biosynthesis protein BcsF		PF11120	CBP_BcsF	IPR019995		A6TFE0
A6TFE7	272620	KPN_03894	ATPase involved in chromosome partitioning		PF06564	CBP_BcsQ	IPR017746|IPR050678|IPR027417		A6TFE7
A6TFF8	272620	yhjY	Lipase						A6TFF8
A6TFP4	272620	KPN_03993	Voltage-gated ClC-type chloride channel ClcB	GO:0034707:IEA|GO:0005254:IEA	PF00654	Voltage_CLC	IPR014743|IPR001807|IPR050368		A6TFP4
A6TFS1	272620	KPN_04021	UPF0311 protein KPN_04021		PF11578	DUF3237	IPR020915		A6TFS1
A6TFV5	272620	KPN_04056	Phosphotransferase system PTS, lactose/cellobiose-specific IIA subunit	GO:0046872:IEA|GO:0016740:IEA|GO:0009401:IEA	PF02255	PTS_IIA	IPR003188|IPR036542		A6TFV5
A6TFX6	272620	KPN_04077	Membrane protein, transport	GO:0005886:IEA|GO:0022857:IEA|GO:0009245:IEA|GO:0009103:IEA	PF00892	EamA	IPR000620|IPR037185|IPR000390		A6TFX6
A6TFX9	272620	dsdX	Gnt family transport protein	GO:0005886:IEA|GO:0015128:IEA	PF02447	GntP_permease	IPR003474		A6TFX9
A6TG09	272620	mnmE	tRNA modification GTPase MnmE	GO:0005829:IEA|GO:0005525:IEA|GO:0003924:IEA|GO:0046872:IEA|GO:0030488:IEA|GO:0002098:IEA	PF01926|PF12631|PF10396	MMR_HSR1|MnmE_helical|TrmE_N	IPR031168|IPR006073|IPR018948|IPR004520|IPR027368|IPR025867|IPR027417|IPR005225|IPR027266	3.6.-	A6TG09
A6TG13	272620	KPN_04114	Tyr recombinase domain-containing protein	GO:0003677:IEA|GO:0015074:IEA|GO:0006310:IEA	PF12835|PF12834	Integrase_1|Phage_int_SAM_2	IPR011010|IPR013762|IPR002104|IPR024456|IPR024457		A6TG13
A6TGG7	272620	KPN_04279	Bacterial regulatory protein, LysR	GO:0003677:IEA|GO:0003700:IEA|GO:0006351:IEA	PF00126|PF03466	HTH_1|LysR_substrate	IPR050389|IPR000847|IPR005119|IPR036388|IPR036390		A6TGG7
A6TGR5	272620	metAS	Homoserine O-succinyltransferase	GO:0005737:IEA|GO:0004414:IEA|GO:0008899:IEA|GO:0019281:IEA	PF04204	HTS	IPR029062|IPR005697|IPR033752	2.3.1.46	A6TGR5
A6TGT4	272620	pgi	Glucose-6-phosphate isomerase	GO:0005829:IEA|GO:0097367:IEA|GO:0004347:IEA|GO:0048029:IEA|GO:0006094:IEA|GO:0051156:IEA|GO:0006096:IEA	PF00342	PGI	IPR001672|IPR023096|IPR018189|IPR046348|IPR035476|IPR035482	5.3.1.9	A6TGT4
A6TGU6	272620	lamB2	Maltoporin 2	GO:0009279:IEA|GO:0046930:IEA|GO:0042958:IEA|GO:0015481:IEA|GO:0006811:IEA	PF02264	LamB	IPR050286|IPR023738|IPR003192|IPR036998		A6TGU6
A6TGW7	272620	ssb1	Single-stranded DNA-binding protein 1	GO:0009295:IEA|GO:0003697:IEA|GO:0006310:IEA|GO:0006281:IEA|GO:0006260:IEA	PF00436	SSB	IPR012340|IPR000424|IPR011344		A6TGW7
A6TH19	272620	phnH	Phosphonate metabolism	GO:0019634:IEA	PF05845	PhnH	IPR038058|IPR008772		A6TH19
A6TH69	272620	blc	Outer membrane lipoprotein Blc	GO:0009279:IEA|GO:0008289:IEA|GO:0006950:IEA	PF08212	Lipocalin_2	IPR012674|IPR022271|IPR002446|IPR047202|IPR022272|IPR000566		A6TH69
A6TH72	272620	frdB	Succinate dehydrogenase iron-sulfur subunit	GO:0005886:IEA|GO:0051537:IEA|GO:0051538:IEA|GO:0051539:IEA|GO:0009055:IEA|GO:0046872:IEA|GO:0008177:IEA|GO:0009061:IEA|GO:0006099:IEA	PF13085|PF13237	Fer2_3|Fer4_10	IPR036010|IPR001041|IPR006058|IPR017896|IPR017900|IPR012675|IPR009051|IPR004489|IPR025192	1.3.5.1	A6TH72
A6THH1	272620	mgtA	Magnesium-transporting ATPase, P-type 1	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0046872:IEA|GO:0015444:IEA	PF13246|PF00689|PF00690|PF00122	Cation_ATPase|Cation_ATPase_C|Cation_ATPase_N|E1-E2_ATPase	IPR006068|IPR004014|IPR023299|IPR018303|IPR023298|IPR008250|IPR059000|IPR036412|IPR023214|IPR006415|IPR001757|IPR044492	7.2.2.14	A6THH1
A6THJ9	272620	KPN_04682	SN-glycerol-3-phosphate transport system permease	GO:0005886:IEA|GO:0055085:IEA	PF00528	BPD_transp_1	IPR000515|IPR035906|IPR050809		A6THJ9
A6THL4	272620	KPN_04698	Uncharacterized protein						A6THL4
A6THQ4	272620	KPN_04738	Periplasmic copper-binding protein		PF11604	CusF_Ec	IPR021647|IPR042230		A6THQ4
A6TI00	272620	lplA	Lipoate-protein ligase A	GO:0005829:IEA|GO:0005524:IEA|GO:0016979:IEA|GO:0017118:IEA|GO:0009249:IEA	PF10437|PF21948	Lip_prot_lig_C|LplA-B_cat	IPR045864|IPR004143|IPR023741|IPR019491|IPR004562	6.3.1.20	A6TI00
A6TIC9	272620	KPN_pKPN3p05973	UmuDC operon protein-like protein	GO:0005829:IEA|GO:0003684:IEA|GO:0003887:IEA|GO:0006281:IEA|GO:0042276:IEA|GO:0009432:IEA	PF13438|PF00817|PF11799	DUF4113|IMS|IMS_C	IPR043502|IPR036775|IPR017961|IPR050116|IPR025188|IPR043128|IPR001126		A6TIC9
A6TIG5	272620	traP	Inner membrane protein		PF07296	TraP	IPR009913		A6TIG5
A6TII7	272620	traG	F pilus assembly and aggregate stability protein		PF07916	TraG_N	IPR012931		
A6T4E4	272620	thrC	Threonine synthase	GO:0030170:IEA|GO:0004795:IEA|GO:0009088:IEA	PF00291|PF14821	PALP|Thr_synth_N	IPR000634|IPR029144|IPR037158|IPR004450|IPR051166|IPR001926|IPR036052	4.2.3.1	A6T4E4
A6T4K4	272620	yabJ	ATP-binding component of a transport system	GO:0016020:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0042626:IEA|GO:0071934:IEA	PF00005	ABC_tran	IPR003593|IPR050093|IPR003439|IPR017871|IPR027417|IPR005968		A6T4K4
A6T4N6	272620	ftsQ	Cell division protein FtsQ	GO:0032153:IEA|GO:0005886:IEA|GO:0090529:IEA|GO:0043093:IEA	PF03799|PF08478	FtsQ_DivIB_C|POTRA_1	IPR005548|IPR026579|IPR045335|IPR034746|IPR013685		A6T4N6
A6T4T8	272620	pulQ	Prepilin leader peptidase/N-methyltransferase	GO:0005886:IEA|GO:0004190:IEA|GO:0008168:IEA|GO:0032259:IEA|GO:0006465:IEA	PF06750|PF01478	A24_N_bact|Peptidase_A24	IPR014032|IPR000045|IPR010627|IPR050882	2.1.1.-|3.4.23.43	A6T4T8
A6T4Z2	272620	yaeP	UPF0253 protein KPN_00203		PF06786	UPF0253	IPR009624		A6T4Z2
A6T572	272620	ecpA	Common pilus major fimbrillin subunit EcpA	GO:0009289:IEA	PF16449	MatB	IPR016514|IPR038478		A6T572
A6T579	272620	gltL	ATP-binding protein of glutamate/aspartate transport system	GO:0005886:IEA|GO:0015424:IEA|GO:0005524:IEA|GO:0016887:IEA	PF00005	ABC_tran	IPR003593|IPR030679|IPR003439|IPR017871|IPR050086|IPR027417		A6T579
A6T5E7	272620	ribD	Riboflavin biosynthesis protein RibD	GO:0008703:IEA|GO:0008835:IEA|GO:0050661:IEA|GO:0008270:IEA|GO:0009231:IEA	PF00383|PF01872	dCMP_cyt_deam_1|RibD_C	IPR016192|IPR002125|IPR016193|IPR024072|IPR004794|IPR011549|IPR002734|IPR050765	3.5.4.26|1.1.1.193	A6T5E7
A6T5H1	272620	cyoE	Protoheme IX farnesyltransferase	GO:0005886:IEA|GO:0008495:IEA|GO:0048034:IEA	PF01040	UbiA	IPR006369|IPR000537|IPR030470|IPR044878	2.5.1.141	A6T5H1
A6T5I2	272620	lon	Lon protease	GO:0005737:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0004176:IEA|GO:0043565:IEA|GO:0004252:IEA|GO:0034605:IEA|GO:0006515:IEA	PF00004|PF05362|PF22667|PF02190	AAA|Lon_C|Lon_lid|LON_substr_bdg	IPR003593|IPR003959|IPR027543|IPR004815|IPR054594|IPR008269|IPR027065|IPR003111|IPR046336|IPR027417|IPR008268|IPR015947|IPR020568|IPR014721	3.4.21.53	A6T5I2
