accession	taxon_id	gene_name	description	go_ids	pfam_ids	pfam_names	interpro_ids	ec_numbers	alphafold_id
B2UL04	349741		Uncharacterized protein						B2UL04
B2UL26	349741		4-hydroxythreonine-4-phosphate dehydrogenase	GO:0050570:IEA|GO:0046872:IEA|GO:0051287:IEA	PF04166	PdxA	IPR005255	1.1.1.262	B2UL26
B2ULB0	349741		Periplasmic solute binding protein	GO:0030313:IEA|GO:0046872:IEA|GO:0007155:IEA|GO:0030001:IEA	PF01297	ZnuA	IPR006129|IPR050492|IPR006128|IPR006127		B2ULB0
B2ULD1	349741		PfkB domain protein	GO:0005524:IEA|GO:0016301:IEA	PF00294	PfkB	IPR050306|IPR011611|IPR029056		B2ULD1
B2ULE9	349741		Major facilitator superfamily MFS_1	GO:0005886:IEA|GO:0022857:IEA	PF05977	MFS_3	IPR020846|IPR036259|IPR010290		B2ULE9
B2ULH9	349741		Uncharacterized protein						B2ULH9
B2ULI7	349741		Uncharacterized protein						B2ULI7
B2ULI8	349741		Uncharacterized protein						B2ULI8
B2ULJ0	349741	rpmI	Large ribosomal subunit protein bL35	GO:0022625:IEA|GO:0003735:IEA|GO:0006412:IEA	PF01632	Ribosomal_L35p	IPR001706|IPR021137|IPR018265|IPR037229		B2ULJ0
B2ULQ2	349741		Uncharacterized protein						B2ULQ2
B2ULS5	349741		Lipolytic protein G-D-S-L family	GO:0016788:IEA	PF13472	Lipase_GDSL_2	IPR013830|IPR036514		B2ULS5
B2ULS7	349741		Transposase IS3/IS911 family protein				IPR009057		B2ULS7
B2ULS8	349741		DNA topoisomerase (ATP-hydrolyzing)	GO:0005737:IEA|GO:0009330:IEA|GO:0005524:IEA|GO:0003677:IEA|GO:0003918:IEA|GO:0006265:IEA	PF00521	DNA_topoisoIV	IPR013760|IPR013758|IPR013757|IPR002205|IPR050220	5.99.1.3	B2ULS8
B2ULU7	349741		Thioredoxin domain		PF13098	Thioredoxin_2	IPR051099|IPR012336|IPR036249|IPR013766		B2ULU7
B2ULU9	349741		Metallophosphoesterase	GO:0016787:IEA	PF00149	Metallophos	IPR004843|IPR029052		B2ULU9
B2ULW4	349741		Uncharacterized protein						B2ULW4
B2ULW9	349741	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	GO:0005829:IEA|GO:0016020:IEA|GO:0008690:IEA|GO:0033468:IEA|GO:0009103:IEA	PF02348	CTP_transf_3	IPR003329|IPR004528|IPR029044	2.7.7.38	B2ULW9
B2UM18	349741		Enoyl-[acyl-carrier-protein] reductase [NADH]	GO:0004318:IEA|GO:0006633:IEA	PF13561	adh_short_C2	IPR014358|IPR036291|IPR002347	1.3.1.9	B2UM18
B2UM39	349741		ISXO2-like transposase domain-containing protein		PF12762|PF12760	DDE_Tnp_IS1595|Zn_ribbon_IS1595	IPR053164|IPR024445|IPR024442		B2UM39
B2UM47	349741		Regulatory protein GntR HTH	GO:0003700:IEA|GO:0000976:IEA|GO:0006351:IEA	PF00392|PF13377	GntR|Peripla_BP_3	IPR046335|IPR028082|IPR000524|IPR036388|IPR036390		B2UM47
B2UM49	349741		Integrase family protein	GO:0003677:IEA|GO:0015074:IEA|GO:0006310:IEA	PF00589	Phage_integrase	IPR011010|IPR013762|IPR002104|IPR010998|IPR050090		B2UM49
B2UM74	349741	trpB	Tryptophan synthase beta chain	GO:0005737:IEA|GO:0004834:IEA	PF00291	PALP	IPR006653|IPR006654|IPR023026|IPR001926|IPR036052	4.2.1.20	B2UM74
B2UMC2	349741		site-specific DNA-methyltransferase (adenine-specific)	GO:0003677:IEA|GO:0009007:IEA|GO:0009307:IEA|GO:0032259:IEA	PF07669|PF12950	Eco57I|TaqI_C	IPR002052|IPR011639|IPR050953|IPR029063|IPR025931	2.1.1.72	B2UMC2
B2UME0	349741		Transcriptional regulator MntR	GO:0003677:IEA|GO:0003700:IEA|GO:0046983:IEA|GO:0046914:IEA|GO:0006351:IEA	PF02742|PF01325	Fe_dep_repr_C|Fe_dep_repress	IPR050536|IPR001367|IPR036421|IPR022687|IPR022689|IPR036388|IPR036390		B2UME0
B2UMH2	349741		ATP-dependent DNA helicase RecQ	GO:0043590:IEA|GO:0005737:IEA|GO:0030894:IEA|GO:0043138:IEA|GO:0005524:IEA|GO:0003677:IEA|GO:0009378:IEA|GO:0016787:IEA|GO:0046872:IEA|GO:0006310:IEA|GO:0006281:IEA|GO:0006260:IEA	PF00270|PF00271|PF00570|PF16124|PF09382	DEAD|Helicase_C|HRDC|RecQ_Zn_bind|RQC	IPR011545|IPR004589|IPR014001|IPR001650|IPR010997|IPR002121|IPR044876|IPR027417|IPR032284|IPR018982|IPR036388|IPR036390	5.6.2.4	B2UMH2
B2UMP8	349741		Uncharacterized protein						B2UMP8
B2UMQ8	349741		Uncharacterized protein						B2UMQ8
B2UMR2	349741	tgt	Queuine tRNA-ribosyltransferase	GO:0005829:IEA|GO:0008479:IEA|GO:0008616:IEA	PF01702	TGT	IPR050076|IPR004803|IPR036511|IPR002616	2.4.2.29	B2UMR2
B2UMT0	349741	rpsQ	Small ribosomal subunit protein uS17	GO:0022627:IEA|GO:0019843:IEA|GO:0003735:IEA|GO:0006412:IEA	PF00366	Ribosomal_S17	IPR012340|IPR000266|IPR019984|IPR019979		B2UMT0
B2UN14	349741		Aldo/keto reductase	GO:0005829:IEA|GO:0016491:IEA	PF00248	Aldo_ket_red	IPR020471|IPR050523|IPR036812|IPR023210		B2UN14
B2UN28	349741		Putative SAM-dependent methyltransferase	GO:0005737:IEA|GO:0008168:IEA|GO:0003723:IEA|GO:0032259:IEA	PF10672|PF17785	Methyltrans_SAM|PUA_3	IPR015947|IPR036974|IPR041532|IPR019614|IPR029063		B2UN28
B2UN34	349741		Pirin domain protein	GO:0046872:IEA	PF02678|PF17954	Pirin|Pirin_C_2	IPR012093|IPR003829|IPR041602|IPR014710|IPR011051		B2UN34
B2UN39	349741	fucI	L-fucose isomerase	GO:0005737:IEA|GO:0008790:IEA|GO:0008736:IEA|GO:0030145:IEA|GO:0019571:IEA|GO:0042355:IEA	PF02952|PF07881|PF07882	Fucose_iso_C|Fucose_iso_N1|Fucose_iso_N2	IPR004216|IPR038393|IPR015888|IPR038391|IPR012888|IPR005763|IPR038392|IPR009015|IPR012889	5.3.1.25	B2UN39
B2UN55	349741		Oligopeptide/dipeptide ABC transporter, ATPase subunit	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0015833:IEA	PF00005|PF08352	ABC_tran|oligo_HPY	IPR003593|IPR050388|IPR003439|IPR017871|IPR013563|IPR027417		B2UN55
B2UN66	349741		Single-stranded DNA-binding protein	GO:0009295:IEA|GO:0003697:IEA|GO:0006310:IEA|GO:0006281:IEA|GO:0006260:IEA	PF00436	SSB	IPR012340|IPR000424|IPR011344		B2UN66
B2UNG8	349741		Glycosyl transferase group 1	GO:0016757:IEA	PF13439|PF00534	Glyco_transf_4|Glycos_transf_1	IPR001296|IPR028098		B2UNG8
B2UNH6	349741		DUF805 domain-containing protein	GO:0005886:IEA	PF05656	DUF805	IPR008523		B2UNH6
B2UNI3	349741		Phosphoribosylformylglycinamidine cyclo-ligase	GO:0005829:IEA|GO:0005524:IEA|GO:0004637:IEA|GO:0004641:IEA|GO:0006189:IEA|GO:0046084:IEA	PF00586|PF02769	AIRS|AIRS_C	IPR010918|IPR036676|IPR016188|IPR036921|IPR004733	6.3.3.1	B2UNI3
B2UNL0	349741		Type I restriction enzyme endonuclease subunit	GO:0005524:IEA|GO:0003677:IEA|GO:0009035:IEA|GO:0009307:IEA	PF12008|PF04313|PF18766|PF22679	EcoR124_C|HSDR_N|SWI2_SNF2|T1R_D3-like	IPR014001|IPR055180|IPR027417|IPR007409|IPR004473|IPR040980|IPR051268|IPR022625	3.1.21.3	B2UNL0
B2UNN4	349741		Phosphoribosyltransferase	GO:0005829:IEA|GO:0004422:IEA|GO:0000287:IEA|GO:0032263:IEA|GO:0006178:IEA|GO:0046100:IEA|GO:0032264:IEA	PF00156	Pribosyltran	IPR050408|IPR029057|IPR000836		B2UNN4
B2UNQ8	349741		Methionine synthase	GO:0005829:IEA|GO:0031419:IEA|GO:0008705:IEA|GO:0008270:IEA|GO:0050667:IEA|GO:0032259:IEA|GO:0046653:IEA	PF02310|PF02607|PF02965|PF00809|PF02574	B12-binding|B12-binding_2|Met_synt_B12|Pterin_bind|S-methyl_trans	IPR003759|IPR006158|IPR036724|IPR011005|IPR003726|IPR036589|IPR050554|IPR033706|IPR011822|IPR036594|IPR000489|IPR004223|IPR037010	2.1.1.13	B2UNQ8
B2UNT9	349741		Phosphopantothenate--cysteine ligase	GO:0004632:IEA|GO:0015937:IEA	PF04127	DFP	IPR035929|IPR007085	6.3.2.5	B2UNT9
B2UNU7	349741		Glycosyltransferase RgtA/B/C/D-like domain-containing protein						B2UNU7
B2UNW6	349741		Transporter				IPR037185		B2UNW6
B2UNZ9	349741		GreA/GreB family elongation factor	GO:0003677:IEA|GO:0070063:IEA|GO:0003746:IEA|GO:0006354:IEA|GO:0032784:IEA	PF01272|PF03449|PF27167	GreA_GreB|GreA_GreB_N|HTH_GRAD	IPR036953|IPR001437|IPR023459|IPR022691|IPR036805		B2UNZ9
B2UP10	349741		Siroheme decarboxylase				IPR036390		B2UP10
B2UP51	349741		Transcriptional regulator, BadM/Rrf2 family	GO:0005829:IEA|GO:0003677:IEA|GO:0003700:IEA	PF02082	Rrf2	IPR000944|IPR036388|IPR036390		B2UP51
B2UP57	349741		Beta-hexosaminidase Amuc_2018	GO:0016020:IEA|GO:0032428:IDA|GO:0016231:IDA|GO:0046872:IEA|GO:0052781:IDA|GO:0030203:IEA|GO:0000272:IDA	PF00728|PF02838	Glyco_hydro_20|Glyco_hydro_20b	IPR025705|IPR017853|IPR015883|IPR029018|IPR015882	3.2.1.52	B2UP57
B2UP71	349741	thyA	Thymidylate synthase	GO:0005829:IEA|GO:0004799:IEA|GO:0006231:IEA|GO:0006235:IEA|GO:0032259:IEA	PF00303	Thymidylat_synt	IPR045097|IPR023451|IPR036926|IPR000398|IPR020940	2.1.1.45	B2UP71
B2UP94	349741		Rubrerythrin diiron-binding domain-containing protein	GO:0140737:IEA|GO:0046872:IEA|GO:0016491:IEA	PF02915	Rubrerythrin	IPR051429|IPR009078|IPR003251		B2UP94
B2UPD3	349741		3'-5' exonuclease	GO:0008408:IEA|GO:0003676:IEA|GO:0000166:IEA|GO:0006139:IEA	PF01612	DNA_pol_A_exo1	IPR002562|IPR010997|IPR044876|IPR051086|IPR012337|IPR036397		B2UPD3
B2UPE1	349741		Meso-diaminopimelate D-dehydrogenase	GO:0047850:IEA|GO:0000166:IEA|GO:0019877:IEA|GO:0009089:IEA	PF16654|PF01408	DAPDH_C|GFO_IDH_MocA	IPR010190|IPR000683|IPR032094|IPR036291	1.4.1.16	B2UPE1
B2UPF1	349741		Abortive infection protein	GO:0004175:IEA|GO:0080120:IEA	PF02517	Rce1-like	IPR003675		B2UPF1
B2UPF5	349741		Phospholipid/glycerol acyltransferase	GO:0003841:IEA|GO:0006654:IEA	PF01553	Acyltransferase	IPR002123		B2UPF5
B2UPH1	349741	hisI	Phosphoribosyl-AMP cyclohydrolase	GO:0005737:IEA|GO:0000287:IEA|GO:0004635:IEA|GO:0004636:IEA|GO:0008270:IEA|GO:0000105:IEA	PF01502	PRA-CH	IPR026660|IPR002496|IPR038019	3.5.4.19	B2UPH1
B2UPH7	349741		Uncharacterized protein						B2UPH7
B2UPI6	349741		Uncharacterized protein						B2UPI6
B2UPJ0	349741	fabH	Beta-ketoacyl-[acyl-carrier-protein] synthase III	GO:0005737:IEA|GO:0004315:IEA|GO:0033818:IEA|GO:0006633:IEA|GO:0044550:IEA	PF08545|PF08541	ACP_syn_III|ACP_syn_III_C	IPR013747|IPR013751|IPR004655|IPR016039	2.3.1.180	B2UPJ0
B2UPL2	349741		Peptidoglycan glycosyltransferase	GO:0005886:IEA|GO:0004180:IEA|GO:0016757:IEA|GO:0008658:IEA|GO:0071555:IEA	PF03717|PF00905	PBP_dimer|Transpeptidase	IPR050515|IPR012338|IPR005311|IPR036138|IPR001460	2.4.1.129	B2UPL2
B2UPN2	349741		RbsD or FucU transport	GO:0062193:IEA|GO:0042806:IEA|GO:0036373:IEA|GO:0006004:IEA	PF05025	RbsD_FucU	IPR023750|IPR050443|IPR007721		B2UPN2
B2UPP9	349741		Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase	GO:0016746:IEA|GO:0050126:IEA|GO:0033388:IEA	PF00795	CN_hydrolase	IPR050345|IPR003010|IPR036526		B2UPP9
B2UPS1	349741		Uncharacterized protein	GO:0003677:IEA			IPR001387|IPR010982		B2UPS1
B2UPT8	349741		D-ribose pyranase	GO:0016853:IEA|GO:0048029:IEA|GO:0005996:IEA			IPR023750		B2UPT8
B2UPU1	349741		Uncharacterized protein						B2UPU1
B2UPU5	349741		Oxidoreductase domain protein	GO:0000166:IEA	PF01408|PF02894	GFO_IDH_MocA|GFO_IDH_MocA_C	IPR004104|IPR000683|IPR051450|IPR036291		B2UPU5
B2UPV2	349741		Redoxin domain protein	GO:0030313:IEA|GO:0016491:IEA|GO:0017004:IEA	PF08534	Redoxin	IPR013740|IPR036249|IPR013766|IPR050553		B2UPV2
B2UPV7	349741		Amino-acid N-acetyltransferase	GO:0005737:IEA|GO:0004042:IEA|GO:0006526:IEA	PF00583	Acetyltransf_1	IPR036393|IPR016181|IPR000182|IPR010167	2.3.1.1	B2UPV7
B2UPW9	349741		3-isopropylmalate dehydratase	GO:0003861:IEA|GO:0009098:IEA	PF00694	Aconitase_C	IPR004431|IPR015928|IPR000573|IPR033940|IPR050075	4.2.1.33	B2UPW9
B2UQ09	349741	queE	7-carboxy-7-deazaguanine synthase	GO:0051539:IEA|GO:0016840:IEA|GO:0000287:IEA|GO:1904047:IEA|GO:0008616:IEA	PF04055	Radical_SAM	IPR024924|IPR013785|IPR007197|IPR058240	4.3.99.3	B2UQ09
B2UQ34	349741		DUF4294 domain-containing protein						B2UQ34
B2UQ52	349741		Uncharacterized protein						B2UQ52
B2UQ78	349741		Nuclease (SNase domain protein)	GO:0004519:IEA|GO:0016787:IEA|GO:0003676:IEA	PF00565	SNase	IPR035437|IPR016071|IPR002071		B2UQ78
B2UQ87	349741		Mg chelatase, subunit ChlI	GO:0005524:IEA	PF13541|PF01078|PF13335	ChlI|Mg_chelatase|Mg_chelatase_C	IPR003593|IPR045006|IPR004482|IPR025158|IPR000523|IPR027417|IPR020568|IPR014721		B2UQ87
B2UQ93	349741		Exosortase system-associated protein, TIGR04073 family				IPR023824		B2UQ93
B2UQ98	349741		Pyruvate flavodoxin/ferredoxin oxidoreductase domain protein	GO:0051539:IEA|GO:0005506:IEA|GO:0016903:IEA|GO:0030976:IEA|GO:0022900:IEA|GO:0006979:IEA|GO:0044281:IEA	PF10371|PF12838|PF17147|PF01558|PF01855|PF02775	EKR|Fer4_7|PFOR_II|POR|POR_N|TPP_enzyme_C	IPR017896|IPR017900|IPR033412|IPR050722|IPR037112|IPR019456|IPR019752|IPR002880|IPR011895|IPR002869|IPR029061|IPR011766|IPR009014		B2UQ98
B2UQC6	349741		Two component transcriptional regulator, winged helix family	GO:0005829:IEA|GO:0032993:IEA|GO:0000987:IEA|GO:0042802:IEA|GO:0000156:IEA|GO:0006351:IEA|GO:0045893:IEA	PF00072|PF00486	Response_reg|Trans_reg_C	IPR011006|IPR001867|IPR001789|IPR039420|IPR036388		B2UQC6
B2UQG1	349741		Glycosyl hydrolase family 88	GO:0016787:IEA|GO:0005975:IEA	PF16153|PF07470	DUF4861|Glyco_hydro_88	IPR008928|IPR012341|IPR032342|IPR010905|IPR052043		B2UQG1
B2UQG8	349741		Alkaline phosphatase	GO:0004035:IEA|GO:0046872:IEA	PF00245	Alk_phosphatase	IPR001952|IPR018299|IPR017850	3.1.3.1	B2UQG8
B2UQH6	349741		Beta-lactamase domain protein		PF12706	Lactamase_B_2	IPR001279|IPR036866		B2UQH6
B2UQJ1	349741		Beta-lactamase-inhibitor-like PepSY-like domain-containing protein						B2UQJ1
B2UQK7	349741		Transcriptional regulator, LysR family	GO:0003700:IEA|GO:0000976:IEA|GO:0006351:IEA	PF00126|PF03466	HTH_1|LysR_substrate	IPR000847|IPR005119|IPR036388|IPR036390		B2UQK7
B2UQS1	349741	coaX	Type III pantothenate kinase	GO:0005737:IEA|GO:0005524:IEA|GO:0046872:IEA|GO:0004594:IEA|GO:0015937:IEA	PF03309	Pan_kinase	IPR043129|IPR004619	2.7.1.33	B2UQS1
B2UQV5	349741		Uncharacterized protein						B2UQV5
B2UQY7	349741	nusG	Transcription termination/antitermination protein NusG	GO:0005829:IEA|GO:0006354:IEA|GO:0006353:IEA|GO:0032784:IEA|GO:0031564:IEA	PF00467|PF02357	KOW|NusG	IPR005824|IPR047050|IPR006645|IPR036735|IPR043425|IPR014722|IPR001062|IPR015869|IPR008991		B2UQY7
B2UQZ8	349741		Uncharacterized protein						B2UQZ8
B2UR17	349741		Glycosyltransferase-like protein	GO:0016740:IEA	PF13692	Glyco_trans_1_4			B2UR17
B2UR26	349741		Carbohydrate-selective porin OprB	GO:0016020:IEA|GO:0015288:IEA|GO:0008643:IEA	PF04966	OprB	IPR007049|IPR038673		B2UR26
B2URD1	349741		Putative pre-16S rRNA nuclease	GO:0005829:IEA|GO:0016788:IEA|GO:0004518:IEA|GO:0000967:IEA	PF03652	RuvX	IPR012337|IPR005227|IPR006641|IPR037027	3.1.-	B2URD1
B2URD6	349741		DUF302 domain-containing protein						B2URD6
B2URD7	349741		Helicase c2	GO:0005524:IEA|GO:0003677:IEA|GO:0003678:IEA|GO:0016818:IEA|GO:0051536:IEA|GO:0046872:IEA|GO:0006139:IEA	PF06733|PF13307	DEAD_2|Helicase_C_2	IPR006555|IPR045028|IPR014013|IPR027417|IPR010614		B2URD7
B2URE6	349741	purH	Bifunctional purine biosynthesis protein PurH	GO:0005829:IEA|GO:0003937:IEA|GO:0004643:IEA|GO:0006189:IEA	PF01808|PF02142	AICARFT_IMPCHas|MGS	IPR024051|IPR016193|IPR011607|IPR036914|IPR002695	2.1.2.3|3.5.4.10	B2URE6
B2URJ7	349741	rpmH	Large ribosomal subunit protein bL34	GO:1990904:IEA|GO:0005840:IEA|GO:0003735:IEA|GO:0006412:IEA	PF00468	Ribosomal_L34	IPR000271|IPR020939		B2URJ7
B2URK1	349741		Putative glucose-6-phosphate 1-epimerase	GO:0030246:IEA|GO:0047938:IEA|GO:0005975:IEA	PF01263	Aldose_epim	IPR008183|IPR025532|IPR011013|IPR014718	5.1.3.15	B2URK1
B2URL2	349741		Uncharacterized protein						B2URL2
B2URL5	349741		Uncharacterized protein						B2URL5
B2UKN9	349741		Phage major capsid protein						B2UKN9
B2UKV5	349741		Glycosyl transferase group 1	GO:0016757:IEA|GO:0016787:IEA	PF13692|PF13439|PF00149	Glyco_trans_1_4|Glyco_transf_4|Metallophos	IPR004843|IPR028098|IPR050194|IPR029052		B2UKV5
B2UKY6	349741		CBM6 domain-containing protein	GO:0005975:IEA			IPR008928|IPR012341|IPR008979		B2UKY6
B2UKZ4	349741		ABC transporter related	GO:0005886:IEA|GO:0015424:IEA|GO:0005524:IEA|GO:0016887:IEA	PF00005	ABC_tran	IPR003593|IPR030679|IPR003439|IPR017871|IPR050086|IPR027417		B2UKZ4
B2UL40	349741		Glutamyl-tRNA synthetase class Ic	GO:0005829:IEA|GO:0005524:IEA|GO:0004818:IEA|GO:0046872:IEA|GO:0006424:IEA	PF00749	tRNA-synt_1c	IPR001412|IPR000924|IPR020058|IPR049940|IPR014729		B2UL40
B2UL48	349741		Putative sigma E regulatory protein, MucB/RseB		PF17131	TP_0789-like	IPR033399		B2UL48
B2UL97	349741		GCN5-related N-acetyltransferase	GO:0005737:IEA|GO:0008080:IEA	PF00583	Acetyltransf_1	IPR016181|IPR000182|IPR045039		B2UL97
B2ULB7	349741		Alpha-N-acetylglucosaminidase	GO:0004561:IEA|GO:0005975:IEA	PF05089|PF12972|PF12971	NAGLU|NAGLU_C|NAGLU_N	IPR029018|IPR007781|IPR024732|IPR024240|IPR024733	3.2.1.50	B2ULB7
B2ULF0	349741		Putative PAS/PAC sensor protein	GO:0016791:IEA	PF08447|PF08448|PF07228	PAS_3|PAS_4|SpoIIE	IPR052016|IPR000014|IPR000700|IPR035965|IPR013656|IPR013655|IPR036457|IPR001932		B2ULF0
B2ULF3	349741		Helicase domain protein	GO:0005524:IEA|GO:0004386:IEA|GO:0016787:IEA|GO:0006281:IEA|GO:0031297:IEA	PF00271|PF00176	Helicase_C|SNF2-rel_dom	IPR014001|IPR001650|IPR027417|IPR038718|IPR049730|IPR000330		B2ULF3
B2ULH0	349741	trpA	Tryptophan synthase alpha chain	GO:0005829:IEA|GO:0004834:IEA	PF00290	Trp_syntA	IPR013785|IPR011060|IPR018204|IPR002028	4.2.1.20	B2ULH0
B2ULH7	349741		Formate acetyltransferase	GO:0005829:IEA|GO:0008861:IEA|GO:0006006:IEA	PF01228|PF02901	Gly_radical|PFL-like	IPR050244|IPR005949|IPR019777|IPR001150|IPR004184	2.3.1.54	B2ULH7
B2ULI5	349741	nuoA	NADH-quinone oxidoreductase subunit A	GO:0030964:IEA|GO:0005886:IEA|GO:0050136:IEA|GO:0008137:IEA|GO:0048038:IEA	PF00507	Oxidored_q4	IPR023043|IPR000440|IPR038430	7.1.1.-	B2ULI5
B2ULL0	349741		DNA-directed RNA polymerase, omega subunit	GO:0000428:IEA|GO:0003677:IEA|GO:0003899:IEA|GO:0006351:IEA			IPR036161		B2ULL0
B2ULL9	349741		Type II secretion system protein E	GO:0005886:IEA|GO:0005524:IEA|GO:0016887:IEA	PF05157|PF00437	MshEN|T2SSE	IPR003593|IPR027417|IPR001482|IPR037257|IPR007831		B2ULL9
B2ULN8	349741		Proton-translocating NADH-quinone oxidoreductase, chain M	GO:0012505:IEA|GO:0016020:IEA|GO:0008137:IEA|GO:0003954:IEA|GO:0048039:IEA|GO:0042773:IEA|GO:0015990:IEA	PF00361	Proton_antipo_M	IPR010227|IPR003918|IPR001750	1.6.99.5	B2ULN8
B2ULV7	349741		ABC transporter related	GO:0005886:IEA|GO:0140359:IEA|GO:0005524:IEA|GO:0016887:IEA|GO:0034040:IEA	PF00664|PF00005	ABC_membrane|ABC_tran	IPR003593|IPR011527|IPR036640|IPR003439|IPR017871|IPR027417|IPR039421		B2ULV7
B2ULX1	349741		SSS sodium solute transporter superfamily	GO:0005886:IEA|GO:0015293:IEA|GO:0006814:IEA	PF00474	SSF	IPR038377|IPR001734|IPR051163		B2ULX1
B2ULZ8	349741		Lipoprotein						B2ULZ8
B2UM12	349741		Polynucleotide adenylyltransferase/metal dependent phosphohydrolase	GO:0004810:IEA|GO:0016787:IEA|GO:0046872:IEA|GO:0000166:IEA|GO:0000049:IEA|GO:0008033:IEA	PF01743|PF12627|PF13735	PolyA_pol|PolyA_pol_RNAbd|tRNA_NucTran2_2	IPR050264|IPR032810|IPR003607|IPR043519|IPR002646|IPR032828	2.7.7.72	B2UM12
B2UMA5	349741		6-phosphofructokinase	GO:0005945:IEA|GO:0003872:IEA|GO:0016208:IEA|GO:0005524:IEA|GO:0070095:IEA|GO:0042802:IEA|GO:0046872:IEA|GO:0048029:IEA|GO:0061621:IEA|GO:0030388:IEA|GO:0006002:IEA	PF00365	PFK	IPR022953|IPR012003|IPR015912|IPR000023|IPR035966	2.7.1.11	B2UMA5
B2UMF1	349741	dapB	4-hydroxy-tetrahydrodipicolinate reductase	GO:0005829:IEA|GO:0008839:IEA|GO:0051287:IEA|GO:0050661:IEA|GO:0016726:IEA|GO:0019877:IEA|GO:0009089:IEA	PF05173|PF01113	DapB_C|DapB_N	IPR022663|IPR000846|IPR022664|IPR023940|IPR036291	1.17.1.8	B2UMF1
B2UMI5	349741		Outer membrane autotransporter barrel domain protein		PF03797|PF12951	Autotransporter|PATR	IPR005546|IPR036709|IPR013425|IPR011050		
B2UMJ1	349741		Uncharacterized protein						B2UMJ1
B2UML1	349741		Aminotransferase	GO:0016779:IEA|GO:0030170:IEA|GO:0008483:IEA	PF00155|PF12804	Aminotran_1_2|NTP_transf_3	IPR004839|IPR025877|IPR004838|IPR029044|IPR015424|IPR015421|IPR015422	2.6.1.-	B2UML1
B2UML9	349741		Phosphotransferase system, phosphocarrier protein HPr	GO:0005737:IEA|GO:0016740:IEA|GO:0009401:IEA	PF00381	PTS-HPr	IPR050399|IPR000032|IPR035895|IPR001020|IPR002114		B2UML9
B2UMN5	349741		DUF218 domain-containing protein	GO:0005886:IEA	PF02698	DUF218	IPR051599|IPR003848|IPR014729		B2UMN5
B2UMN7	349741		Aldo/keto reductase	GO:0016491:IEA	PF00248	Aldo_ket_red	IPR020471|IPR036812|IPR023210		B2UMN7
B2UMN8	349741		TPR repeat-containing protein				IPR025738|IPR011990|IPR019734		B2UMN8
B2UMP6	349741		Uncharacterized protein						B2UMP6
B2UMP9	349741		Uncharacterized protein				IPR011990		B2UMP9
B2UMR5	349741	rlpA	Probable endolytic peptidoglycan transglycosylase RlpA	GO:0005886:IEA|GO:0008932:IEA|GO:0071555:IEA|GO:0000270:IEA	PF03330	DPBB_1	IPR034718|IPR009009|IPR036908|IPR012997	4.2.2.-	B2UMR5
B2UMV4	349741		Permease YjgP/YjgQ family protein	GO:0043190:IEA|GO:0015920:IEA	PF03739	LptF_LptG	IPR005495		B2UMV4
B2UMX7	349741		Lipolytic protein G-D-S-L family	GO:0016788:IEA	PF13472	Lipase_GDSL_2	IPR051532|IPR013830|IPR036514		B2UMX7
B2UMY0	349741	rsfS	Ribosomal silencing factor RsfS	GO:0005737:IEA|GO:0043023:IEA|GO:0042256:IEA|GO:0090071:IEA|GO:0017148:IEA	PF02410	RsfS	IPR004394|IPR043519		B2UMY0
B2UMZ6	349741		Short-chain dehydrogenase/reductase SDR	GO:0016020:IEA|GO:0016491:IEA	PF00106	adh_short	IPR057326|IPR036291|IPR020904|IPR002347		B2UMZ6
B2UN03	349741		Uncharacterized protein						B2UN03
B2UN22	349741		beta-N-acetylhexosaminidase	GO:0016020:IEA|GO:0004563:IEA|GO:0005975:IEA|GO:0030203:IEA	PF00728|PF02838	Glyco_hydro_20|Glyco_hydro_20b	IPR025705|IPR017853|IPR015883|IPR029018|IPR015882	3.2.1.52	B2UN22
B2UN30	349741		PA14 domain-containing protein						B2UN30
B2UN67	349741		TonB family protein						B2UN67
B2UN69	349741		Biopolymer transport protein ExbD/TolR	GO:0005886:IEA|GO:0022857:IEA|GO:0015031:IEA	PF02472	ExbD	IPR003400		B2UN69
B2UN71	349741		Glycoside hydrolase family 57	GO:0016787:IEA|GO:0005975:IEA	PF03065	Glyco_hydro_57	IPR052046|IPR011330|IPR004300		B2UN71
B2UN89	349741	queF	NADPH-dependent 7-cyano-7-deazaguanine reductase	GO:0005737:IEA|GO:0033739:IEA|GO:0008616:IEA	PF14489	QueF	IPR043133|IPR050084|IPR029500|IPR016856	1.7.1.13	B2UN89
B2UNB2	349741		ErfK/YbiS/YcfS/YnhG family protein	GO:0005576:IEA|GO:0071972:IEA|GO:0016740:IEA|GO:0071555:IEA|GO:0018104:IEA|GO:0008360:IEA	PF03734	YkuD	IPR050979|IPR005490|IPR038063		B2UNB2
B2UNB3	349741		Terminase				IPR027417		B2UNB3
B2UND5	349741		Putative substrate-binding protein of aliphatic sulfonate ABC transporter	GO:0012505:IEA|GO:0042597:IEA	PF13379	NMT1_2	IPR044527		B2UND5
