"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Is Pseudo","# Transcripts","Gene Name or Symbol","Transcript Product Description"
"Afu1g12840","Afu1g12840-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,393,418..3,397,352(+)","Putative nitrite reductase","No","1","niiA","Putative nitrite reductase"
"Afu1g12850","Afu1g12850-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,397,443..3,400,813(+)","Putative nitrate transporter","No","1","crnA","Putative nitrate transporter"
"Afu1g12860","Afu1g12860-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,401,085..3,401,561(+)","Has domain(s) with predicted racemase and epimerase activity, acting on carbohydrates and derivatives activity, role in rhamnose metabolic process and cytoplasm localization","No","1","N/A","Has domain(s) with predicted racemase and epimerase activity, acting on carbohydrates and derivatives activity, role in rhamnose metabolic process and cytoplasm localization"
"Afu1g12870","Afu1g12870-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,402,037..3,403,795(-)","Ortholog of A. nidulans FGSC A4 : AN1010, A. niger CBS 513.88 : An08g05690, A. oryzae RIB40 : AO090012000621, Aspergillus wentii : Aspwe1_0027873 and Aspergillus sydowii : Aspsy1_0053360","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN1010, A. niger CBS 513.88 : An08g05690, A. oryzae RIB40 : AO090012000621, Aspergillus wentii : Aspwe1_0027873 and Aspergillus sydowii : Aspsy1_0053360"
"Afu1g12875","Afu1g12875-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,403,937..3,404,946(-)","Ortholog(s) have Mis6-Sim4 complex, condensed nuclear chromosome kinetochore, cytoplasm localization","No","1","N/A","Ortholog(s) have Mis6-Sim4 complex, condensed nuclear chromosome kinetochore, cytoplasm localization"
"Afu1g12880","Afu1g12880-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,404,971..3,406,337(+)","Has domain(s) with predicted hydrolase activity","No","1","N/A","Has domain(s) with predicted hydrolase activity"
"Afu1g12890","Afu1g12890-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,406,440..3,408,111(+)","Putative 60S Ribosomal protein L5","No","1","N/A","Putative 60S Ribosomal protein L5"
"Afu1g12900","Afu1g12900-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,409,255..3,414,600(+)","Ortholog of A. nidulans FGSC A4 : AN10140, A. niger CBS 513.88 : An08g05760, A. oryzae RIB40 : AO090012000610, Aspergillus wentii : Aspwe1_0499968 and Aspergillus sydowii : Aspsy1_1154488","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN10140, A. niger CBS 513.88 : An08g05760, A. oryzae RIB40 : AO090012000610, Aspergillus wentii : Aspwe1_0499968 and Aspergillus sydowii : Aspsy1_1154488"
"Afu1g12910","Afu1g12910-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,414,975..3,417,280(+)","Putative ABC fatty acid transporter","No","1","N/A","Putative ABC fatty acid transporter"
"Afu1g12920","Afu1g12920-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,417,594..3,420,644(-)","Putative glycogen phosphorylase","No","1","glpV","Putative glycogen phosphorylase"
"Afu1g12930","Afu1g12930-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,422,056..3,425,907(-)","G protein alpha subunit","No","1","gpaB","G protein alpha subunit"
"Afu1g12940","Afu1g12940-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,427,450..3,430,282(+)","Mitogen-activated protein kinase hog1, putative","No","1","sakA","Mitogen-activated protein kinase hog1, putative"
"Afu1g12950","Afu1g12950-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,430,435..3,433,736(+)","Ortholog(s) have role in post-Golgi vesicle-mediated transport and cellular bud tip, cytoplasm localization","No","1","N/A","Ortholog(s) have role in post-Golgi vesicle-mediated transport and cellular bud tip, cytoplasm localization"
"Afu1g12960","Afu1g12960-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,434,450..3,438,053(-)","SCF ubiquitin ligase subunit, putative","No","1","culA","SCF ubiquitin ligase subunit, putative"
"Afu1g12970","Afu1g12970-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,438,238..3,438,774(+)","Has domain(s) with predicted nutrient reservoir activity","No","1","N/A","Has domain(s) with predicted nutrient reservoir activity"
"Afu1g12980","Afu1g12980-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,439,083..3,440,344(-)","Ortholog of A. nidulans FGSC A4 : AN1021, A. oryzae RIB40 : AO090012000595, Aspergillus wentii : Aspwe1_0498638, Aspergillus sydowii : Aspsy1_0053349 and Aspergillus terreus NIH2624 : ATET_00493","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN1021, A. oryzae RIB40 : AO090012000595, Aspergillus wentii : Aspwe1_0498638, Aspergillus sydowii : Aspsy1_0053349 and Aspergillus terreus NIH2624 : ATET_00493"
"Afu1g12990","Afu1g12990-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,440,969..3,442,069(+)","Ortholog(s) have role in potassium ion transport, proton transport and integral component of mitochondrial inner membrane localization","No","1","N/A","Ortholog(s) have role in potassium ion transport, proton transport and integral component of mitochondrial inner membrane localization"
"Afu1g13000","Afu1g13000-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,447,630..3,448,657(+)","Ortholog of A. nidulans FGSC A4 : AN10534, AN7218, A. fumigatus Af293 : Afu7g03950, A. niger CBS 513.88 : An13g00410, An06g00970 and A. oryzae RIB40 : AO090023000035, AO090026000819","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN10534, AN7218, A. fumigatus Af293 : Afu7g03950, A. niger CBS 513.88 : An13g00410, An06g00970 and A. oryzae RIB40 : AO090023000035, AO090026000819"
"Afu1g13010","Afu1g13010-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,448,981..3,452,240(+)","Ortholog(s) have role in mitotic recombination","No","1","N/A","Ortholog(s) have role in mitotic recombination"
"Afu1g13020","Afu1g13020-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,452,609..3,454,120(-)","Actin cytoskeleton-regulatory complex protein end3, putative","No","1","end3","Actin cytoskeleton-regulatory complex protein end3, putative"
"Afu1g13030","Afu1g13030-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,454,372..3,456,442(-)","Ortholog of A. niger CBS 513.88 : An08g05960, A. oryzae RIB40 : AO090012000587, Neosartorya fischeri NRRL 181 : NFIA_012490 and Aspergillus wentii : Aspwe1_0172018","No","1","N/A","Ortholog of A. niger CBS 513.88 : An08g05960, A. oryzae RIB40 : AO090012000587, Neosartorya fischeri NRRL 181 : NFIA_012490 and Aspergillus wentii : Aspwe1_0172018"
"Afu1g13040","Afu1g13040-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,456,958..3,457,941(-)","protein-tyrosine-phosphatase, putative","No","1","dspA","protein-tyrosine-phosphatase, putative"
"Afu1g13050","Afu1g13050-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,459,890..3,460,751(-)","Has domain(s) with predicted nucleic acid binding activity","No","1","N/A","Has domain(s) with predicted nucleic acid binding activity"
"Afu1g13060","Afu1g13060-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,463,581..3,466,888(-)","Ortholog(s) have role in circadian rhythm, hyphal growth, regulation of mRNA stability involved in response to oxidative stress and cytosol localization","No","1","N/A","Ortholog(s) have role in circadian rhythm, hyphal growth, regulation of mRNA stability involved in response to oxidative stress and cytosol localization"
"Afu1g13070","Afu1g13070-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,467,303..3,468,490(+)","Ortholog(s) have rRNA primary transcript binding, single-stranded telomeric DNA binding, snoRNA binding activity, role in rRNA processing, ribosomal small subunit biogenesis and Mpp10 complex, small-subunit processome localization","No","1","N/A","Ortholog(s) have rRNA primary transcript binding, single-stranded telomeric DNA binding, snoRNA binding activity, role in rRNA processing, ribosomal small subunit biogenesis and Mpp10 complex, small-subunit processome localization"
"Afu1g13080","Afu1g13080-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,468,934..3,470,127(-)","Ortholog of A. niger CBS 513.88 : An08g06070, Aspergillus wentii : Aspwe1_0183289, Aspergillus sydowii : Aspsy1_0086398 and Aspergillus terreus NIH2624 : ATET_00503","No","1","N/A","Ortholog of A. niger CBS 513.88 : An08g06070, Aspergillus wentii : Aspwe1_0183289, Aspergillus sydowii : Aspsy1_0086398 and Aspergillus terreus NIH2624 : ATET_00503"
"Afu1g13090","Afu1g13090-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,470,320..3,473,067(-)","Ortholog(s) have anthranilate synthase activity, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity and indole-3-glycerol-phosphate lyase activity, more","No","1","N/A","Ortholog(s) have anthranilate synthase activity, glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity and indole-3-glycerol-phosphate lyase activity, more"
"Afu1g13100","Afu1g13100-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,473,072..3,479,134(+)","Putative essential gene","No","1","N/A","Putative essential gene"
"Afu1g13110","Afu1g13110-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,479,418..3,482,156(+)","4-coumarate-CoA ligase","No","1","N/A","4-coumarate-CoA ligase"
"Afu1g13120","Afu1g13120-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,483,303..3,483,942(+)","protein of unknown function","No","1","N/A","protein of unknown function"
"Afu1g13130","Afu1g13130-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,484,391..3,485,651(+)","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_012390, Aspergillus wentii : Aspwe1_0040367, Aspergillus versicolor : Aspve1_0036174 and Aspergillus clavatus NRRL 1 : ACLA_022340","No","1","N/A","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_012390, Aspergillus wentii : Aspwe1_0040367, Aspergillus versicolor : Aspve1_0036174 and Aspergillus clavatus NRRL 1 : ACLA_022340"
"Afu1g13140","Afu1g13140-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,486,410..3,488,883(-)","G protein-coupled receptor alpha subunit","No","1","gpaA","G protein-coupled receptor alpha subunit"
"Afu1g13150","Afu1g13150-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,491,236..3,491,851(+)","Ortholog(s) have cytosol, nucleus localization","No","1","N/A","Ortholog(s) have cytosol, nucleus localization"
"Afu1g13160","Afu1g13160-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,492,012..3,494,337(-)","Putative geranylgeranyl diphosphate synthase","No","1","N/A","Putative geranylgeranyl diphosphate synthase"
"Afu1g13170","Afu1g13170-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,494,422..3,496,169(+)","Ortholog(s) have role in cellular protein localization, septation initiation signaling and mitotic spindle pole body localization","No","1","N/A","Ortholog(s) have role in cellular protein localization, septation initiation signaling and mitotic spindle pole body localization"
"Afu1g13180","Afu1g13180-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,496,989..3,498,507(-)","Ortholog(s) have mitochondrial outer membrane localization","No","1","N/A","Ortholog(s) have mitochondrial outer membrane localization"
"Afu1g13190","Afu1g13190-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,498,574..3,501,143(+)","Copper-dependent transcription factor mac1","No","1","mac1","Copper-dependent transcription factor mac1"
"Afu1g13195","Afu1g13195-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,501,533..3,502,024(-)","Ortholog(s) have role in cristae formation and MICOS complex, mitochondrial crista junction localization","No","1","N/A","Ortholog(s) have role in cristae formation and MICOS complex, mitochondrial crista junction localization"
"Afu1g13200","Afu1g13200-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,502,382..3,507,329(+)","Ortholog of A. nidulans FGSC A4 : AN0659, A. niger CBS 513.88 : An08g06230, A. oryzae RIB40 : AO090012001040, Aspergillus wentii : Aspwe1_0051321 and Aspergillus sydowii : Aspsy1_0065853","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN0659, A. niger CBS 513.88 : An08g06230, A. oryzae RIB40 : AO090012001040, Aspergillus wentii : Aspwe1_0051321 and Aspergillus sydowii : Aspsy1_0065853"
"Afu1g13210","Afu1g13210-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,507,945..3,509,919(+)","Ortholog(s) have role in allantoin assimilation pathway, allantoin transport, uracil import across plasma membrane and Golgi apparatus localization","No","1","N/A","Ortholog(s) have role in allantoin assimilation pathway, allantoin transport, uracil import across plasma membrane and Golgi apparatus localization"
"Afu1g13220","Afu1g13220-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,510,664..3,512,251(+)","Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process","No","1","N/A","Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process"
"Afu1g13230","Afu1g13230-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,512,785..3,515,472(+)","Ortholog(s) have nucleotidyltransferase activity","No","1","N/A","Ortholog(s) have nucleotidyltransferase activity"
"Afu1g13240","Afu1g13240-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,515,588..3,517,960(-)","Ortholog(s) have adenine deaminase activity","No","1","N/A","Ortholog(s) have adenine deaminase activity"
"Afu1g13250","Afu1g13250-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,522,985..3,531,985(+)","Putative phospholipase C","No","1","N/A","Putative phospholipase C"
"Afu1g13260","Afu1g13260-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,532,157..3,533,452(+)","Ortholog(s) have cytosol localization","No","1","N/A","Ortholog(s) have cytosol localization"
"Afu1g13270","Afu1g13270-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,533,466..3,535,223(-)","Has domain(s) with predicted hydrolase activity and role in metabolic process","No","1","N/A","Has domain(s) with predicted hydrolase activity and role in metabolic process"
"Afu1g13280","Afu1g13280-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,535,411..3,537,375(-)","Putative phosphomannose isomerase","No","1","pmi1","Putative phosphomannose isomerase"
"Afu1g13290","Afu1g13290-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,537,400..3,539,158(+)","Ortholog(s) have SAGA complex localization","No","1","N/A","Ortholog(s) have SAGA complex localization"
"Afu1g13300","Afu1g13300-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,539,497..3,541,612(+)","Ortholog(s) have cyclohydrolase activity, role in riboflavin biosynthetic process and cytosol, nucleus localization","No","1","N/A","Ortholog(s) have cyclohydrolase activity, role in riboflavin biosynthetic process and cytosol, nucleus localization"
"Afu1g13310","Afu1g13310-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,541,615..3,544,191(+)","Has domain(s) with predicted sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated","No","1","N/A","Has domain(s) with predicted sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated"
"Afu1g13320","Afu1g13320-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,544,562..3,545,894(-)","Has domain(s) with predicted coenzyme binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, phosphogluconate dehydrogenase (decarboxylating) activity","No","1","N/A","Has domain(s) with predicted coenzyme binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, phosphogluconate dehydrogenase (decarboxylating) activity"
"Afu1g13330","Afu1g13330-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,546,428..3,548,027(+)","Ortholog(s) have ATP binding, ATPase activity","No","1","N/A","Ortholog(s) have ATP binding, ATPase activity"
"Afu1g13340","Afu1g13340-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,548,512..3,549,954(-)","Has domain(s) with predicted integral component of membrane localization","No","1","N/A","Has domain(s) with predicted integral component of membrane localization"
"Afu1g13350","Afu1g13350-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,550,799..3,553,109(-)","Putative transporter protein","No","1","N/A","Putative transporter protein"
"Afu1g13360","Afu1g13360-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,554,565..3,556,040(-)","C4-dicarboxylate transporter/malic acid transport protein, putative","No","1","ssu3","C4-dicarboxylate transporter/malic acid transport protein, putative"
"Afu1g13370","Afu1g13370-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,556,795..3,557,928(-)","Putative aldo-keto reductase","No","1","N/A","Putative aldo-keto reductase"
"Afu1g13380","Afu1g13380-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,558,539..3,559,429(+)","Ortholog(s) have cytosol, nucleus localization","No","1","N/A","Ortholog(s) have cytosol, nucleus localization"
"Afu1g13390","Afu1g13390-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,559,777..3,561,986(+)","Ortholog(s) have structural constituent of cytoskeleton activity","No","1","N/A","Ortholog(s) have structural constituent of cytoskeleton activity"
"Afu1g13400","Afu1g13400-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,564,895..3,565,113(+)","Has domain(s) with predicted zinc ion binding activity","No","1","N/A","Has domain(s) with predicted zinc ion binding activity"
"Afu1g13410","Afu1g13410-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,567,282..3,568,533(+)","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_012090, Aspergillus fumigatus A1163 : AFUB_012900 and Aspergillus clavatus NRRL 1 : ACLA_022010","No","1","N/A","Ortholog of Neosartorya fischeri NRRL 181 : NFIA_012090, Aspergillus fumigatus A1163 : AFUB_012900 and Aspergillus clavatus NRRL 1 : ACLA_022010"
"Afu1g13420","Afu1g13420-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,568,808..3,570,076(-)","Serine/threonine-protein phosphatase 2A activator 2, putative","No","1","rrd2","Serine/threonine-protein phosphatase 2A activator 2, putative"
"Afu1g13430","Afu1g13430-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,570,626..3,571,517(+)","Ortholog of A. nidulans FGSC A4 : AN1574, AN0682, A. fumigatus Af293 : Afu8g05950, A. niger CBS 513.88 : An09g02840 and A. oryzae RIB40 : AO090012000536","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN1574, AN0682, A. fumigatus Af293 : Afu8g05950, A. niger CBS 513.88 : An09g02840 and A. oryzae RIB40 : AO090012000536"
"Afu1g13440","Afu1g13440-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,571,783..3,576,429(+)","Has domain(s) with predicted copper ion binding, primary amine oxidase activity, quinone binding activity and role in amine metabolic process, oxidation-reduction process","No","1","N/A","Has domain(s) with predicted copper ion binding, primary amine oxidase activity, quinone binding activity and role in amine metabolic process, oxidation-reduction process"
"Afu1g13450","Afu1g13450-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,577,154..3,581,504(+)","Ortholog of A. nidulans FGSC A4 : AN0684, A. niger CBS 513.88 : An08g06520, A. oryzae RIB40 : AO090012000535, Aspergillus wentii : Aspwe1_0171971 and Aspergillus sydowii : Aspsy1_0028405","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN0684, A. niger CBS 513.88 : An08g06520, A. oryzae RIB40 : AO090012000535, Aspergillus wentii : Aspwe1_0171971 and Aspergillus sydowii : Aspsy1_0028405"
"Afu1g13460","Afu1g13460-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,581,682..3,583,091(+)","Ortholog(s) have rRNA (uridine-N3-)-methyltransferase activity, role in rRNA base methylation and cytoplasm localization","No","1","N/A","Ortholog(s) have rRNA (uridine-N3-)-methyltransferase activity, role in rRNA base methylation and cytoplasm localization"
"Afu1g13470","Afu1g13470-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,583,382..3,584,356(-)","prohibitin, putative","No","1","phb1","prohibitin, putative"
"Afu1g13480","Afu1g13480-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,584,422..3,585,631(+)","Ortholog(s) have ubiquinol-cytochrome-c reductase activity, role in aerobic respiration, mitochondrial electron transport, ubiquinol to cytochrome c and mitochondrial respiratory chain complex III, plasma membrane localization","No","1","N/A","Ortholog(s) have ubiquinol-cytochrome-c reductase activity, role in aerobic respiration, mitochondrial electron transport, ubiquinol to cytochrome c and mitochondrial respiratory chain complex III, plasma membrane localization"
"Afu1g13490","Afu1g13490-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,586,808..3,588,296(+)","Putative spermidine synthase","No","1","N/A","Putative spermidine synthase"
"Afu1g13500","Afu1g13500-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,588,583..3,592,481(-)","Putative transketolase","No","1","tktA","Putative transketolase"
"Afu1g13510","Afu1g13510-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,592,677..3,596,126(-)","Putative Zn(II)2Cys6 transcription factor","No","1","facB","Putative Zn(II)2Cys6 transcription factor"
"Afu1g13520","Afu1g13520-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,596,216..3,600,380(-)","SET domain protein","No","1","N/A","SET domain protein"
"Afu1g13530","Afu1g13530-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,600,451..3,601,177(+)","Ortholog of A. nidulans FGSC A4 : AN0691, A. niger CBS 513.88 : An08g06600, A. oryzae RIB40 : AO090012000522, Neosartorya fischeri NRRL 181 : NFIA_011970 and Aspergillus wentii : Aspwe1_0027806","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN0691, A. niger CBS 513.88 : An08g06600, A. oryzae RIB40 : AO090012000522, Neosartorya fischeri NRRL 181 : NFIA_011970 and Aspergillus wentii : Aspwe1_0027806"
"Afu1g13540","Afu1g13540-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,601,321..3,603,299(-)","Ortholog(s) have cytosol, nucleus localization","No","1","N/A","Ortholog(s) have cytosol, nucleus localization"
"Afu1g13550","Afu1g13550-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,603,404..3,604,908(+)","Protein of unknown function identified by mass spectrometry","No","1","N/A","Protein of unknown function identified by mass spectrometry"
"Afu1g13560","Afu1g13560-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,605,184..3,606,974(+)","Protein of unknown function identified by mass spectrometry","No","1","N/A","Protein of unknown function identified by mass spectrometry"
"Afu1g13570","Afu1g13570-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,608,884..3,610,154(-)","Ortholog(s) have box H/ACA snoRNA binding activity, role in rRNA pseudouridine synthesis, snRNA pseudouridine synthesis and box H/ACA snoRNP complex localization","No","1","N/A","Ortholog(s) have box H/ACA snoRNA binding activity, role in rRNA pseudouridine synthesis, snRNA pseudouridine synthesis and box H/ACA snoRNP complex localization"
"Afu1g13580","Afu1g13580-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,610,270..3,612,955(+)","Ortholog(s) have role in protein localization to kinetochore and condensed nuclear chromosome kinetochore, nuclear pore, nucleoplasm localization","No","1","N/A","Ortholog(s) have role in protein localization to kinetochore and condensed nuclear chromosome kinetochore, nuclear pore, nucleoplasm localization"
"Afu1g13590","Afu1g13590-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,612,981..3,616,590(-)","Ortholog(s) have enzyme inhibitor activity and role in actin cortical patch assembly, negative regulation of catalytic activity, septin cytoskeleton organization","No","1","N/A","Ortholog(s) have enzyme inhibitor activity and role in actin cortical patch assembly, negative regulation of catalytic activity, septin cytoskeleton organization"
"Afu1g13600","Afu1g13600-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,616,736..3,619,502(+)","Ortholog(s) have cyclin-dependent protein kinase activating kinase activity, cyclin-dependent protein serine/threonine kinase regulator activity, protein serine/threonine kinase activity","No","1","N/A","Ortholog(s) have cyclin-dependent protein kinase activating kinase activity, cyclin-dependent protein serine/threonine kinase regulator activity, protein serine/threonine kinase activity"
"Afu1g13610","Afu1g13610-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,619,620..3,622,641(+)","Ortholog of A. nidulans FGSC A4 : AN0698, AN9272, A. fumigatus Af293 : Afu4g09370, A. niger CBS 513.88 : An08g06690, An07g08670, A. oryzae RIB40 : AO090012000513 and Aspergillus wentii : Aspwe1_0171952","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN0698, AN9272, A. fumigatus Af293 : Afu4g09370, A. niger CBS 513.88 : An08g06690, An07g08670, A. oryzae RIB40 : AO090012000513 and Aspergillus wentii : Aspwe1_0171952"
"Afu1g13620","Afu1g13620-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,623,315..3,626,068(-)","Putative oligopeptide transporter","No","1","optA","Putative oligopeptide transporter"
"Afu1g13630","Afu1g13630-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,626,164..3,627,262(-)","Has domain(s) with predicted NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process","No","1","N/A","Has domain(s) with predicted NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process"
"Afu1g13640","Afu1g13640-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,627,663..3,628,130(+)","Ortholog of Aspergillus fumigatus A1163 : AFUB_013130","No","1","N/A","Ortholog of Aspergillus fumigatus A1163 : AFUB_013130"
"Afu1g13650","Afu1g13650-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,628,543..3,630,748(+)","Ortholog of Aspergillus fumigatus A1163 : AFUB_013140","No","1","N/A","Ortholog of Aspergillus fumigatus A1163 : AFUB_013140"
"Afu1g13660","Afu1g13660-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,631,259..3,633,586(-)","Has domain(s) with predicted FAD binding, oxidoreductase activity and role in metabolic process","No","1","N/A","Has domain(s) with predicted FAD binding, oxidoreductase activity and role in metabolic process"
"Afu1g13670","Afu1g13670-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,633,589..3,636,253(+)","Conidial cell wall protein A","No","1","ccpA","Conidial cell wall protein A"
"Afu1g13680","Afu1g13680-T","Aspergillus fumigatus Af293","Chr1_A_fumigatus_Af293:3,637,053..3,637,739(+)","Ortholog of A. nidulans FGSC A4 : AN10113, A. oryzae RIB40 : AO090012000509, Neosartorya fischeri NRRL 181 : NFIA_011820, Aspergillus wentii : Aspwe1_0027787 and Aspergillus versicolor : Aspve1_0023836","No","1","N/A","Ortholog of A. nidulans FGSC A4 : AN10113, A. oryzae RIB40 : AO090012000509, Neosartorya fischeri NRRL 181 : NFIA_011820, Aspergillus wentii : Aspwe1_0027787 and Aspergillus versicolor : Aspve1_0023836"
