Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
No_UHCC_0684,Dolichospermum sp. UHCC 0684,UHCC 0684,IN,no-fsp-in-name,ncbi,GCA_034931665.1,3110242,ncbi,GCA_034931665.1,,
No_UKL201,Dolichospermum sp. UKL201,UKL201,IN,no-fsp-in-name,ncbi,GCA_017346795.1,2717876,ncbi,GCA_017346795.1,,
No_UKL202,Dolichospermum sp. UKL202,UKL202,IN,no-fsp-in-name,ncbi,GCA_051059355.1,2717877,ncbi,GCA_051059355.1,,
No_WA123,Dolichospermum sp. WA123,WA123,IN,no-fsp-in-name,ncbi,GCA_018447775.1,2717878,ncbi,GCA_018447775.1,,
No_PCC_7102,Dulcicalothrix desertica,PCC 7102,IN,no-fsp-in-name,ncbi,GCA_007830875.1,232991,ncbi,GCA_007830875.1,,
No_NIES592,Fischerella major,NIES-592,IN,no-fsp-in-name,ncbi,GCA_001904645.1,210994,ncbi,GCA_001904645.1,,
No_CCMEE_5323,Fischerella muscicola,CCMEE 5323,IN,no-fsp-in-name,ncbi,GCA_002870665.1,2019572,ncbi,GCA_002870665.1,,
No_LECL63,Fischerella sp.,L.E.CL.63,IN,no-fsp-in-name,ncbi,GCA_013388695.1,1191,ncbi,GCA_013388695.1,,
No_CENA71,Fischerella sp. CENA71,CENA71,IN,no-fsp-in-name,ncbi,GCA_024239075.1,2653668,ncbi,GCA_024239075.1,,
No_FACHB380,Fischerella sp. FACHB-380,FACHB-380,IN,no-fsp-in-name,ncbi,GCA_014697535.1,2692799,ncbi,GCA_014697535.1,,
No_JS2,Fischerella sp. JS2,JS2,IN,no-fsp-in-name,ncbi,GCF_032393985.1,2597771,ncbi,GCF_032393985.1,,
No_NIES3754,Fischerella sp. NIES-3754,NIES-3754,IN,no-fsp-in-name,ncbi,GCA_001548455.1,1752063,ncbi,GCA_001548455.1,,
No_NIES4106,Fischerella sp. NIES-4106,NIES-4106,IN,no-fsp-in-name,ncbi,GCA_002368315.1,2005456,ncbi,GCA_002368315.1,,
No_PCC_9339,Fischerella sp. PCC 9339,PCC 9339,IN,no-fsp-in-name,ncbi,GCF_000315585.1,1174528,ncbi,GCF_000315585.1,,
No_PCC_9431,Fischerella sp. PCC 9431,PCC 9431,IN,no-fsp-in-name,ncbi,GCF_000447295.1,1173023,ncbi,GCF_000447295.1,,
No_PCC_9605,Fischerella sp. PCC 9605,PCC 9605,IN,no-fsp-in-name,ncbi,GCF_000517105.1,1173024,ncbi,GCF_000517105.1,,
No_Km433920,Fischerella thermalis,Km4339-20,IN,no-fsp-in-name,ncbi,GCA_056332765.1,372787,ncbi,GCA_056332765.1,,
No_PCC_7126,Fortiea contorta,PCC 7126,IN,no-fsp-in-name,ncbi,GCF_000332295.1,643473,ncbi,GCF_000332295.1,,
No_LEGE_XX443,Fortiea sp. LEGE XX443,LEGE XX443,IN,no-fsp-in-name,ncbi,GCA_015206815.1,1828611,ncbi,GCA_015206815.1,,
No_CP02,Gloeotrichia echinulata,CP02,IN,no-fsp-in-name,ncbi,GCA_038087035.1,2723856,ncbi,GCA_038087035.1,,
No_HA4340LM2,Goleter apudmare,HA4340-LM2,IN,no-fsp-in-name,ncbi,GCA_019359495.1,1382955,ncbi,GCA_019359495.1,,
No_MAG115,Goleter sp.,MAG-115,IN,no-fsp-in-name,ncbi,GCA_059951075.1,3100464,ncbi,GCA_059951075.1,,
No_CENA392,Halotia branconii,CENA392,IN,no-fsp-in-name,ncbi,GCA_029953635.1,1539056,ncbi,GCA_029953635.1,,
No_UHCC_0503,Halotia wernerae,UHCC 0503,IN,no-fsp-in-name,ncbi,GCA_034931985.1,3110297,ncbi,GCA_034931985.1,,
No_MRB220,Hapalosiphon sp. MRB220,MRB220,IN,no-fsp-in-name,ncbi,GCA_001275395.1,1704290,ncbi,GCA_001275395.1,,
No_JJU2,Hapalosiphonaceae cyanobacterium JJU2,JJU2,IN,no-fsp-in-name,ncbi,GCA_003261315.1,2109628,ncbi,GCA_003261315.1,,
No_VB512170,Hassallia byssoidea,VB512170,IN,no-fsp-in-name,ncbi,GCA_000817785.2,1304833,ncbi,GCA_000817785.2,,
No_MAG395,Hassallia sp.,MAG-395,IN,no-fsp-in-name,ncbi,GCA_059505845.1,3100554,ncbi,GCA_059505845.1,,
No_WJT32NPBG1,Hassallia sp. WJT32-NPBG1,WJT32-NPBG1,IN,no-fsp-in-name,ncbi,GCA_019359425.1,2835088,ncbi,GCA_019359425.1,,
No_UTEX_LB_1556,Heteroscytonema crispum,UTEX LB 1556,IN,no-fsp-in-name,ncbi,GCA_044006015.1,1735366,ncbi,GCA_044006015.1,,
No_BLCCT55,Iningainema tapete,BLCC-T55,IN,no-fsp-in-name,ncbi,GCA_014698965.1,2748662,ncbi,GCA_014698965.1,,
No_HA4291MV1,Iphinoe sp. HA4291-MV1,HA4291-MV1,IN,no-fsp-in-name,ncbi,GCA_019359415.1,1494767,ncbi,GCA_019359415.1,,
No_SNW_BASALT_bin2941,Kaarinaea lacus,SNW_BASALT_bin2941,IN,no-fsp-in-name,ncbi,GCF_975902315.1,3399526,ncbi,GCF_975902315.1,,
No_NIES4073,Kalymmatonema gypsitolerans,NIES-4073,IN,no-fsp-in-name,ncbi,GCA_002368435.1,2005464,ncbi,GCA_002368435.1,,
No_WJT4NPBG1,Kalymmatonema hyalinum,WJT4-NPBG1,IN,no-fsp-in-name,ncbi,GCA_019359075.1,1939789,ncbi,GCA_019359075.1,,
No_MAG40,Komarekiella atlantica,MAG-40,IN,no-fsp-in-name,ncbi,GCA_059505545.1,2022129,ncbi,GCA_059505545.1,,
No_SJRDDAB1,Komarekiella delphini-convector,SJRDD-AB1,IN,no-fsp-in-name,ncbi,GCA_014831675.1,2593771,ncbi,GCA_014831675.1,,
No_PCC_10914,Mastigocladopsis repens,PCC 10914,IN,no-fsp-in-name,ncbi,GCF_000315565.1,221288,ncbi,GCF_000315565.1,,
No_UU774,Mastigocladus laminosus,UU774,IN,no-fsp-in-name,ncbi,GCA_001990805.3,1594576,ncbi,GCA_001990805.3,,
No_ERB_26_1,Mastigocladus sp. ERB_26_1,ERB_26_1,IN,no-fsp-in-name,ncbi,GCA_040290355.1,2083157,ncbi,GCA_040290355.1,,
No_ERB_26_2,Mastigocladus sp. ERB_26_2,ERB_26_2,IN,no-fsp-in-name,ncbi,GCA_040290165.1,2083156,ncbi,GCA_040290165.1,,
No_pac_S11C2856_1,Mastigocoleus sp.,pac_S11C2856_1,IN,no-fsp-in-name,ncbi,GCA_050042865.1,3100551,ncbi,GCA_050042865.1,,
No_MO_167B18,Mastigocoleus sp. MO_167.B18,MO_167.B18,IN,no-fsp-in-name,ncbi,GCA_030066035.1,3036634,ncbi,GCA_030066035.1,,
No_MO_188B34,Mastigocoleus sp. MO_188.B34,MO_188.B34,IN,no-fsp-in-name,ncbi,GCA_030065675.1,3036635,ncbi,GCA_030065675.1,,
No_BC008,Mastigocoleus testarum,BC008,IN,no-fsp-in-name,ncbi,GCA_001456025.1,371196,ncbi,GCA_001456025.1,,
No_NIES3275,Microchaete diplosiphon,NIES-3275,IN,no-fsp-in-name,ncbi,GCA_002368275.1,1973485,ncbi,GCA_002368275.1,,
No_JT2VF2,Mojavia pulchra,JT2-VF2,IN,no-fsp-in-name,ncbi,GCA_019359325.1,287848,ncbi,GCA_019359325.1,,
No_MAG256,Mojavia sp.,MAG-256,IN,no-fsp-in-name,ncbi,GCA_059505145.1,3100451,ncbi,GCA_059505145.1,,
No_NCDW,Neowestiellopsis sp. NC-DW,NC-DW,IN,no-fsp-in-name,ncbi,GCA_056323625.1,3457494,ncbi,GCA_056323625.1,,
No_Nodularia_chucula_CCY_0103,Nodularia chucula,Nodularia chucula CCY 0103,IN,no-fsp-in-name,ncbi,GCF_963923915.1,3113207,ncbi,GCF_963923915.1,,
No_UHCC0300,Nodularia harveyana,UHCC-0300,IN,no-fsp-in-name,ncbi,GCA_034931085.1,2974287,ncbi,GCA_034931085.1,,
No_MAG_10,Nodularia sp. (in: cyanobacteria),MAG_10,IN,no-fsp-in-name,ncbi,GCA_030734265.1,2047085,ncbi,GCA_030734265.1,,
No_CChRGM_3473,Nodularia sp. CChRGM 3473,CChRGM 3473,IN,no-fsp-in-name,ncbi,GCA_052692605.1,3236753,ncbi,GCA_052692605.1,,
No_LEGE_04288,Nodularia sp. LEGE 04288,LEGE 04288,IN,no-fsp-in-name,ncbi,GCA_020702635.1,1828639,ncbi,GCA_020702635.1,,
No_LEGE_06071,Nodularia sp. LEGE 06071,LEGE 06071,IN,no-fsp-in-name,ncbi,GCA_015207755.1,2777965,ncbi,GCA_015207755.1,,
No_NIES3585,Nodularia sp. NIES-3585,NIES-3585,IN,no-fsp-in-name,ncbi,GCA_002218065.1,1973477,ncbi,GCA_002218065.1,,
No_UHCC_0506,Nodularia sp. UHCC 0506,UHCC 0506,IN,no-fsp-in-name,ncbi,GCA_034931045.1,3110243,ncbi,GCA_034931045.1,,
No_UHCC_0038,Nodularia sphaerocarpa,UHCC 0038,IN,no-fsp-in-name,ncbi,GCA_022376295.1,2761619,ncbi,GCA_022376295.1,,
No_CCY9414,Nodularia spumigena,CCY9414,IN,no-fsp-in-name,ncbi,GCA_000340565.3,313624,ncbi,GCA_000340565.3,,
No_FACHB389,Nostoc calcicola,FACHB-389,IN,no-fsp-in-name,ncbi,GCA_001904715.1,1357508,ncbi,GCA_001904715.1,,
No_NIES2107,Nostoc carneum,NIES-2107,IN,no-fsp-in-name,ncbi,GCA_002368155.1,1973483,ncbi,GCA_002368155.1,,
No_SO36,Nostoc commune,SO-36,IN,no-fsp-in-name,ncbi,GCA_023734775.1,449208,ncbi,GCA_023734775.1,,
No_WK1,Nostoc cycadae,WK-1,IN,no-fsp-in-name,ncbi,GCA_002897135.1,1861711,ncbi,GCA_002897135.1,,
No_CM1VF14,Nostoc desertorum,CM1-VF14,IN,no-fsp-in-name,ncbi,GCA_019359245.1,287862,ncbi,GCA_019359245.1,,
No_CCNP1411,Nostoc edaphicum,CCNP1411,IN,no-fsp-in-name,ncbi,GCA_014023275.1,1472755,ncbi,GCA_014023275.1,,
No_NOK,Nostoc ellipsosporum,NOK,IN,no-fsp-in-name,ncbi,GCA_029237165.1,2804519,ncbi,GCA_029237165.1,,
No_CHAB_5714,Nostoc favosum,CHAB 5714,IN,no-fsp-in-name,ncbi,GCA_020829495.1,2780399,ncbi,GCA_020829495.1,,
No_CCNUN1,Nostoc flagelliforme,CCNUN1,IN,no-fsp-in-name,ncbi,GCA_002813575.1,2038116,ncbi,GCA_002813575.1,,
No_FACHB393,Nostoc foliaceum,FACHB-393,IN,no-fsp-in-name,ncbi,GCA_014698505.1,2692915,ncbi,GCA_014698505.1,,
No_CM1VF10,Nostoc indistinguendum,CM1-VF10,IN,no-fsp-in-name,ncbi,GCA_019359215.1,287863,ncbi,GCA_019359215.1,,
No_NIES25,Nostoc linckia,NIES-25,IN,no-fsp-in-name,ncbi,GCA_002368035.1,1091006,ncbi,GCA_002368035.1,,
No_NIES26,Nostoc minutum,NIES-26,IN,no-fsp-in-name,ncbi,GCA_003326215.1,1844469,ncbi,GCA_003326215.1,,
No_CHAB_5784,Nostoc mirabile,CHAB 5784,IN,no-fsp-in-name,ncbi,GCA_020829645.1,2780401,ncbi,GCA_020829645.1,,
No_FACHB159,Nostoc paludosum,FACHB-159,IN,no-fsp-in-name,ncbi,GCA_014698835.1,2692908,ncbi,GCA_014698835.1,,
No_FACHB3921,Nostoc parmelioides,FACHB-3921,IN,no-fsp-in-name,ncbi,GCA_014696625.1,2692909,ncbi,GCA_014696625.1,,
No_CENA21,Nostoc piscinale,CENA21,IN,no-fsp-in-name,ncbi,GCA_001298445.1,224013,ncbi,GCA_001298445.1,,
No_ATCC_29133_PCC_73102,Nostoc punctiforme,ATCC 29133; PCC 73102,IN,no-fsp-in-name,ncbi,GCA_000020025.1,63737,ncbi,GCA_000020025.1,,
No_SMAG_U11081,Nostoc sp.,SMAG_U11081,IN,no-fsp-in-name,ncbi,GCA_035638895.1,1180,ncbi,GCA_035638895.1,,
No_5183,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',5183,IN,no-fsp-in-name,ncbi,GCA_002949795.1,1618022,ncbi,GCA_002949795.1,,
No_DB3992,Nostoc sp. 'Peltigera malacea cyanobiont' DB3992,DB3992,IN,no-fsp-in-name,ncbi,GCA_002631755.1,1206980,ncbi,GCA_002631755.1,,
No_210A,Nostoc sp. 'Peltigera membranacea cyanobiont' 210A,210A,IN,no-fsp-in-name,ncbi,GCA_002246015.1,2014529,ncbi,GCA_002246015.1,,
No_213,Nostoc sp. 'Peltigera membranacea cyanobiont' 213,213,IN,no-fsp-in-name,ncbi,GCA_002245975.1,2014530,ncbi,GCA_002245975.1,,
No_232,Nostoc sp. 'Peltigera membranacea cyanobiont' 232,232,IN,no-fsp-in-name,ncbi,GCA_002245985.1,2014531,ncbi,GCA_002245985.1,,
No_N6,Nostoc sp. 'Peltigera membranacea cyanobiont' N6,N6,IN,no-fsp-in-name,ncbi,GCA_002949735.1,1261031,ncbi,GCA_002949735.1,,
No_106C,Nostoc sp. 106C,106C,IN,no-fsp-in-name,ncbi,GCA_002154725.1,1932667,ncbi,GCA_002154725.1,,
No_2RC,Nostoc sp. 2RC,2RC,IN,no-fsp-in-name,ncbi,GCA_014222165.1,2485484,ncbi,GCA_014222165.1,,
No_3335mG,Nostoc sp. 3335mG,3335mG,IN,no-fsp-in-name,ncbi,GCA_003185865.1,2204170,ncbi,GCA_003185865.1,,
No_ATCC_43529,Nostoc sp. ATCC 43529,ATCC 43529,IN,no-fsp-in-name,ncbi,GCA_003326205.1,1840705,ncbi,GCA_003326205.1,,
No_ATCC_53789,Nostoc sp. ATCC 53789,ATCC 53789,IN,no-fsp-in-name,ncbi,GCA_009873495.1,76335,ncbi,GCA_009873495.1,,
No_B,Nostoc sp. B(2019),B,IN,no-fsp-in-name,ncbi,GCA_010091925.1,2690446,ncbi,GCA_010091925.1,,
No_C052,Nostoc sp. C052,C052,IN,no-fsp-in-name,ncbi,GCA_013393905.1,2576902,ncbi,GCA_013393905.1,,
No_C057,Nostoc sp. C057,C057,IN,no-fsp-in-name,ncbi,GCA_013393925.1,2576903,ncbi,GCA_013393925.1,,
No_C110,Nostoc sp. C110,C110,IN,no-fsp-in-name,ncbi,GCF_043099725.1,3349876,ncbi,GCF_043099725.1,,
No_C117,Nostoc sp. C117,C117,IN,no-fsp-in-name,ncbi,GCF_043099735.1,3349875,ncbi,GCF_043099735.1,,
No_C3bin3,Nostoc sp. C3-bin3,C3-bin3,IN,no-fsp-in-name,ncbi,GCA_014534555.1,2769069,ncbi,GCA_014534555.1,,
No_C96,Nostoc sp. C96,C96,IN,no-fsp-in-name,ncbi,GCF_059384975.1,3682923,ncbi,GCF_059384975.1,,
No_C97,Nostoc sp. C97,C97,IN,no-fsp-in-name,ncbi,GCF_059385035.1,3682924,ncbi,GCF_059385035.1,,
No_42321,Nostoc sp. CALU 1950,423-2.1,IN,no-fsp-in-name,ncbi,GCA_051172895.1,3104321,ncbi,GCA_051172895.1,,
No_CALU_546,Nostoc sp. CALU 546,CALU 546,IN,no-fsp-in-name,ncbi,GCA_048836525.1,1867241,ncbi,GCA_048836525.1,,
No_CCCryo_23106,Nostoc sp. CCCryo 231-06,CCCryo 231-06,IN,no-fsp-in-name,ncbi,GCA_023522315.1,2825974,ncbi,GCA_023522315.1,,
No_Nostoc_CCY_9925,Nostoc sp. CCY 9925,Nostoc CCY 9925,IN,no-fsp-in-name,ncbi,GCF_963920935.1,3103865,ncbi,GCF_963920935.1,,
No_Nostoc_CCY_0012,Nostoc sp. CCY0012,Nostoc CCY 0012,IN,no-fsp-in-name,ncbi,GCF_963920855.1,1056123,ncbi,GCF_963920855.1,,
No_CENA543,Nostoc sp. CENA543,CENA543,IN,no-fsp-in-name,ncbi,GCA_002896875.1,1869241,ncbi,GCA_002896875.1,,
No_CHAB_5715,Nostoc sp. CHAB 5715,CHAB 5715,IN,no-fsp-in-name,ncbi,GCA_020829685.1,2780400,ncbi,GCA_020829685.1,,
No_CHAB_5824,Nostoc sp. CHAB 5824,CHAB 5824,IN,no-fsp-in-name,ncbi,GCA_020829665.1,2780402,ncbi,GCA_020829665.1,,
No_CHAB_5834,Nostoc sp. CHAB 5834,CHAB 5834,IN,no-fsp-in-name,ncbi,GCA_020829485.1,2780403,ncbi,GCA_020829485.1,,
No_CHAB_5836,Nostoc sp. CHAB 5836,CHAB 5836,IN,no-fsp-in-name,ncbi,GCA_020829445.1,2780404,ncbi,GCA_020829445.1,,
No_CHAB_5844,Nostoc sp. CHAB 5844,CHAB 5844,IN,no-fsp-in-name,ncbi,GCA_020829595.1,2780405,ncbi,GCA_020829595.1,,
No_CMAA1605,Nostoc sp. CMAA1605,CMAA1605,IN,no-fsp-in-name,ncbi,GCA_021596505.1,2055159,ncbi,GCA_021596505.1,,
No_ChiQUE01a,Nostoc sp. ChiQUE01a,ChiQUE01a,IN,no-fsp-in-name,ncbi,GCA_034531295.1,3075375,ncbi,GCA_034531295.1,,
No_ChiQUE01b,Nostoc sp. ChiQUE01b,ChiQUE01b,IN,no-fsp-in-name,ncbi,GCA_034531255.1,3075376,ncbi,GCA_034531255.1,,
No_ChiQUE02,Nostoc sp. ChiQUE02,ChiQUE02,IN,no-fsp-in-name,ncbi,GCA_034531305.2,3075377,ncbi,GCA_034531305.2,,
No_ChiSLP01,Nostoc sp. ChiSLP01,ChiSLP01,IN,no-fsp-in-name,ncbi,GCA_034531195.2,3075378,ncbi,GCA_034531195.2,,
No_ChiSLP02,Nostoc sp. ChiSLP02,ChiSLP02,IN,no-fsp-in-name,ncbi,GCA_034531235.1,3075379,ncbi,GCA_034531235.1,,
No_ChiSLP03a,Nostoc sp. ChiSLP03a,ChiSLP03a,IN,no-fsp-in-name,ncbi,GCA_034531215.2,3075380,ncbi,GCA_034531215.2,,
No_ChiVER01,Nostoc sp. ChiVER01,ChiVER01,IN,no-fsp-in-name,ncbi,GCA_034531155.1,3075382,ncbi,GCA_034531155.1,,
No_CmiSLP01,Nostoc sp. CmiSLP01,CmiSLP01,IN,no-fsp-in-name,ncbi,GCA_034531115.2,3075383,ncbi,GCA_034531115.2,,
No_CmiVER01,Nostoc sp. CmiVER01,CmiVER01,IN,no-fsp-in-name,ncbi,GCA_034531135.2,3075384,ncbi,GCA_034531135.2,,
No_CreGUA01,Nostoc sp. CreGUA01,CreGUA01,IN,no-fsp-in-name,ncbi,GCA_034531095.2,3075385,ncbi,GCA_034531095.2,,
No_DSM_114159,Nostoc sp. DSM 114159,DSM 114159,IN,no-fsp-in-name,ncbi,GCF_053470285.1,3439045,ncbi,GCF_053470285.1,,
No_DSM_114160,Nostoc sp. DSM 114160,DSM 114160,IN,no-fsp-in-name,ncbi,GCA_053470305.1,3439049,ncbi,GCA_053470305.1,,
No_DSM_114161,Nostoc sp. DSM 114161,DSM 114161,IN,no-fsp-in-name,ncbi,GCA_052692665.1,3440143,ncbi,GCA_052692665.1,,
No_DSM_114167,Nostoc sp. DSM 114167,DSM 114167,IN,no-fsp-in-name,ncbi,GCA_052692655.1,3439050,ncbi,GCA_052692655.1,,
No_DcaGUA01,Nostoc sp. DcaGUA01,DcaGUA01,IN,no-fsp-in-name,ncbi,GCA_034531075.1,3075386,ncbi,GCA_034531075.1,,
No_DedQUE01,Nostoc sp. DedQUE01,DedQUE01,IN,no-fsp-in-name,ncbi,GCA_034531055.2,3075387,ncbi,GCA_034531055.2,,
No_DedQUE02,Nostoc sp. DedQUE02,DedQUE02,IN,no-fsp-in-name,ncbi,GCA_034531035.2,3075388,ncbi,GCA_034531035.2,,
No_DedQUE03,Nostoc sp. DedQUE03,DedQUE03,IN,no-fsp-in-name,ncbi,GCA_034531015.2,3075389,ncbi,GCA_034531015.2,,
No_DedQUE04,Nostoc sp. DedQUE04,DedQUE04,IN,no-fsp-in-name,ncbi,GCA_034530995.1,3075390,ncbi,GCA_034530995.1,,
No_DedQUE05,Nostoc sp. DedQUE05,DedQUE05,IN,no-fsp-in-name,ncbi,GCA_034530955.1,3075391,ncbi,GCA_034530955.1,,
No_DedQUE07,Nostoc sp. DedQUE07,DedQUE07,IN,no-fsp-in-name,ncbi,GCA_034530975.2,3075392,ncbi,GCA_034530975.2,,
No_DedQUE08,Nostoc sp. DedQUE08,DedQUE08,IN,no-fsp-in-name,ncbi,GCA_034530895.1,3075393,ncbi,GCA_034530895.1,,
No_DedQUE09,Nostoc sp. DedQUE09,DedQUE09,IN,no-fsp-in-name,ncbi,GCA_034530915.1,3075394,ncbi,GCA_034530915.1,,
No_DedQUE11,Nostoc sp. DedQUE11,DedQUE11,IN,no-fsp-in-name,ncbi,GCA_034530855.1,3075396,ncbi,GCA_034530855.1,,
No_DedQUE12a,Nostoc sp. DedQUE12a,DedQUE12a,IN,no-fsp-in-name,ncbi,GCA_034530795.1,3075397,ncbi,GCA_034530795.1,,
No_DedQUE12b,Nostoc sp. DedQUE12b,DedQUE12b,IN,no-fsp-in-name,ncbi,GCA_034530835.1,3075398,ncbi,GCA_034530835.1,,
No_DedSLP01,Nostoc sp. DedSLP01,DedSLP01,IN,no-fsp-in-name,ncbi,GCA_034530875.2,3075399,ncbi,GCA_034530875.2,,
No_DedSLP03,Nostoc sp. DedSLP03,DedSLP03,IN,no-fsp-in-name,ncbi,GCA_034530815.1,3075400,ncbi,GCA_034530815.1,,
No_DedSLP04,Nostoc sp. DedSLP04,DedSLP04,IN,no-fsp-in-name,ncbi,GCA_034530775.1,3075401,ncbi,GCA_034530775.1,,
No_DedSLP05,Nostoc sp. DedSLP05,DedSLP05,IN,no-fsp-in-name,ncbi,GCA_034530755.2,3075402,ncbi,GCA_034530755.2,,
No_DedVER01b,Nostoc sp. DedVER01b,DedVER01b,IN,no-fsp-in-name,ncbi,GCA_034530715.2,3075404,ncbi,GCA_034530715.2,,
No_DedVER02,Nostoc sp. DedVER02,DedVER02,IN,no-fsp-in-name,ncbi,GCA_034530675.2,3075405,ncbi,GCA_034530675.2,,
No_EfeVER01,Nostoc sp. EfeVER01,EfeVER01,IN,no-fsp-in-name,ncbi,GCA_034530735.2,3075406,ncbi,GCA_034530735.2,,
No_EkiNYC01,Nostoc sp. EkiNYC01,EkiNYC01,IN,no-fsp-in-name,ncbi,GCA_034530655.2,3075407,ncbi,GCA_034530655.2,,
No_EspVER01,Nostoc sp. EspVER01,EspVER01,IN,no-fsp-in-name,ncbi,GCA_034530635.1,3075408,ncbi,GCA_034530635.1,,
No_FACHB110,Nostoc sp. FACHB-110,FACHB-110,IN,no-fsp-in-name,ncbi,GCA_014697425.1,2692834,ncbi,GCA_014697425.1,,
No_FACHB133,Nostoc sp. FACHB-133,FACHB-133,IN,no-fsp-in-name,ncbi,GCA_014698055.1,2692835,ncbi,GCA_014698055.1,,
No_FACHB145,Nostoc sp. FACHB-145,FACHB-145,IN,no-fsp-in-name,ncbi,GCA_014697455.1,2692836,ncbi,GCA_014697455.1,,
No_FACHB152,Nostoc sp. FACHB-152,FACHB-152,IN,no-fsp-in-name,ncbi,GCA_014697475.1,2692837,ncbi,GCA_014697475.1,,
No_FACHB190,Nostoc sp. FACHB-190,FACHB-190,IN,no-fsp-in-name,ncbi,GCA_014696905.1,2692838,ncbi,GCA_014696905.1,,
No_FACHB280,Nostoc sp. FACHB-280,FACHB-280,IN,no-fsp-in-name,ncbi,GCA_014697615.1,2692839,ncbi,GCA_014697615.1,,
No_FACHB87,Nostoc sp. FACHB-87,FACHB-87,IN,no-fsp-in-name,ncbi,GCA_014697495.1,2692841,ncbi,GCA_014697495.1,,
No_FACHB888,Nostoc sp. FACHB-888,FACHB-888,IN,no-fsp-in-name,ncbi,GCA_014696655.1,2692842,ncbi,GCA_014696655.1,,
No_FACHB892,Nostoc sp. FACHB-892,FACHB-892,IN,no-fsp-in-name,ncbi,GCA_054501675.1,2692843,ncbi,GCA_054501675.1,,
No_FACHB973,Nostoc sp. FACHB-973,FACHB-973,IN,no-fsp-in-name,ncbi,GCA_014698115.1,2692844,ncbi,GCA_014698115.1,,
No_GBBB01,Nostoc sp. GBBB01,GBBB01,IN,no-fsp-in-name,ncbi,GCA_016743225.1,2604138,ncbi,GCA_016743225.1,,
No_GT001,Nostoc sp. GT001,GT001,IN,no-fsp-in-name,ncbi,GCA_030382115.1,3056647,ncbi,GCA_030382115.1,,
No_HG1,Nostoc sp. HG1,HG1,IN,no-fsp-in-name,ncbi,GCA_014324315.1,2593659,ncbi,GCA_014324315.1,,
No_NIES2109,Nostoc sp. HK-01,NIES-2109,IN,no-fsp-in-name,ncbi,GCA_003990705.1,196308,ncbi,GCA_003990705.1,,
No_JL23,Nostoc sp. JL23,JL23,IN,no-fsp-in-name,ncbi,GCA_017115065.1,2815394,ncbi,GCA_017115065.1,,
No_JL31,Nostoc sp. JL31,JL31,IN,no-fsp-in-name,ncbi,GCA_017114965.1,2815395,ncbi,GCA_017114965.1,,
No_JL33,Nostoc sp. JL33,JL33,IN,no-fsp-in-name,ncbi,GCA_017114985.1,2815396,ncbi,GCA_017114985.1,,
No_JL34,Nostoc sp. JL34,JL34,IN,no-fsp-in-name,ncbi,GCA_017114945.1,2815397,ncbi,GCA_017114945.1,,
No_KVJ20,Nostoc sp. KVJ20,KVJ20,IN,no-fsp-in-name,ncbi,GCA_001712795.1,457944,ncbi,GCA_001712795.1,,
No_KVJ3,Nostoc sp. KVJ3,KVJ3,IN,no-fsp-in-name,ncbi,GCA_026127265.1,457945,ncbi,GCA_026127265.1,,
No_LEGE_06077,Nostoc sp. LEGE 06077,LEGE 06077,IN,no-fsp-in-name,ncbi,GCA_015207705.1,915325,ncbi,GCA_015207705.1,,
No_LEGE_12447,Nostoc sp. LEGE 12447,LEGE 12447,IN,no-fsp-in-name,ncbi,GCA_015206985.1,1828640,ncbi,GCA_015206985.1,,
No_LEGE_12450,Nostoc sp. LEGE 12450,LEGE 12450,IN,no-fsp-in-name,ncbi,GCA_015206895.2,1828643,ncbi,GCA_015206895.2,,
No_LEGE_12454,Nostoc sp. LEGE 12454,LEGE 12454,IN,no-fsp-in-name,ncbi,GCA_056620565.1,1828646,ncbi,GCA_056620565.1,,
No_LPT,Nostoc sp. LPT,LPT,IN,no-fsp-in-name,ncbi,GCA_017115165.1,2815387,ncbi,GCA_017115165.1,,
No_MBR_210,Nostoc sp. MBR 210,MBR 210,IN,no-fsp-in-name,ncbi,GCA_001698435.1,1881015,ncbi,GCA_001698435.1,,
No_MG11,Nostoc sp. MG11,MG11,IN,no-fsp-in-name,ncbi,GCF_014904695.1,2721166,ncbi,GCF_014904695.1,,
No_MS1,Nostoc sp. MS1,MS1,IN,no-fsp-in-name,ncbi,GCA_019976755.1,2764711,ncbi,GCA_019976755.1,,
No_NIES2111,Nostoc sp. NIES-2111,NIES-2111,IN,no-fsp-in-name,ncbi,GCA_002368215.1,1973475,ncbi,GCA_002368215.1,,
No_NIES3756,Nostoc sp. NIES-3756,NIES-3756,IN,no-fsp-in-name,ncbi,GCA_001548375.1,1751286,ncbi,GCA_001548375.1,,
No_NIES4103,Nostoc sp. NIES-4103,NIES-4103,IN,no-fsp-in-name,ncbi,GCA_002368335.1,2005458,ncbi,GCA_002368335.1,,
No_NMS1,Nostoc sp. NMS1,NMS1,IN,no-fsp-in-name,ncbi,GCA_017115145.1,2815388,ncbi,GCA_017115145.1,,
No_NMS2,Nostoc sp. NMS2,NMS2,IN,no-fsp-in-name,ncbi,GCA_017115105.1,2815389,ncbi,GCA_017115105.1,,
