Short	protein_id	contig	start	end	member	family	contig_len	dist_end	idx	n_on_contig	bin	hrmA_models	species	pf11001_same_protein	left_telo	right_telo	near_left	nearest_end_telo	genes_to_end	label
B3213	CDAADD1_000878-T1	scaffold_3	832414	832788	B3213|CDAADD1_000878-T1	5SD|CCCC1E1_000093-T1	920204	87416	213	239	cloud	HrmA	Cp	False	0	0	False	0	25	F09
B3213	CDAADD1_005520-T1	scaffold_44	71213	71581	B3213|CDAADD1_005520-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	191998	71212	22	69	singleton	HrmA	Cp	False	0	0	True	0	22	F03
B3213	CDAADD1_007059-T1	scaffold_74	88253	88627	B3213|CDAADD1_007059-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	119670	31043	31	44	singleton	HrmA	Cp	False	0	0	False	0	12	F02
B3215	C363309_005323-T1	scaffold_47	88227	88601	B3215|C363309_005323-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	186047	88226	32	70	singleton	HrmA	Cp	False	0	0	True	0	32	F02
B3215	C363309_006941-T1	scaffold_79	35540	35908	B3215|C363309_006941-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	121477	35539	12	42	singleton	HrmA	Cp	False	0	0	True	0	12	F03
B3220	CA97D76_003017-T1	scaffold_12	493146	493514	B3220|CA97D76_003017-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	564670	71156	173	195	singleton	HrmA	Cp	False	0	0	False	0	21	F03
B3220	CA97D76_007098-T1	scaffold_59	88569	88943	B3220|CA97D76_007098-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	126808	37865	31	44	singleton	HrmA	Cp	False	0	0	False	0	12	F02
B3221	C17BDF0_001865-T1	scaffold_11	287407	287781	B3221|C17BDF0_001865-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	387411	99630	102	135	singleton	HrmA	Cp	False	0	0	False	0	32	F02
B3221	C17BDF0_007786-T1	scaffold_129	12114	12377	B3221|C17BDF0_007786-T1	TX11|CEC36E2_008626-T1	52201	12113	6	9	singleton	HrmA	Cp	False	0	0	True	0	2	F11
B3221	C17BDF0_002154-T1	scaffold_13	307291	307659	B3221|C17BDF0_002154-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	378910	71251	117	140	singleton	HrmA	Cp	False	0	0	False	0	22	F03
B3221	C17BDF0_006047-T1	scaffold_69	138075	138434	B3221|C17BDF0_006047-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	150887	12453	20	22	singleton	HrmA	Cp	False	0	0	False	0	1	F10
B3222	C3A673A_008429-T1	scaffold_145	6178	6552	B3222|C3A673A_008429-T1	5SD|CCCC1E1_000093-T1	13010	6177	1	4	cloud	HrmA	Cp	False	0	0	True	0	1	F09
B3222	C3A673A_006175-T1	scaffold_49	88260	88634	B3222|C3A673A_006175-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	207697	88259	32	78	singleton	HrmA	Cp	False	0	0	True	0	32	F02
B3222	C3A673A_001352-T1	scaffold_6	215201	215569	B3222|C3A673A_001352-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	569377	215200	68	193	singleton	HrmA	Cp	False	0	0	True	0	68	F03
B3224	CAFF422_002526-T1	scaffold_20	226120	226482	B3224|CAFF422_002526-T1	582-1_L_NEW_CPA0064|CF9574D_004546-T1	315900	89418	47	56	cloud	HrmA	Cp	False	0	0	False	0	8	F16
B3224	CAFF422_002797-T1	scaffold_24	110201	110575	B3224|CAFF422_002797-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	291606	110200	33	58	singleton	HrmA	Cp	False	0	0	True	0	24	F02
B3224	CAFF422_004097-T1	scaffold_40	119637	119990	B3224|CAFF422_004097-T1	5SD|CCCC1E1_001005-T1	206308	86318	17	23	core	HrmA	Cp	False	0	0	False	0	5	F05
B3224	CAFF422_006137-T1	scaffold_80	29693	30052	B3224|CAFF422_006137-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	108712	29692	1	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
B3224	CAFF422_001462-T1	scaffold_9	287433	287801	B3224|CAFF422_001462-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	399927	112126	109	131	singleton	HrmA	Cp	False	0	0	False	0	21	F03
B3226	C2C32AD_008425-T1	scaffold_108	21753	22106	B3226|C2C32AD_008425-T1	5SD|CCCC1E1_001005-T1	45440	21752	2	10	core	HrmA	Cp	False	0	0	True	0	2	F05
B3226	C2C32AD_008473-T1	scaffold_113	21171	21530	B3226|C2C32AD_008473-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	35443	13913	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
B3226	C2C32AD_002400-T1	scaffold_12	346080	346454	B3226|C2C32AD_002400-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	483511	137057	122	175	singleton	HrmA	Cp	False	0	0	False	0	52	F02
B3226	C2C32AD_000266-T1	scaffold_2	175227	175595	B3226|C2C32AD_000266-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	802053	175226	62	208	singleton	HrmA	Cp	False	0	0	True	0	62	F03
B3227	CCB7E5E_002636-T1	scaffold_16	55852	56220	B3227|CCB7E5E_002636-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	402172	55851	16	143	singleton	HrmA	Cp	False	0	0	True	0	16	F03
B3227	CCB7E5E_004269-T1	scaffold_30	94070	94444	B3227|CCB7E5E_004269-T1	5SD|CCCC1E1_000093-T1	286842	94069	17	84	cloud	HrmA	Cp	False	0	0	True	0	17	F09
B3227	CCB7E5E_007219-T1	scaffold_90	88546	88920	B3227|CCB7E5E_007219-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	95789	6869	32	36	singleton	HrmA	Cp	False	0	0	False	0	3	F02
B3228	C904DB3_003249-T1	scaffold_17	453737	454105	B3228|C904DB3_003249-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	459137	5032	164	165	singleton	HrmA	Cp	False	0	0	False	0	0	F03
B3228	C904DB3_007147-T1	scaffold_65	81662	81925	B3228|C904DB3_007147-T1	TX11|CEC36E2_008626-T1	142242	60317	1	8	singleton	HrmA	Cp	False	0	0	False	0	1	F11
B3228	C904DB3_007371-T1	scaffold_71	39096	39470	B3228|C904DB3_007371-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	127731	39095	12	45	singleton	HrmA	Cp	False	0	0	True	0	12	F02
B3236	C8950A4_005064-T1	scaffold_44	216734	217102	B3236|C8950A4_005064-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	222115	5013	80	81	singleton	HrmA	Cp	False	0	0	False	0	0	F03
B3236	C8950A4_005722-T1	scaffold_54	88131	88505	B3236|C8950A4_005722-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	189398	88130	32	60	singleton	HrmA	Cp	False	0	0	True	0	27	F02
B3242	CB5329B_002143-T1	scaffold_11	381006	381374	B3242|CB5329B_002143-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	455011	73637	125	147	singleton	HrmA	Cp	False	0	0	False	0	21	F03
B3242	CB5329B_008047-T1	scaffold_113	22950	23309	B3242|CB5329B_008047-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	56515	22949	1	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
B3242	CB5329B_006003-T1	scaffold_53	51283	51657	B3242|CB5329B_006003-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	178967	51282	20	51	singleton	HrmA	Cp	False	0	0	True	0	20	F02
B3244	CC6B4BB_008213-T1	scaffold_104	15601	15975	B3244|CC6B4BB_008213-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	55030	15600	6	19	singleton	HrmA	Cp	False	0	0	True	0	6	F02
B3244	CC6B4BB_002908-T1	scaffold_15	366107	366460	B3244|CC6B4BB_002908-T1	5SD|CCCC1E1_001005-T1	445682	79222	44	51	core	HrmA	Cp	False	0	0	False	0	6	F05
B3244	CC6B4BB_007137-T1	scaffold_64	125034	125393	B3244|CC6B4BB_007137-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	146581	21188	19	21	singleton	HrmA	Cp	False	0	0	False	0	1	F10
B3244	CC6B4BB_001728-T1	scaffold_8	238783	239151	B3244|CC6B4BB_001728-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	593908	238782	74	187	singleton	HrmA	Cp	False	0	0	True	0	74	F03
B3245	CED469C_005723-T1	scaffold_32	294386	294754	B3245|CED469C_005723-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	309940	15186	108	109	singleton	HrmA	Cp	False	0	0	False	0	0	F03
B3245	CED469C_008154-T1	scaffold_83	30230	30604	B3245|CED469C_008154-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	69698	30229	10	23	singleton	HrmA	Cp	False	0	0	True	0	10	F02
B3246	C90A8A7_008565-T1	scaffold_138	9916	10179	B3246|C90A8A7_008565-T1	TX11|CEC36E2_008626-T1	24771	9915	5	8	singleton	HrmA	Cp	False	0	0	True	0	2	F11
B3246	C90A8A7_002796-T1	scaffold_16	92783	93157	B3246|C90A8A7_002796-T1	5SD|CCCC1E1_000093-T1	417833	92782	27	99	cloud	HrmA	Cp	False	0	0	True	0	27	F09
B3246	C90A8A7_003512-T1	scaffold_23	271735	272094	B3246|C90A8A7_003512-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	320588	48494	83	85	singleton	HrmA	Cp	False	0	0	False	0	1	F10
B3246	C90A8A7_003669-T1	scaffold_25	88252	88626	B3246|C90A8A7_003669-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	311736	88251	34	101	singleton	HrmA	Cp	False	0	0	True	0	34	F02
B3246	C90A8A7_005580-T1	scaffold_45	216637	217005	B3246|C90A8A7_005580-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	242523	25518	81	82	singleton	HrmA	Cp	False	0	0	False	0	0	F03
B3251	C8F4B83_006272-T1	scaffold_123	8232	8606	B3251|C8F4B83_006272-T1	5SD|CCCC1E1_000093-T1	69176	8231	2	22	cloud	HrmA	Cp	False	0	0	True	0	2	F09
B3251	C8F4B83_008492-T1	scaffold_441	3187	3546	B3251|C8F4B83_008492-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	6869	3186	0	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
B3251	C8F4B83_005378-T1	scaffold_91	88200	88574	B3251|C8F4B83_005378-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	95346	6772	33	36	singleton	HrmA	Cp	False	0	0	False	0	2	F02
B3256	C818D8D_002968-T1	scaffold_21	88719	89093	B3256|C818D8D_002968-T1	5SD|CCCC1E1_000093-T1	315833	88718	27	53	cloud	HrmA	Cp	False	0	0	True	0	25	F09
B3256	C818D8D_005528-T1	scaffold_55	171692	172051	B3256|C818D8D_005528-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	192902	20851	33	35	singleton	HrmA	Cp	False	0	0	False	0	1	F10
B3256	C818D8D_005614-T1	scaffold_57	54859	55227	B3256|C818D8D_005614-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	184291	54858	15	65	singleton	HrmA	Cp	False	0	0	True	0	15	F03
B3256	C818D8D_006745-T1	scaffold_80	31040	31414	B3256|C818D8D_006745-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	119653	31039	10	42	singleton	HrmA	Cp	False	0	0	True	0	10	F02
B3269	C180A32_003370-T1	scaffold_26	211971	212339	B3269|C180A32_003370-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	255510	43171	74	94	singleton	HrmA	Cp	False	0	0	False	0	19	F03
B3269	C180A32_005305-T1	scaffold_53	141017	141280	B3269|C180A32_005305-T1	TX11|CEC36E2_008626-T1	165835	24555	17	19	singleton	HrmA	Cp	False	0	0	False	0	1	F11
B3269	C180A32_005858-T1	scaffold_64	38011	38385	B3269|C180A32_005858-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	130205	38010	14	48	singleton	HrmA	Cp	False	0	0	True	0	14	F02
B3276	C38AD85_008403-T1	scaffold_136	3114	3473	B3276|C38AD85_008403-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	31597	3113	1	2	singleton	HrmA	Cp	False	0	0	True	0	0	F10
B3276	C38AD85_000470-T1	scaffold_2	71088	71456	B3276|C38AD85_000470-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	978046	71087	20	329	singleton	HrmA	Cp	False	0	0	True	0	20	F03
B3276	C38AD85_006005-T1	scaffold_45	168329	168703	B3276|C38AD85_006005-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	207752	39049	62	75	singleton	HrmA	Cp	False	0	0	False	0	12	F02
B3284	C06FDAE_007543-T1	scaffold_128	42601	42960	B3284|C06FDAE_007543-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	75473	32513	1	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
B3284	C06FDAE_007595-T1	scaffold_131	15735	16103	B3284|C06FDAE_007595-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	70907	15734	5	21	singleton	HrmA	Cp	False	0	0	True	0	5	F03
B3284	C06FDAE_008358-T1	scaffold_188	13069	13422	B3284|C06FDAE_008358-T1	5SD|CCCC1E1_001005-T1	30305	13068	2	8	core	HrmA	Cp	False	0	0	True	0	2	F05
B3284	C06FDAE_006218-T1	scaffold_80	88280	88654	B3284|C06FDAE_006218-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	119761	31107	31	42	singleton	HrmA	Cp	False	0	0	False	0	10	F02
B3286	C407126_002347-T1	scaffold_13	88276	88650	B3286|C407126_002347-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	408494	88275	31	150	singleton	HrmA	Cp	False	0	0	True	0	31	F02
B3286	C407126_003003-T1	scaffold_18	125547	125909	B3286|C407126_003003-T1	582-1_L_NEW_CPA0064|CF9574D_004546-T1	318769	125546	12	50	cloud	HrmA	Cp	False	0	0	True	0	12	F16
B3286	C407126_003631-T1	scaffold_26	71238	71606	B3286|C407126_003631-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	251517	71237	21	83	singleton	HrmA	Cp	False	0	0	True	0	21	F03
B3286	C407126_003958-T1	scaffold_31	54308	54571	B3286|C407126_003958-T1	TX11|CEC36E2_008626-T1	225943	54307	1	16	singleton	HrmA	Cp	False	0	0	True	0	1	F11
B3290	C1CD50B_000139-T1	scaffold_1	359342	360242	B3290|C1CD50B_000139-T1	B3314|CBC6125_000776-T1	980799	359341	129	316	singleton	HrmA	Cp	False	0	0	True	0	129	F15
B3290	C1CD50B_002118-T1	scaffold_11	145443	145817	B3290|C1CD50B_002118-T1	5SD|CCCC1E1_000093-T1	440287	145442	51	114	cloud	HrmA	Cp	False	0	0	True	0	51	F09
B3290	C1CD50B_008435-T1	scaffold_176	9916	10179	B3290|C1CD50B_008435-T1	TX11|CEC36E2_008626-T1	24880	9915	5	8	singleton	HrmA	Cp	False	0	0	True	0	2	F11
B3290	C1CD50B_004269-T1	scaffold_29	157034	157408	B3290|C1CD50B_004269-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	245521	88113	47	78	singleton	HrmA	Cp	False	0	0	False	0	30	F02
B3290	C1CD50B_007176-T1	scaffold_84	58235	58594	B3290|C1CD50B_007176-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	107189	48595	0	2	singleton	HrmA	Cp	False	0	0	False	0	0	F10
B3291	CE923C2_002794-T1	scaffold_20	225629	225982	B3291|CE923C2_002794-T1	5SD|CCCC1E1_001005-T1	302975	76993	69	76	core	HrmA	Cp	False	0	0	False	0	6	F05
B3291	CE923C2_003411-T1	scaffold_27	191921	192289	B3291|CE923C2_003411-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	263607	71318	65	88	singleton	HrmA	Cp	False	0	0	False	0	22	F03
B3291	CE923C2_004052-T1	scaffold_35	46781	47140	B3291|CE923C2_004052-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	230053	46780	1	23	singleton	HrmA	Cp	False	0	0	True	0	1	F10
B3291	CE923C2_001235-T1	scaffold_6	428599	428973	B3291|CE923C2_001235-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	517147	88174	144	177	singleton	HrmA	Cp	False	0	0	False	0	32	F02
B3292	C780200_007661-T1	scaffold_131	38767	39141	B3292|C780200_007661-T1	730332_Guatemala|C45F23D_004938-T1	67893	28752	4	5	singleton	HrmA	Cp	False	0	0	False	0	0	F14
B3292	C780200_007668-T1	scaffold_132	63715	63978	B3292|C780200_007668-T1	TX11|CEC36E2_008626-T1	67369	3391	6	8	singleton	HrmA	Cp	False	0	0	False	0	1	F11
B3292	C780200_002517-T1	scaffold_19	70176	70544	B3292|C780200_002517-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	272627	70175	19	82	singleton	HrmA	Cp	False	0	0	True	0	19	F03
B3292	C780200_006165-T1	scaffold_79	37840	38214	B3292|C780200_006165-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	126364	37839	14	47	singleton	HrmA	Cp	False	0	0	True	0	14	F02
B3301	C251A4F_003519-T1	scaffold_24	227599	227967	B3301|C251A4F_003519-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	281949	53982	86	90	singleton	HrmA	Cp	False	0	0	False	0	3	F03
B3301	C251A4F_003877-T1	scaffold_29	138732	138995	B3301|C251A4F_003877-T1	TX11|CEC36E2_008626-T1	264657	125662	11	28	singleton	HrmA	Cp	False	0	0	False	0	11	F11
B3301	C251A4F_001245-T1	scaffold_7	88357	88731	B3301|C251A4F_001245-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	492999	88356	32	171	singleton	HrmA	Cp	False	0	0	True	0	32	F02
B3310	C2B8E97_003801-T1	scaffold_29	107355	107723	B3310|C2B8E97_003801-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	261257	107354	42	79	singleton	HrmA	Cp	False	0	0	True	0	36	F03
B3310	C2B8E97_007022-T1	scaffold_84	88136	88510	B3310|C2B8E97_007022-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	119552	31042	32	44	singleton	HrmA	Cp	False	0	0	False	0	11	F02
B3313	CDF0487_001834-T1	scaffold_13	237665	238039	B3313|CDF0487_001834-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	326191	88152	73	106	singleton	HrmA	Cp	False	0	0	False	0	32	F02
B3313	CDF0487_002293-T1	scaffold_18	156861	157961	B3313|CDF0487_002293-T1	B3313|CDF0487_002293-T1	295922	137961	49	117	singleton	HrmA_N	Cp	False	0	0	False	0	49	F41
B3313	CDF0487_000738-T1	scaffold_4	324831	325199	B3313|CDF0487_000738-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	436222	111023	117	138	singleton	HrmA	Cp	False	0	0	False	0	20	F03
B3314	CBC6125_000776-T1	scaffold_4	22498	23398	B3314|CBC6125_000776-T1	B3314|CBC6125_000776-T1	675827	22497	0	204	singleton	HrmA	Cp	False	0	0	True	0	0	F15
B3314	CBC6125_000970-T1	scaffold_4	528239	528613	B3314|CBC6125_000970-T1	5SD|CCCC1E1_000093-T1	675827	147214	184	204	cloud	HrmA	Cp	False	0	0	False	0	19	F09
B3314	CBC6125_005997-T1	scaffold_51	123172	123546	B3314|CBC6125_005997-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	211893	88347	33	65	singleton	HrmA	Cp	False	0	0	False	0	31	F02
B3315	C362512_002163-T1	scaffold_17	51045	51419	B3315|C362512_002163-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	285611	51044	10	96	singleton	HrmA	Cp	False	0	0	True	0	10	F02
B3315	C362512_003643-T1	scaffold_35	173009	173272	B3315|C362512_003643-T1	TX11|CEC36E2_008626-T1	215314	42042	17	19	singleton	HrmA	Cp	False	0	0	False	0	1	F11
B3315	C362512_000932-T1	scaffold_6	283621	283989	B3315|C362512_000932-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	395016	111027	107	128	singleton	HrmA	Cp	False	0	0	False	0	20	F03
B3315	C362512_005090-T1	scaffold_60	61519	61893	B3315|C362512_005090-T1	5SD|CCCC1E1_000093-T1	153238	61518	16	45	cloud	HrmA	Cp	False	0	0	True	0	16	F09
B3326	CF96F29_002607-T1	scaffold_15	328420	328794	B3326|CF96F29_002607-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	374267	45473	115	133	singleton	HrmA	Cp	False	0	0	False	0	17	F02
B3326	CF96F29_000484-T1	scaffold_2	583128	583502	B3326|CF96F29_000484-T1	5SD|CCCC1E1_000093-T1	735715	152213	194	215	cloud	HrmA	Cp	False	0	0	False	0	20	F09
B3326	CF96F29_001017-T1	scaffold_5	430052	430420	B3326|CF96F29_001017-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	548423	118003	149	171	singleton	HrmA	Cp	False	0	0	False	0	21	F03
B3326	CF96F29_006783-T1	scaffold_76	49429	49788	B3326|CF96F29_006783-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	125967	49428	1	3	singleton	HrmA	Cp	False	0	0	True	0	1	F10
B3326	CF96F29_001687-T1	scaffold_9	299374	300274	B3326|CF96F29_001687-T1	B3314|CBC6125_000776-T1	481784	181510	108	159	singleton	HrmA	Cp	False	0	0	False	0	50	F15
B3335	C104461_001878-T1	scaffold_11	361053	361421	B3335|C104461_001878-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	372664	11243	127	130	singleton	HrmA	Cp	False	0	0	False	0	2	F03
B3335	C104461_002845-T1	scaffold_20	99296	99670	B3335|C104461_002845-T1	5SD|CCCC1E1_000093-T1	306833	99295	19	91	cloud	HrmA	Cp	False	0	0	True	0	19	F09
B3335	C104461_000852-T1	scaffold_5	30305	30679	B3335|C104461_000852-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	456968	30304	10	161	singleton	HrmA	Cp	False	0	0	True	0	10	F02
B3341	C5A12A5_003452-T1	scaffold_16	353613	353981	B3341|C5A12A5_003452-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	409781	55800	132	148	singleton	HrmA	Cp	False	0	0	False	0	15	F03
B3341	C5A12A5_003851-T1	scaffold_20	266395	266769	B3341|C5A12A5_003851-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	364338	97569	110	145	singleton	HrmA	Cp	False	0	0	False	0	34	F02
B3341	C5A12A5_000954-T1	scaffold_4	259328	260228	B3341|C5A12A5_000954-T1	B3314|CBC6125_000776-T1	675629	259327	44	175	singleton	HrmA	Cp	False	0	0	True	0	44	F15
B3341	C5A12A5_001568-T1	scaffold_6	633806	634180	B3341|C5A12A5_001568-T1	5SD|CCCC1E1_000093-T1	637613	3433	236	238	cloud	HrmA	Cp	False	0	0	False	0	1	F09
B3344	C50AAF5_007693-T1	scaffold_111	34324	34698	B3344|C50AAF5_007693-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	72506	34323	10	25	singleton	HrmA	Cp	False	0	0	True	0	10	F02
B3344	C50AAF5_000581-T1	scaffold_3	72932	73300	B3344|C50AAF5_000581-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	674854	72931	19	225	singleton	HrmA	Cp	False	0	0	True	0	19	F03
B3344	C50AAF5_001330-T1	scaffold_7	198933	199307	B3344|C50AAF5_001330-T1	5SD|CCCC1E1_000093-T1	529627	198932	28	146	cloud	HrmA	Cp	False	0	0	True	0	28	F09
B3345	CC9C02F_008493-T1	scaffold_128	6889	7263	B3345|CC9C02F_008493-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	22946	6888	3	11	singleton	HrmA	Cp	False	0	0	True	0	3	F02
B3345	CC9C02F_000790-T1	scaffold_2	1227574	1227936	B3345|CC9C02F_000790-T1	582-1_L_NEW_CPA0064|CF9574D_004546-T1	1332739	104803	320	321	cloud	HrmA	Cp	False	0	0	False	0	0	F16
B3345	CC9C02F_004355-T1	scaffold_26	173413	173781	B3345|CC9C02F_004355-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	324683	150902	63	108	singleton	HrmA	Cp	False	0	0	False	0	44	F03
B3347	C7FF6C1_002077-T1	scaffold_11	328936	329304	B3347|C7FF6C1_002077-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	398039	68735	118	141	singleton	HrmA	Cp	False	0	0	False	0	22	F03
B3347	C7FF6C1_008080-T1	scaffold_128	28283	28546	B3347|C7FF6C1_008080-T1	TX11|CEC36E2_008626-T1	43969	15423	2	9	singleton	HrmA	Cp	False	0	0	False	0	2	F11
B3347	C7FF6C1_002773-T1	scaffold_16	264682	265056	B3347|C7FF6C1_002773-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	373776	108720	98	134	singleton	HrmA	Cp	False	0	0	False	0	35	F02
B3348	C8D1221_008493-T1	scaffold_182	12704	13172	B3348|C8D1221_008493-T1	B3348|C8D1221_008493-T1	14319	1147	0	1	singleton	HrmA	Cp	False	0	0	False	0	0	F29
B3348	C8D1221_004719-T1	scaffold_36	218358	219458	B3348|C8D1221_004719-T1	B3313|CDF0487_002293-T1	241253	21795	77	81	singleton	HrmA_N	Cp	False	0	0	False	0	3	F41
B3348	C8D1221_004834-T1	scaffold_38	32188	32553	B3348|C8D1221_004834-T1	GT-146|CDEB87D_007880-T1	232444	32187	15	85	shell	HrmA	Cp	False	0	0	True	0	15	F08
B3348	C8D1221_001094-T1	scaffold_6	68758	69126	B3348|C8D1221_001094-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	575546	68757	21	199	singleton	HrmA	Cp	False	0	0	True	0	21	F03
B3348	C8D1221_007066-T1	scaffold_74	39041	39415	B3348|C8D1221_007066-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	127732	39040	13	46	singleton	HrmA	Cp	False	0	0	True	0	13	F02
B3352	C083FA6_005439-T1	scaffold_74	88297	88671	B3352|C083FA6_005439-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	127790	39119	32	47	singleton	HrmA	Cp	False	0	0	False	0	14	F02
B3353	C210CF2_008619-T1	scaffold_253	8030	8356	B3353|C210CF2_008619-T1	B3353|C210CF2_008619-T1	11516	3160	0	1	singleton	HrmA	Cp	False	0	0	False	0	0	F17
B3353	C210CF2_003200-T1	scaffold_26	26584	26952	B3353|C210CF2_003200-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	243478	26583	0	84	singleton	HrmA	Cp	False	0	0	True	0	0	F03
B3353	C210CF2_006833-T1	scaffold_93	15663	16037	B3353|C210CF2_006833-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	105702	15662	6	30	singleton	HrmA	Cp	False	0	0	True	0	6	F02
B3358	C57D771_000019-T1	scaffold_1	81245	81613	B3358|C57D771_000019-T1	578-1_L_NEW_CPA0049|C79DB71_008063-T1	1243798	81244	18	443	singleton	HrmA	Cp	False	0	0	True	0	18	F03
B3358	C57D771_005803-T1	scaffold_48	159997	160356	B3358|C57D771_005803-T1	574-0_S_OLD_CPA0039|C27CBD2_008386-T1	207020	46664	21	23	singleton	HrmA	Cp	False	0	0	False	0	1	F10
B3358	C57D771_007013-T1	scaffold_71	88417	88791	B3358|C57D771_007013-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	128021	39230	31	46	singleton	HrmA	Cp	False	0	0	False	0	14	F02
B3359	CD2AA35_002242-T1	scaffold_12	118096	118470	B3359|CD2AA35_002242-T1	578-1_L_NEW_CPA0049|C79DB71_000776-T1	447141	118095	31	136	singleton	HrmA	Cp	False	0	0	True	0	31	F02
