Short	Species	n_contigs	n50	total_length	dedup_group	is_representative	n_HrmA_PF28515	n_HrmA_N_or_middle
S_740	Coccidioides posadasii	546	105437	27128047	150	0	2	0
S_741	Coccidioides posadasii	562	97152	27075955	150	0	2	0
S_742	Coccidioides posadasii	399	143577	27092864	150	0	2	0
San_Antonio_1	Coccidioides posadasii	422	317127	27477635	313	1	2	0
San_Diego_1	Coccidioides immitis	440	238201	27687384	314	1	6	0
Sonora_1	Coccidioides posadasii	652	220031	27387647	315	1	3	0
Sonora_2	Coccidioides posadasii	681	232248	27542969	316	1	4	0
TX1	Coccidioides posadasii	429	163307	27457570	196	1	2	0
TX11	Coccidioides posadasii	2851	17409	26295707	226	0	3	0
TX12	Coccidioides posadasii	1038	128452	27383964	317	1	3	0
TX14	Coccidioides posadasii	757	156240	27282350	318	1	2	0
TX17	Coccidioides posadasii	355	163365	26861575	319	1	2	0
TX2	Coccidioides posadasii	432	223337	27200881	320	1	2	0
TX3	Coccidioides posadasii	317	183084	27378272	321	1	2	0
TX4	Coccidioides posadasii	491	143485	27476078	203	0	4	0
TX5	Coccidioides posadasii	372	172655	27410441	322	1	2	0
TX6	Coccidioides posadasii	665	169062	27720497	323	1	2	0
TX8	Coccidioides posadasii	1034	128255	26841662	324	1	2	0
TX9	Coccidioides posadasii	517	180554	26864240	325	1	3	0
Tucson_1	Coccidioides posadasii	447	282259	27727418	326	1	2	0
Tucson_10	Coccidioides posadasii	414	276218	27106566	327	1	2	0
Tucson_11	Coccidioides posadasii	454	255134	27601274	328	1	3	0
Tucson_12	Coccidioides posadasii	451	319254	27167628	329	1	3	0
Tucson_13	Coccidioides posadasii	383	346671	27145462	330	1	4	0
Tucson_14	Coccidioides posadasii	453	344919	27323280	331	1	4	0
Tucson_15	Coccidioides posadasii	478	252204	27430526	332	1	2	0
Tucson_16	Coccidioides posadasii	389	256490	27726493	333	1	4	0
Tucson_17	Coccidioides posadasii	429	310878	27310874	334	1	4	0
Tucson_18	Coccidioides posadasii	509	255903	27525960	335	1	4	0
Tucson_19	Coccidioides posadasii	408	275309	27125004	336	1	3	0
Tucson_2	Coccidioides posadasii	408	352957	27901639	337	1	4	0
Tucson_20	Coccidioides posadasii	453	318729	27554180	338	1	3	0
Tucson_21	Coccidioides posadasii	357	320027	27430941	339	1	2	0
Tucson_22	Coccidioides posadasii	520	301140	27075601	340	1	3	0
Tucson_23	Coccidioides posadasii	348	415293	26774906	341	1	3	0
Tucson_24	Coccidioides posadasii	531	216949	27561962	342	1	4	0
Tucson_3	Coccidioides posadasii	419	284632	27324022	343	0	6	0
Tucson_4	Coccidioides posadasii	329	366915	27380100	343	1	6	0
Tucson_5	Coccidioides posadasii	389	361612	27435546	344	1	2	0
Tucson_6	Coccidioides posadasii	434	346595	26775414	345	1	4	0
Tucson_7	Coccidioides posadasii	498	292206	27989621	346	1	5	0
Tucson_8	Coccidioides posadasii	423	265549	27178568	347	1	3	0
Tucson_9	Coccidioides posadasii	325	263208	26970197	348	1	3	0
UCSF_10AZ	Coccidioides posadasii	493	145108	27207024	349	1	3	0
UCSF_3490AZ	Coccidioides posadasii	478	138863	27507540	350	1	3	0
UCSF_5AZ	Coccidioides posadasii	483	178993	26736309	351	1	2	0
UCSF_9AZ	Coccidioides posadasii	318	186693	27174587	352	1	2	0
UCSF_Cp_Silveira	Coccidioides posadasii	346	250466	27125870	296	1	3	0
UTAH_20380X1	Coccidioides posadasii	218	432583	27213266	353	1	4	0
UTAH_20380X10	Coccidioides immitis	144	514752	27480045	354	1	5	0
UTAH_20380X16	Coccidioides immitis	123	645427	28359489	355	1	7	0
UTAH_20380X2	Coccidioides posadasii	325	363270	27893887	356	1	6	0
UTAH_20380X5	Coccidioides posadasii	222	390317	26223708	357	1	3	0
UTAH_23742X111	Coccidioides immitis	252	232530	27278464	358	1	5	0
UTAH_23742X12	Coccidioides posadasii	691	82192	27214827	359	0	4	0
UTAH_23742X123	Coccidioides immitis	228	293845	27175252	360	1	5	0
UTAH_23742X138	Coccidioides immitis	605	110777	28090590	361	1	7	0
UTAH_23742X144	Coccidioides posadasii	304	178413	26981767	362	1	1	0
UTAH_23742X153	Coccidioides immitis	213	257696	28073205	363	1	7	0
UTAH_23742X160	Coccidioides posadasii	606	101126	27230793	364	1	1	0
UTAH_23742X162	Coccidioides immitis	1203	48885	27875939	365	1	7	0
UTAH_23742X163	Coccidioides posadasii	473	137368	27344611	366	0	5	0
UTAH_23742X165	Coccidioides posadasii	450	153163	27097225	366	1	5	0
UTAH_23742X168	Coccidioides posadasii	426	147797	27439050	367	1	2	0
UTAH_23742X170	Coccidioides immitis	273	212277	26640004	368	1	6	0
UTAH_23742X18	Coccidioides posadasii	314	189218	26471682	369	1	4	0
UTAH_23742X189	Coccidioides posadasii	442	130876	26562211	370	1	4	0
UTAH_23742X19	Coccidioides posadasii	460	142225	28294940	371	1	6	0
UTAH_23742X195	Coccidioides posadasii	313	217941	27704500	372	1	7	0
UTAH_23742X199	Coccidioides posadasii	285	200693	27222578	373	1	2	0
UTAH_23742X205	Coccidioides immitis	705	123271	28605031	374	1	6	0
UTAH_23742X206	Coccidioides immitis	217	301031	27761419	375	1	6	0
UTAH_23742X208	Coccidioides posadasii	314	234971	26940887	376	1	3	0
UTAH_23742X209	Coccidioides posadasii	218	259965	27105705	377	1	4	0
UTAH_23742X211	Coccidioides immitis	488	133142	27771973	378	1	7	0
UTAH_23742X214	Coccidioides immitis	223	270702	27268584	379	0	6	0
UTAH_23742X223	Coccidioides immitis	446	128011	28065452	380	1	6	0
UTAH_23742X225	Coccidioides immitis	238	299893	27862358	379	0	6	0
UTAH_23742X227	Coccidioides immitis	176	325987	27948348	379	1	6	0
UTAH_23742X235	Coccidioides immitis	225	290626	27411240	381	1	5	0
UTAH_23742X241	Coccidioides immitis	231	309762	27828466	382	1	7	0
UTAH_23742X242	Coccidioides immitis	237	276658	28809046	383	1	8	0
UTAH_23742X246	Coccidioides posadasii	329	202155	27361690	376	0	3	1
UTAH_23742X253	Coccidioides posadasii	430	138503	26707433	384	1	4	0
UTAH_23742X255	Coccidioides immitis	326	206446	27719060	385	1	6	0
UTAH_23742X257	Coccidioides immitis	294	220988	27802130	386	1	6	0
UTAH_23742X260	Coccidioides immitis	277	225414	25870817	387	1	6	0
UTAH_23742X31	Coccidioides immitis	255	257069	27174861	388	1	5	0
UTAH_23742X38	Coccidioides posadasii	447	150901	27500808	389	1	3	0
UTAH_23742X40	Coccidioides posadasii	337	229677	27613065	390	1	4	0
UTAH_23742X44	Coccidioides posadasii	302	214368	26589379	391	1	2	0
UTAH_23742X51	Coccidioides posadasii	398	181463	27706521	392	1	6	1
UTAH_23742X6	Coccidioides posadasii	719	86960	27872261	393	1	3	0
UTAH_23742X7	Coccidioides posadasii	725	83786	27408233	359	1	4	0
UTAH_23742X71	Coccidioides immitis	550	112871	27894982	394	1	6	0
UTAH_23742X83	Coccidioides posadasii	244	266473	26647542	395	1	3	0
UTAH_23742X84	Coccidioides posadasii	247	238452	26959382	396	1	2	0
UTAH_31331	Coccidioides posadasii	581	139593	27090559	397	1	4	0
UTAH_350355	Coccidioides posadasii	517	147303	27313513	398	1	4	0
UTAH_9443	Coccidioides posadasii	1472	75905	30767832	399	1	4	0
UTAH_9737	Coccidioides posadasii	440	157690	26882124	259	0	2	0
VFC043	Coccidioides immitis	337	244621	28002618	400	1	7	0
VFC052	Coccidioides immitis	335	296628	27308257	401	1	5	0
VFC083	Coccidioides posadasii	2245	34608	27013744	402	1	3	0
VFC084_CPA0067	Coccidioides posadasii	2042	33178	26481989	403	1	3	0
VFC085_CPA0068	Coccidioides posadasii	866	182095	27646582	404	1	5	0
VFC087	Coccidioides posadasii	1035	141492	27058902	405	1	3	0
VFC088	Coccidioides posadasii	484	188057	26338059	406	0	3	0
VFC090	Coccidioides posadasii	1459	132407	25875903	405	0	3	0
VFC091	Coccidioides posadasii	639	133780	26758633	407	1	2	0
VFC092	Coccidioides posadasii	700	132705	26803581	408	1	3	0
VFC093	Coccidioides posadasii	453	203889	26616477	406	1	4	0
WA31	Coccidioides posadasii	404	205308	27290264	409	1	2	0
WA_211	Coccidioides immitis	990	60735	27194867	16	0	6	0
WA_221	Coccidioides immitis	1502	40778	27247894	16	0	6	0
Washington_1	Coccidioides immitis	1101	56483	27261114	16	0	6	0
h5384	Coccidioides immitis	831	111338	27250009	410	1	5	0
