label	family	island_n_strains	example_strain	island_size	n_supporting_pairs	classifications	locus_id	locus_contig	locus_start	locus_end	pfam_domains
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X163	28	100	ambiguous_linkage,unexplained_physical	UTAH_23742X163:scaffold_96:21230-83492	scaffold_96	21230	83492	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,SRF-TF,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X83	28	109	ambiguous_linkage,unexplained_physical	UTAH_23742X83:scaffold_36:13913-111647	scaffold_36	13913	111647	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	21SD	27	231	ambiguous_linkage,unexplained_physical	21SD:scaffold_227:770-41250	scaffold_227	770	41250	AFUB_07903_YDR124W_hel,BTB,BTB_2,DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	B14104	27	31	ambiguous_linkage,unexplained_physical	B14104:scaffold_11:122719-211596	scaffold_11	122719	211596	APH,BTB,BTB_2,HrmA_middle,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	BFF340	27	43	ambiguous_linkage,unexplained_physical	BFF340:scaffold_26:17064-113654	scaffold_26	17064	113654	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	M197	27	50	ambiguous_linkage,unexplained_physical	M197:scaffold_172:1157-42362	scaffold_172	1157	42362	BTB,Chromo,DUF3723,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X84	27	109	ambiguous_linkage,unexplained_physical	UTAH_23742X84:scaffold_46:13998-107210	scaffold_46	13998	107210	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B10757_Nevada	26	100	ambiguous_linkage,unexplained_physical	B10757_Nevada:scaffold_6:81761-144687	scaffold_6	81761	144687	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	SDVA41	26	240	ambiguous_linkage,unexplained_physical	SDVA41:scaffold_206:4172-44661	scaffold_206	4172	44661	AFUB_07903_YDR124W_hel,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	SDVA44	26	163	ambiguous_linkage,unexplained_physical	SDVA44:scaffold_12:9984-72901	scaffold_12	9984	72901	AAA_21,AAA_23,AAA_29,ABC_membrane,ABC_tran,APH,BTB,DUF3435,Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,RsgA_GTPase,SMC_N,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	SOIL_580-4_L_NEW_CPA0062	26	47	ambiguous_linkage,unexplained_physical	SOIL_580-4_L_NEW_CPA0062:scaffold_101:17122-78940	scaffold_101	17122	78940	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	VFC085_CPA0068	26	31	ambiguous_linkage,unexplained_physical	VFC085_CPA0068:scaffold_45:140901-189603	scaffold_45	140901	189603	Alpha_kinase,DUF3723,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	2	573-1_S_NEW_CPA0033	25	47	ambiguous_linkage,unexplained_physical	573-1_S_NEW_CPA0033:scaffold_116:11295-64754	scaffold_116	11295	64754	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	485B-1_L_OLD_CPA0023	25	38	ambiguous_linkage,unexplained_physical	485B-1_L_OLD_CPA0023:scaffold_15:17128-84423	scaffold_15	17128	84423	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	COCPO_103721	25	100	ambiguous_linkage,unexplained_physical	COCPO_103721:scaffold_168:515-44399	scaffold_168	515	44399	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	GT-017	25	113	ambiguous_linkage,unexplained_physical	GT-017:scaffold_2:74067-229761	scaffold_2	74067	229761	BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	GT-110	25	91	ambiguous_linkage,unexplained_physical	GT-110:scaffold_79:42660-102270	scaffold_79	42660	102270	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	SJV_1	25	51	ambiguous_linkage,unexplained_physical	SJV_1:scaffold_123:34-46866	scaffold_123	34	46866	AAA,AAA_16,AAA_lid_13,ABC_tran,AFUB_07903_YDR124W_hel,DUF6540,DUF6914,DUF7025,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus,zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3
F42	730333_Guatemala|C537722_008849-T1	1	SJV_1	25	51	ambiguous_linkage,unexplained_physical	SJV_1:scaffold_123:34-46866	scaffold_123	34	46866	AAA,AAA_16,AAA_lid_13,ABC_tran,AFUB_07903_YDR124W_hel,DUF6540,DUF6914,DUF7025,DUF7924,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus,zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3
F42	730333_Guatemala|C537722_008849-T1	1	SOIL_573-2_L_NEW_CPA0035	25	31	ambiguous_linkage,unexplained_physical	SOIL_573-2_L_NEW_CPA0035:scaffold_171:10413-43757	scaffold_171	10413	43757	HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	Tucson_3	25	38	ambiguous_linkage,unexplained_physical	Tucson_3:scaffold_23:290833-324177	scaffold_23	290833	324177	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X209	25	132	ambiguous_linkage,unexplained_physical	UTAH_23742X209:scaffold_32:89080-182722	scaffold_32	89080	182722	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	UTAH_23742X241	25	228	ambiguous_linkage,unexplained_physical	UTAH_23742X241:scaffold_117:14094-54631	scaffold_117	14094	54631	AFUB_07903_YDR124W_hel,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	B3310	24	32	ambiguous_linkage,unexplained_physical	B3310:scaffold_79:14070-108063	scaffold_79	14070	108063	BTB,BTB_2,HrmA_middle,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	COCPO_114072	24	100	ambiguous_linkage,unexplained_physical	COCPO_114072:scaffold_139:60-43944	scaffold_139	60	43944	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	COCPO_195880	24	116	ambiguous_linkage,unexplained_physical	COCPO_195880:scaffold_151:516-44400	scaffold_151	516	44400	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	TX4	24	100	ambiguous_linkage,unexplained_physical	TX4:scaffold_8:9930-75184	scaffold_8	9930	75184	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B12402	23	68	ambiguous_linkage,unexplained_physical	B12402:scaffold_87:14374-55942	scaffold_87	14374	55942	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3315	23	74	ambiguous_linkage,unexplained_physical	B3315:scaffold_60:10008-63421	scaffold_60	10008	63421	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3489	23	80	ambiguous_linkage,unexplained_physical	B3489:scaffold_22:231098-286996	scaffold_22	231098	286996	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	COCPO_175716	23	116	ambiguous_linkage,unexplained_physical	COCPO_175716:scaffold_169:520-42073	scaffold_169	520	42073	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	NM_0369	23	30	ambiguous_linkage,unexplained_physical	NM_0369:scaffold_5:253590-326007	scaffold_5	253590	326007	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	SA14	23	68	ambiguous_linkage,unexplained_physical	SA14:scaffold_95:48569-88621	scaffold_95	48569	88621	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	SA2	23	130	ambiguous_linkage,unexplained_physical	SA2:scaffold_23:104801-160997	scaffold_23	104801	160997	BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	SDVA14	23	51	ambiguous_linkage,unexplained_physical	SDVA14:scaffold_110:48621-84827	scaffold_110	48621	84827	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X165	23	100	ambiguous_linkage,unexplained_physical	UTAH_23742X165:scaffold_96:17067-83215	scaffold_96	17067	83215	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	COCPO_175712	22	68	ambiguous_linkage,unexplained_physical	COCPO_175712:scaffold_104:8812-50338	scaffold_104	8812	50338	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	GT-149	22	39	ambiguous_linkage,unexplained_physical	GT-149:scaffold_188:1008-31650	scaffold_188	1008	31650	AFUB_07903_YDR124W_hel,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F39	M199|C82F880_004216-T1	1	M215	22	1	unexplained_physical	M215:scaffold_8:201-38972	scaffold_8	201	38972	AAA,BCS1_N,DUF3723,DUF7924,EST1_DNA_bind,HrmA_N,zf_Tbcl_3,zf_Tbcl_4
F41	B3313|CDF0487_002293-T1	1	M215	22	1	unexplained_physical	M215:scaffold_8:201-38972	scaffold_8	201	38972	AAA,BCS1_N,DUF3723,DUF7924,EST1_DNA_bind,HrmA_N,zf_Tbcl_3,zf_Tbcl_4
F09	5SD|CCCC1E1_000093-T1	1	Tucson_11	22	68	ambiguous_linkage,unexplained_physical	Tucson_11:scaffold_72:48593-88461	scaffold_72	48593	88461	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	UCSF_10AZ	22	29	ambiguous_linkage,unexplained_physical	UCSF_10AZ:scaffold_43:113023-162978	scaffold_43	113023	162978	APH,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	UCSF_10AZ	22	29	ambiguous_linkage,unexplained_physical	UCSF_10AZ:scaffold_43:113023-162978	scaffold_43	113023	162978	APH,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	UTAH_9443	22	68	ambiguous_linkage,unexplained_physical	UTAH_9443:scaffold_44:45807-85595	scaffold_44	45807	85595	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	B0858-Guatemala	21	68	ambiguous_linkage,unexplained_physical	B0858-Guatemala:scaffold_7:31524-71402	scaffold_7	31524	71402	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	COCPO_185672	21	68	ambiguous_linkage,unexplained_physical	COCPO_185672:scaffold_58:31148-71167	scaffold_58	31148	71167	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	485B-4_S_NEW_CPA0029	21	38	ambiguous_linkage,unexplained_physical	485B-4_S_NEW_CPA0029:scaffold_108:9316-62482	scaffold_108	9316	62482	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F01	574-0_S_OLD_CPA0039|C27CBD2_004020-T1	1	574-0_L_OLD_CPA0038	21	19	ambiguous_linkage,unexplained_physical	574-0_L_OLD_CPA0038:scaffold_52:4285-52987	scaffold_52	4285	52987	DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F42	730333_Guatemala|C537722_008849-T1	1	574-0_L_OLD_CPA0038	21	19	ambiguous_linkage,unexplained_physical	574-0_L_OLD_CPA0038:scaffold_52:4285-52987	scaffold_52	4285	52987	DUF3723,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP
F09	5SD|CCCC1E1_000093-T1	1	730333_Guatemala	21	64	ambiguous_linkage,unexplained_physical	730333_Guatemala:scaffold_8:22477-57035	scaffold_8	22477	57035	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B11232	21	60	ambiguous_linkage,unexplained_physical	B11232:scaffold_15:81800-117805	scaffold_15	81800	117805	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B12226	21	68	ambiguous_linkage,unexplained_physical	B12226:scaffold_1:159748-201316	scaffold_1	159748	201316	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3213	21	68	ambiguous_linkage,unexplained_physical	B3213:scaffold_3:794342-832788	scaffold_3	794342	832788	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3417	21	68	ambiguous_linkage,unexplained_physical	B3417:scaffold_8:404670-446378	scaffold_8	404670	446378	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	COCPO_114029	21	51	ambiguous_linkage,unexplained_physical	COCPO_114029:scaffold_203:3453-38041	scaffold_203	3453	38041	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	COCPO_34698	21	62	ambiguous_linkage,unexplained_physical	COCPO_34698:scaffold_95:48569-81411	scaffold_95	48569	81411	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	COCPO_4545	21	68	ambiguous_linkage,unexplained_physical	COCPO_4545:scaffold_129:12229-53881	scaffold_129	12229	53881	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	GT-124	21	35	ambiguous_linkage,unexplained_physical	GT-124:scaffold_97:1964-62966	scaffold_97	1964	62966	BTB,BTB_2,HrmA_middle,Pkinase,Pkinase_fungal
F42	730333_Guatemala|C537722_008849-T1	1	GT-131	21	103	ambiguous_linkage,unexplained_physical	GT-131:scaffold_172:2423-32364	scaffold_172	2423	32364	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	GT-171	21	31	ambiguous_linkage,unexplained_physical	GT-171:scaffold_157:2871-33513	scaffold_157	2871	33513	HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	Phoenix_8	21	81	ambiguous_linkage,unexplained_physical	Phoenix_8:scaffold_70:10050-78996	scaffold_70	10050	78996	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	SA12	21	98	ambiguous_linkage,unexplained_physical	SA12:scaffold_2:26795-68366	scaffold_2	26795	68366	Alpha_kinase,BTB,BTB_2,DUF3723,DUF3723_N,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal,Trypan_PARP,Zn_clus
F42	730333_Guatemala|C537722_008849-T1	1	SOIL_485B-0_L_OLD_CPA0020	21	30	ambiguous_linkage,unexplained_physical	SOIL_485B-0_L_OLD_CPA0020:scaffold_149:15539-48586	scaffold_149	15539	48586	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	Tucson_4	21	62	ambiguous_linkage,unexplained_physical	Tucson_4:scaffold_80:39174-75380	scaffold_80	39174	75380	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	SDVA42	20	68	ambiguous_linkage,unexplained_physical	SDVA42:scaffold_36:31416-69708	scaffold_36	31416	69708	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	Tucson_3	20	68	ambiguous_linkage,unexplained_physical	Tucson_3:scaffold_87:39176-79068	scaffold_87	39176	79068	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	409B-0_S_OLD_CPA0012	20	55	ambiguous_linkage,unexplained_physical	409B-0_S_OLD_CPA0012:scaffold_180:1355-35150	scaffold_180	1355	35150	APH,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	4545-MICE	20	68	ambiguous_linkage,unexplained_physical	4545-MICE:scaffold_13:164001-204035	scaffold_13	164001	204035	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	B3213	20	31	ambiguous_linkage,unexplained_physical	B3213:scaffold_86:33233-90674	scaffold_86	33233	90674	BTB,BTB_2,HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	B3251	20	68	ambiguous_linkage,unexplained_physical	B3251:scaffold_123:2628-46526	scaffold_123	2628	46526	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3482	20	61	ambiguous_linkage,unexplained_physical	B3482:scaffold_142:1207-39514	scaffold_142	1207	39514	APH,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	FMC449	20	62	ambiguous_linkage,unexplained_physical	FMC449:scaffold_26:99562-137494	scaffold_26	99562	137494	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	GT-118	20	130	ambiguous_linkage,unexplained_physical	GT-118:scaffold_178:6715-40596	scaffold_178	6715	40596	AFUB_07903_YDR124W_hel,APH,BTB,BTB_2,DUF3435,HrmA_middle,Pkinase_fungal,Zn_clus
F09	5SD|CCCC1E1_000093-T1	1	M206	20	68	ambiguous_linkage,unexplained_physical	M206:scaffold_33:24831-66799	scaffold_33	24831	66799	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	M211	20	68	ambiguous_linkage,unexplained_physical	M211:scaffold_19:48618-88440	scaffold_19	48618	88440	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	UTAH_23742X19	20	68	ambiguous_linkage,unexplained_physical	UTAH_23742X19:scaffold_22:4042-51895	scaffold_22	4042	51895	APH,BTB,DUF3435,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F42	730333_Guatemala|C537722_008849-T1	1	VFC083	20	31	ambiguous_linkage,unexplained_physical	VFC083:scaffold_183:6868-39912	scaffold_183	6868	39912	HrmA_middle,PK_Tyr_Ser-Thr,Pkinase,Pkinase_fungal
F09	5SD|CCCC1E1_000093-T1	1	VFC085_CPA0068	20	68	ambiguous_linkage,unexplained_physical	VFC085_CPA0068:scaffold_55:91692-135696	scaffold_55	91692	135696	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	4	407-0_S_OLD_CPA0002	19	68	ambiguous_linkage,unexplained_physical	407-0_S_OLD_CPA0002:scaffold_36:130365-168659	scaffold_36	130365	168659	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	B10917	19	68	ambiguous_linkage,unexplained_physical	B10917:scaffold_11:31484-73024	scaffold_11	31484	73024	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	B3290	19	68	ambiguous_linkage,unexplained_physical	B3290:scaffold_11:145443-184017	scaffold_11	145443	184017	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	J_TORRES	19	68	ambiguous_linkage,unexplained_physical	J_TORRES:scaffold_20:48568-88530	scaffold_20	48568	88530	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	2	SDVA16	19	68	ambiguous_linkage,unexplained_physical	SDVA16:scaffold_6:226520-264896	scaffold_6	226520	264896	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	730332_Guatemala	19	64	ambiguous_linkage,unexplained_physical	730332_Guatemala:scaffold_6:23179-57737	scaffold_6	23179	57737	APH,BTB,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3256	19	68	ambiguous_linkage,unexplained_physical	B3256:scaffold_21:84553-127292	scaffold_21	84553	127292	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
F09	5SD|CCCC1E1_000093-T1	1	B3344	19	68	ambiguous_linkage,unexplained_physical	B3344:scaffold_7:161041-200835	scaffold_7	161041	200835	APH,BTB,HAC6_N,HAC6_helical,HrmA,PK_Tyr_Ser-Thr,Pkinase,RING_XB3-XBAT31,zf-RING_2,zf-RING_UBOX
