label	anchor_family	neighbour_family	frac_anchors	n_anchors	median_offset	bin	strain_count_Ci	pfam
F31	COCSP-8945|C2B0656_003994-T1	578-1_L_NEW_CPA0049|C79DB71_008160-T1	1.0	1	-5.0	core	133	ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N
F24	GT-111|C5A2EA4_008657-T1	SJV_5|C41EE07_000116-T1	1.0	2	1.0	core	133	Pkinase_fungal
F32	GT-118|C574A51_008475-T1	5SD|CCCC1E1_003560-T1	1.0	1	2.0	core	133	
F32	GT-118|C574A51_008475-T1	SJV_2|CEBEDBD_006543-T1	1.0	1	3.0	soft_core	126	BTB,BTB_2
F32	GT-118|C574A51_008475-T1	4SD|C8AA998_007437-T1	1.0	1	1.0	core	133	APH
F32	GT-118|C574A51_008475-T1	5SD|CCCC1E1_003558-T1	1.0	1	4.0	shell	27	
F04	GT-126|C8C79ED_001931-T1	SJV_5|C41EE07_000116-T1	0.623	144	1.0	core	133	Pkinase_fungal
F04	GT-126|C8C79ED_001931-T1	B11035|C5FC1D8_003742-T1	0.593	137	-2.0	soft_core	126	
F04	GT-126|C8C79ED_001931-T1	578-1_L_NEW_CPA0049|C79DB71_000599-T1	0.537	124	3.0	core	133	Ribosomal_L1
F04	GT-126|C8C79ED_001931-T1	B3335|C104461_002169-T1	0.537	124	2.0	core	133	COG2_N,VPS51_Exo84_N
F04	GT-126|C8C79ED_001931-T1	578-1_L_NEW_CPA0049|C79DB71_000593-T1	0.524	121	8.0	core	133	PQ-loop
F04	GT-126|C8C79ED_001931-T1	578-1_L_NEW_CPA0049|C79DB71_000595-T1	0.519	120	6.0	core	133	GH16_XgeA
F04	GT-126|C8C79ED_001931-T1	COCPO_103718|C99D653_006317-T1	0.519	120	7.0	core	132	PBP2_Ca3427_like
F04	GT-126|C8C79ED_001931-T1	Tucson_10|CEE0D8B_000320-T1	0.489	113	4.0	soft_core	123	PK_Tyr_Ser-Thr,Pkinase
F12	GT-126|C8C79ED_008251-T1	5SD|CCCC1E1_006841-T1	0.982	56	1.0	shell	114	APH
F12	GT-126|C8C79ED_008251-T1	578-1_L_NEW_CPA0049|C79DB71_004857-T1	0.105	6	3.0	core	129	Ank,Ank_2,Ank_3,Ank_4,C2_GDE1,GDPD
F12	GT-126|C8C79ED_008251-T1	578-1_L_NEW_CPA0049|C79DB71_004860-T1	0.105	6	6.0	core	132	DnaJ
F12	GT-126|C8C79ED_008251-T1	578-1_L_NEW_CPA0049|C79DB71_004863-T1	0.105	6	9.0	core	132	DUF7357
F12	GT-126|C8C79ED_008251-T1	COCSP-3478|C07E340_006701-T1	0.105	6	5.0	core	133	CMAS,MTS,Methyltransf_11,Methyltransf_12,Methyltransf_23,Methyltransf_25,Methyltransf_31,PCMT,PrmA,Ubie_methyltran
F12	GT-126|C8C79ED_008251-T1	5SD|CCCC1E1_003475-T1	0.105	6	8.0	core	133	Pyr_redox,Pyr_redox_2,Rieske
F12	GT-126|C8C79ED_008251-T1	UTAH_23742X168|C0A746B_007785-T1	0.105	6	-2.0	core	130	INO80_Ies4
F12	GT-126|C8C79ED_008251-T1	Tucson_2|C17EB43_003768-T1	0.105	6	-1.0	soft_core	125	
F08	GT-146|CDEB87D_007880-T1	Beeville|C6949CF_003418-T1	0.978	132	1.0	core	131	
F08	GT-146|CDEB87D_007880-T1	578-1_L_NEW_CPA0049|C79DB71_007033-T1	0.97	131	-1.0	core	128	
F08	GT-146|CDEB87D_007880-T1	B3353|C210CF2_002931-T1	0.963	130	-2.0	core	131	GHMP_kinases_C,GHMP_kinases_N
F08	GT-146|CDEB87D_007880-T1	B3203|C5B81D8_006984-T1	0.852	115	3.0	shell	117	
F08	GT-146|CDEB87D_007880-T1	Michoacan_2|C26AA88_004336-T1	0.674	91	-4.0	core	133	PALP
F08	GT-146|CDEB87D_007880-T1	GT-164|C437F43_007100-T1	0.667	90	-8.0	core	130	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
F08	GT-146|CDEB87D_007880-T1	578-1_L_NEW_CPA0049|C79DB71_007037-T1	0.667	90	-5.0	core	130	Anticodon_3,tRNA-synt_1,tRNA-synt_1g
F08	GT-146|CDEB87D_007880-T1	578-1_L_NEW_CPA0049|C79DB71_007039-T1	0.667	90	-7.0	core	133	Ribosomal_L38e
F39	M199|C82F880_004216-T1	730332_Guatemala|C45F23D_001938-T1	0.857	6	0.0	cloud	3	
F39	M199|C82F880_004216-T1	730332_Guatemala|C45F23D_001937-T1	0.857	6	0.0	cloud	3	
F39	M199|C82F880_004216-T1	SOIL_578-1_A_NEW_CPA0048|CEB879C_008568-T1	0.714	5	-1.0	shell	36	
F39	M199|C82F880_004216-T1	409B-0_L_OLD_CPA0011|C90261E_008448-T1	0.714	5	-3.0	core	133	
F39	M199|C82F880_004216-T1	730332_Guatemala|C45F23D_001940-T1	0.429	3	2.0	cloud	2	
F39	M199|C82F880_004216-T1	NACVFR_4542|CCCEDD3_008438-T1	0.429	3	-4.0	cloud	10	
F39	M199|C82F880_004216-T1	578-1_L_NEW_CPA0049|C79DB71_007004-T1	0.286	2	-9.0	shell	118	L51_S25_CI-B8
F39	M199|C82F880_004216-T1	578-1_L_NEW_CPA0049|C79DB71_007002-T1	0.286	2	-7.0	core	132	ADH_N,ADH_zinc_N
F34	SDVA14|C979C11_006396-T1	B11080|C6468CC_000418-T1	1.0	1	-3.0	core	133	Far-17a_AIG1
F34	SDVA14|C979C11_006396-T1	578-1_L_NEW_CPA0049|C79DB71_007649-T1	1.0	1	-8.0	core	133	DLH
F34	SDVA14|C979C11_006396-T1	5SD|CCCC1E1_003560-T1	1.0	1	2.0	core	133	
F34	SDVA14|C979C11_006396-T1	4SD|C8AA998_007437-T1	1.0	1	1.0	core	133	APH
F34	SDVA14|C979C11_006396-T1	578-1_L_NEW_CPA0049|C79DB71_007648-T1	1.0	1	-7.0	core	133	NAD_binding_10,NmrA
F34	SDVA14|C979C11_006396-T1	B15369|C717ABB_007735-T1	1.0	1	-5.0	core	133	Fungal_trans_2,Zn_clus
F34	SDVA14|C979C11_006396-T1	578-1_L_NEW_CPA0049|C79DB71_007642-T1	1.0	1	-1.0	core	133	
F34	SDVA14|C979C11_006396-T1	GT-131|C0FAE91_002525-T1	1.0	1	-4.0	core	131	DUF3602
F35	SDVA14|C979C11_007553-T1	UTAH_9443|C5C7054_003931-T1	1.0	1	-1.0	core	132	BTRD1
F35	SDVA14|C979C11_007553-T1	IL1|C81A900_006269-T1	1.0	1	-3.0	soft_core	126	DEAD,Helicase_C,PIN-like_DDX60,ResIII,WHD_DDX60
F35	SDVA14|C979C11_007553-T1	574-0_S_OLD_CPA0039|C27CBD2_006766-T1	1.0	1	10.0	core	131	p450
F35	SDVA14|C979C11_007553-T1	578-1_L_NEW_CPA0049|C79DB71_008059-T1	1.0	1	3.0	singleton	0	
F35	SDVA14|C979C11_007553-T1	B14135|CD69CCA_003448-T1	1.0	1	1.0	core	130	APH
F35	SDVA14|C979C11_007553-T1	578-1_L_NEW_CPA0049|C79DB71_008056-T1	1.0	1	6.0	core	131	HhH-GPD,OGG_N
F35	SDVA14|C979C11_007553-T1	578-1_L_NEW_CPA0049|C79DB71_008053-T1	1.0	1	9.0	core	132	
F35	SDVA14|C979C11_007553-T1	578-1_L_NEW_CPA0049|C79DB71_008057-T1	1.0	1	5.0	core	132	SET
F36	SJV_2|CEBEDBD_008473-T1	B3353|C210CF2_002931-T1	1.0	1	-2.0	core	131	GHMP_kinases_C,GHMP_kinases_N
F36	SJV_2|CEBEDBD_008473-T1	578-1_L_NEW_CPA0049|C79DB71_007039-T1	1.0	1	-7.0	core	133	Ribosomal_L38e
F36	SJV_2|CEBEDBD_008473-T1	B3203|C5B81D8_006984-T1	1.0	1	3.0	shell	117	
F36	SJV_2|CEBEDBD_008473-T1	Michoacan_2|C26AA88_004336-T1	1.0	1	-4.0	core	133	PALP
F36	SJV_2|CEBEDBD_008473-T1	578-1_L_NEW_CPA0049|C79DB71_007037-T1	1.0	1	-5.0	core	130	Anticodon_3,tRNA-synt_1,tRNA-synt_1g
F36	SJV_2|CEBEDBD_008473-T1	SJV_6|C9A977F_008070-T1	1.0	1	-9.0	core	133	
F36	SJV_2|CEBEDBD_008473-T1	GT-164|C437F43_007100-T1	1.0	1	-8.0	core	130	Leuk-A4-hydro_C,Peptidase_M1,Peptidase_M1_N
F36	SJV_2|CEBEDBD_008473-T1	5SD|CCCC1E1_002065-T1	1.0	1	2.0	shell	81	CHAT,TPR_10
F37	S_675|CD889B5_008191-T1	578-1_L_NEW_CPA0049|C79DB71_007395-T1	1.0	1	1.0	core	130	APH
F11	TX11|CEC36E2_008626-T1	Phoenix_1|CDD70D4_007821-T1	0.971	99	-1.0	core	133	p450
F11	TX11|CEC36E2_008626-T1	578-1_L_NEW_CPA0049|C79DB71_007393-T1	0.961	98	0.0	core	133	Methyltransf_23,Methyltransf_25
F11	TX11|CEC36E2_008626-T1	B3344|C50AAF5_002296-T1	0.951	97	-5.0	core	130	
F11	TX11|CEC36E2_008626-T1	578-1_L_NEW_CPA0049|C79DB71_007391-T1	0.951	97	-4.0	core	133	MBOAT_2
F11	TX11|CEC36E2_008626-T1	574-0_S_OLD_CPA0039|C27CBD2_007882-T1	0.951	97	-3.0	core	132	Abhydrolase_6,Thioesterase
F11	TX11|CEC36E2_008626-T1	578-1_L_NEW_CPA0049|C79DB71_007395-T1	0.931	95	-1.0	core	130	APH
F11	TX11|CEC36E2_008626-T1	B3291|CE923C2_002789-T1	0.814	83	6.0	core	128	p450
F11	TX11|CEC36E2_008626-T1	578-1_L_NEW_CPA0049|C79DB71_006714-T1	0.343	35	-4.0	core	133	
F38	UTAH_23742X170|C9AA314_008204-T1	UTAH_23742X170|C9AA314_008205-T1	1.0	1	1.0	singleton	1	
F25	UTAH_23742X195|C3F3A6B_006523-T1	B3215|C363309_005333-T1	1.0	2	9.0	shell	113	BAR_4,PH,PH_20
F25	UTAH_23742X195|C3F3A6B_006523-T1	GT-171|C28DABA_003001-T1	1.0	2	8.0	soft_core	121	RRM_1
F25	UTAH_23742X195|C3F3A6B_006523-T1	GT-101|C4EFBB3_001817-T1	1.0	2	5.0	core	132	
F25	UTAH_23742X195|C3F3A6B_006523-T1	Beeville|C6949CF_002794-T1	1.0	2	-1.0	shell	118	APH
F25	UTAH_23742X195|C3F3A6B_006523-T1	578-1_L_NEW_CPA0049|C79DB71_000769-T1	1.0	2	-7.5	core	132	C2,RasGAP
F25	UTAH_23742X195|C3F3A6B_006523-T1	578-1_L_NEW_CPA0049|C79DB71_000784-T1	1.0	2	6.0	core	132	FmdA_AmdA
F25	UTAH_23742X195|C3F3A6B_006523-T1	578-1_L_NEW_CPA0049|C79DB71_000768-T1	1.0	2	-8.5	core	132	ATG9
F25	UTAH_23742X195|C3F3A6B_006523-T1	5SD|CCCC1E1_001941-T1	1.0	2	-9.5	core	131	Oxidored_FMN
