family_a	family_b	classification	linkage_fraction	jaccard	fisher_p	fdr_q	permutation_p	direction_a	clade_composition	asymmetry_a	direction_a_freq	hrmA_family	partner	label	partner_label	partner_bin	partner_pfam	partner_frac_anchors_within10
578-1_L_NEW_CPA0049|C79DB71_007305-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.4545	3.1e-08	4.82e-05	0.0	ambiguous	{'Coccidioides immitis': 12}	0.7889	ambiguous	730333_Guatemala|C537722_008849-T1	578-1_L_NEW_CPA0049|C79DB71_007305-T1	F42		cloud		0.0
578-1_L_NEW_CPA0049|C79DB71_007305-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.2571	0.000131	0.0447	0.0001	ambiguous	{'Coccidioides immitis': 12}	0.7889	ambiguous	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_007305-T1	F13		cloud		0.0
578-1_L_NEW_CPA0049|C79DB71_007555-T1	GT-126|C8C79ED_008251-T1	trans_unconfirmed	0.0	0.7034	0.000104	0.0376	0.0001	ambiguous	{'Coccidioides immitis': 89}	0.7444	ambiguous	GT-126|C8C79ED_008251-T1	578-1_L_NEW_CPA0049|C79DB71_007555-T1	F12		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_008110-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.3488	3.55e-06	0.00262	0.0	ambiguous	{'Coccidioides immitis': 38}	0.9778	loss	730333_Guatemala|C537722_008849-T1	578-1_L_NEW_CPA0049|C79DB71_008110-T1	F42		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_008110-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.3462	0.000139	0.0468	0.0001	ambiguous	{'Coccidioides immitis': 38}	0.9778	loss	CA2|CD8B963_008506-T1	578-1_L_NEW_CPA0049|C79DB71_008110-T1	F13		shell		0.0
578-1_L_NEW_CPA0049|C79DB71_008130-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.3455	5.41e-08	7.78e-05	0.0	ambiguous	{'Coccidioides immitis': 54}	0.7833	ambiguous	730333_Guatemala|C537722_008849-T1	578-1_L_NEW_CPA0049|C79DB71_008130-T1	F42		shell	PhyH	0.0
578-1_L_NEW_CPA0049|C79DB71_008130-T1	B15142|CE5AC85_006064-T1	ambiguous_linkage	0.0769	0.2407	3.1e-06	0.00235	0.0	ambiguous	{'Coccidioides immitis': 54}	0.7833	ambiguous	B15142|CE5AC85_006064-T1	578-1_L_NEW_CPA0049|C79DB71_008130-T1	F18		shell	PhyH	0.077
578-1_L_NEW_CPA0049|C79DB71_008130-T1	B15146|CF83403_004486-T1	ambiguous_linkage	0.0833	0.1852	7.09e-05	0.0283	0.0001	ambiguous	{'Coccidioides immitis': 54}	0.7833	ambiguous	B15146|CF83403_004486-T1	578-1_L_NEW_CPA0049|C79DB71_008130-T1	F19		shell	PhyH	0.083
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000094-T1	unexplained_physical	1.0	1.0	2.96e-15	2.06e-11	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000094-T1	F09		cloud	APH	0.991
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000095-T1	unexplained_physical	0.9902	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000095-T1	F09		cloud		0.886
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000096-T1	unexplained_physical	0.9545	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000096-T1	F09		cloud		0.623
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000100-T1	unexplained_physical	0.9636	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000100-T1	F09		cloud		0.93
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000101-T1	unexplained_physical	1.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000101-T1	F09		cloud		0.07
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000102-T1	unexplained_physical	0.7143	0.6	3.06e-08	4.77e-05	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000102-T1	F09		cloud	Glyco_tranf_2_3,Glyco_transf_21,Glycos_transf_2	0.061
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000105-T1	trans_unconfirmed	0.0182	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000105-T1	F09		cloud		0.175
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000106-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000106-T1	F09		cloud	zf-RING_UBOX	0.009
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000108-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000108-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000109-T1	trans_unconfirmed	0.0	0.6	3.06e-08	4.77e-05	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000109-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000117-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	5SD|CCCC1E1_000117-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	730334_Guatemala|C5AD400_007975-T1	trans_unconfirmed	0.0	0.375	2.4e-05	0.0122	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	730334_Guatemala|C5AD400_007975-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	B0858-Guatemala|CBD0EE9_001121-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B0858-Guatemala|CBD0EE9_001121-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	B11199|C018C7F_000327-T1	unexplained_physical	0.9545	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B11199|C018C7F_000327-T1	F09		cloud		0.921
5SD|CCCC1E1_000093-T1	B11199|C018C7F_000330-T1	unexplained_physical	0.982	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B11199|C018C7F_000330-T1	F09		cloud		0.114
5SD|CCCC1E1_000093-T1	B14286|CC2BA17_006615-T1	trans_unconfirmed	0.0	0.2581	7.13e-05	0.0284	0.0001	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B14286|CC2BA17_006615-T1	F09		shell		0.0
5SD|CCCC1E1_000093-T1	B3244|CC6B4BB_003225-T1	trans_unconfirmed	0.0	0.3529	4.32e-05	0.0194	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B3244|CC6B4BB_003225-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	B3315|C362512_005075-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B3315|C362512_005075-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	B3347|C7FF6C1_008305-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B3347|C7FF6C1_008305-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	B3417|C574D2D_008584-T1	trans_unconfirmed	0.0	0.3182	3.74e-05	0.0173	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	B3417|C574D2D_008584-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	Beeville|C6949CF_004970-T1	trans_unconfirmed	0.0	0.4667	6.87e-07	0.000669	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	Beeville|C6949CF_004970-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	C735-TKO|C3548B0_006947-T1	trans_unconfirmed	0.0	0.375	2.4e-05	0.0122	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	C735-TKO|C3548B0_006947-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	CA26|C27950D_001142-T1	trans_unconfirmed	0.0	0.3333	7.35e-05	0.0291	0.0001	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	CA26|C27950D_001142-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	CA26|C27950D_007977-T1	unexplained_physical	1.0	0.5	7.84e-07	0.000747	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	CA26|C27950D_007977-T1	F09		cloud		0.053
5SD|CCCC1E1_000093-T1	CA26|C27950D_007978-T1	unexplained_physical	1.0	0.5	7.84e-07	0.000747	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	CA26|C27950D_007978-T1	F09		cloud		0.07
5SD|CCCC1E1_000093-T1	CA26|C27950D_008329-T1	trans_unconfirmed	0.0	0.5	7.84e-07	0.000747	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	CA26|C27950D_008329-T1	F09		cloud	DUF3435	0.0
5SD|CCCC1E1_000093-T1	CA6|C814216_008612-T1	unexplained_physical	1.0	1.0	2.96e-15	2.06e-11	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	CA6|C814216_008612-T1	F09		cloud	BTB	0.623
5SD|CCCC1E1_000093-T1	COCSP_8725|CCC6481_006895-T1	trans_unconfirmed	0.0	0.3333	7.35e-05	0.0291	0.0001	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	COCSP_8725|CCC6481_006895-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	GT-161|CD86944_008225-T1	trans_unconfirmed	0.0	0.3158	0.000119	0.0418	0.0001	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	GT-161|CD86944_008225-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	SA14|C329EDE_006460-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	SA14|C329EDE_006460-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	Tucson_22|C8AD93C_008465-T1	trans_unconfirmed	0.0	0.5	7.84e-07	0.000747	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	Tucson_22|C8AD93C_008465-T1	F09		cloud		0.0
5SD|CCCC1E1_000093-T1	UTAH_23742X165|CD81EC9_006004-T1	ambiguous_linkage	0.1485	0.6	3.06e-08	4.77e-05	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	UTAH_23742X165|CD81EC9_006004-T1	F09		cloud	PK_Tyr_Ser-Thr,Pkinase	0.746
5SD|CCCC1E1_000093-T1	UTAH_23742X38|CD23EB4_000236-T1	trans_unconfirmed	0.0	0.7	9.65e-10	2.38e-06	0.0	ambiguous	{'Coccidioides immitis': 10}	0.2861	ambiguous	5SD|CCCC1E1_000093-T1	UTAH_23742X38|CD23EB4_000236-T1	F09		cloud		0.0
5SD|CCCC1E1_000347-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.4286	6.44e-09	1.24e-05	0.0	gain	{'Coccidioides immitis': 68}	0.0	gain	CA2|CD8B963_008506-T1	5SD|CCCC1E1_000347-T1	F13		shell		0.0
5SD|CCCC1E1_000347-T1	GT-126|C8C79ED_008251-T1	trans_unconfirmed	0.0	0.5789	2.04e-05	0.0107	0.0	gain	{'Coccidioides immitis': 68}	0.0	gain	GT-126|C8C79ED_008251-T1	5SD|CCCC1E1_000347-T1	F12		shell		0.0
5SD|CCCC1E1_000794-T1	GT-146|CDEB87D_007880-T1	trans_unconfirmed	0.0	0.713	8.43e-05	0.0321	0.0001	gain	{'Coccidioides immitis': 96}	0.0	gain	GT-146|CDEB87D_007880-T1	5SD|CCCC1E1_000794-T1	F08		shell		0.0
5SD|CCCC1E1_002076-T1	GT-146|CDEB87D_007880-T1	trans_unconfirmed	0.0	0.6606	4.3e-06	0.00308	0.0	ambiguous	{'Coccidioides immitis': 80}	0.1639	ambiguous	GT-146|CDEB87D_007880-T1	5SD|CCCC1E1_002076-T1	F08		shell		0.0
5SD|CCCC1E1_002077-T1	GT-146|CDEB87D_007880-T1	trans_unconfirmed	0.0	0.6055	6.48e-05	0.0264	0.0001	ambiguous	{'Coccidioides immitis': 74}	0.0222	gain	GT-146|CDEB87D_007880-T1	5SD|CCCC1E1_002077-T1	F08		shell		0.0
5SD|CCCC1E1_002078-T1	GT-146|CDEB87D_007880-T1	trans_unconfirmed	0.0	0.6698	4.66e-08	6.86e-05	0.0	gain	{'Coccidioides immitis': 76}	0.0	gain	GT-146|CDEB87D_007880-T1	5SD|CCCC1E1_002078-T1	F08		shell		0.0
5SD|CCCC1E1_002081-T1	GT-146|CDEB87D_007880-T1	trans_unconfirmed	0.0	0.6606	4.3e-06	0.00308	0.0	gain	{'Coccidioides immitis': 80}	0.0	gain	GT-146|CDEB87D_007880-T1	5SD|CCCC1E1_002081-T1	F08		shell		0.0
5SD|CCCC1E1_002083-T1	GT-146|CDEB87D_007880-T1	trans_unconfirmed	0.0	0.6606	4.3e-06	0.00308	0.0	gain	{'Coccidioides immitis': 80}	0.0	gain	GT-146|CDEB87D_007880-T1	5SD|CCCC1E1_002083-T1	F08		shell		0.0
5SD|CCCC1E1_006841-T1	GT-126|C8C79ED_008251-T1	unexplained_physical	1.0	0.9483	7.77e-16	5.78e-12	0.0	ambiguous	{'Coccidioides immitis': 114}	0.4806	ambiguous	GT-126|C8C79ED_008251-T1	5SD|CCCC1E1_006841-T1	F12		shell	APH	0.982
730332_Guatemala|C45F23D_003026-T1	730333_Guatemala|C537722_008849-T1	trans_unconfirmed	0.0	0.3	5.65e-06	0.00386	0.0	ambiguous	{'Coccidioides immitis': 6}	0.2139	ambiguous	730333_Guatemala|C537722_008849-T1	730332_Guatemala|C45F23D_003026-T1	F42		cloud		0.0
730332_Guatemala|C45F23D_003026-T1	CA2|CD8B963_008506-T1	trans_unconfirmed	0.0	0.1875	0.000132	0.045	0.0001	ambiguous	{'Coccidioides immitis': 6}	0.2139	ambiguous	CA2|CD8B963_008506-T1	730332_Guatemala|C45F23D_003026-T1	F13		cloud		0.0
730332_Guatemala|C45F23D_006110-T1	730333_Guatemala|C537722_008849-T1	ambiguous_linkage	0.2941	0.45	6.17e-09	1.19e-05	0.0	ambiguous	{'Coccidioides immitis': 9}	0.0333	gain	730333_Guatemala|C537722_008849-T1	730332_Guatemala|C45F23D_006110-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	730334_Guatemala|C5AD400_007975-T1	trans_unconfirmed	0.0	0.4545	3.1e-08	4.82e-05	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	730334_Guatemala|C5AD400_007975-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B11299|C72C725_000609-T1	ambiguous_linkage	0.1522	0.375	3.15e-06	0.00238	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B11299|C72C725_000609-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B12400|C21A9A5_002616-T1	unexplained_physical	0.7872	0.6667	1.15e-13	6.51e-10	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B12400|C21A9A5_002616-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	B12471|CD39253_005448-T1	trans_unconfirmed	0.0	0.25	4.82e-05	0.0211	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B12471|CD39253_005448-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B12495|C0ACC3F_004292-T1	trans_unconfirmed	0.0	0.3824	1.92e-06	0.00158	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B12495|C0ACC3F_004292-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	B12526|CF6BC4C_006576-T1	trans_unconfirmed	0.0	0.3333	2.22e-05	0.0115	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B12526|CF6BC4C_006576-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B14298|C71D630_007426-T1	trans_unconfirmed	0.0	0.32	5.27e-05	0.0224	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B14298|C71D630_007426-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B15142|CE5AC85_003737-T1	trans_unconfirmed	0.0	0.3704	6.15e-06	0.00412	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B15142|CE5AC85_003737-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B15142|CE5AC85_005689-T1	trans_unconfirmed	0.0	0.3125	0.000136	0.046	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B15142|CE5AC85_005689-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	B15145|CD39A0E_007442-T1	trans_unconfirmed	0.0	0.3214	7.59e-05	0.0298	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B15145|CD39A0E_007442-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B15146|CF83403_008475-T1	unexplained_physical	0.5048	0.75	1.64e-16	1.32e-12	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B15146|CF83403_008475-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	B15317|CF7B081_007878-T1	trans_unconfirmed	0.0	0.2727	0.00013	0.0444	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B15317|CF7B081_007878-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B16712|C003D23_003679-T1	trans_unconfirmed	0.0	0.381	5.29e-07	0.000535	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B16712|C003D23_003679-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3203|C5B81D8_001481-T1	ambiguous_linkage	0.098	0.3	5.65e-06	0.00386	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3203|C5B81D8_001481-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3227|CCB7E5E_003820-T1	trans_unconfirmed	0.0	0.4348	1.24e-07	0.000157	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3227|CCB7E5E_003820-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3244|CC6B4BB_003225-T1	ambiguous_linkage	0.2222	0.65	2.17e-13	1.19e-09	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3244|CC6B4BB_003225-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3244|CC6B4BB_003228-T1	trans_unconfirmed	0.0	0.85	9.25e-19	9.31e-15	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3244|CC6B4BB_003228-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3246|C90A8A7_007649-T1	trans_unconfirmed	0.0	0.85	9.25e-19	9.31e-15	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3246|C90A8A7_007649-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3269|C180A32_008826-T1	ambiguous_linkage	0.0625	0.4	6.43e-08	9.06e-05	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3269|C180A32_008826-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3359|CD2AA35_005202-T1	trans_unconfirmed	0.0227	0.25	4.82e-05	0.0211	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3359|CD2AA35_005202-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3374|CBF548A_004884-T1	unexplained_physical	0.8824	0.5	5.48e-10	1.45e-06	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3374|CBF548A_004884-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	B3409|C7AB0B6_001831-T1	ambiguous_linkage	0.2647	0.55	4.45e-11	1.56e-07	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	B3409|C7AB0B6_001831-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	Beeville|C6949CF_004970-T1	trans_unconfirmed	0.0	0.5238	4.98e-10	1.34e-06	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	Beeville|C6949CF_004970-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	C735-TKO|C3548B0_006947-T1	trans_unconfirmed	0.0	0.4545	3.1e-08	4.82e-05	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	C735-TKO|C3548B0_006947-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA1|CEE9A5C_004228-T1	trans_unconfirmed	0.0	0.2857	1.3e-05	0.00759	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA1|CEE9A5C_004228-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	CA1|CEE9A5C_007071-T1	trans_unconfirmed	0.0	0.3043	5.62e-05	0.0235	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA1|CEE9A5C_007071-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA20|CB5CE50_004048-T1	trans_unconfirmed	0.0	0.3214	7.59e-05	0.0298	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA20|CB5CE50_004048-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA20|CB5CE50_007451-T1	trans_unconfirmed	0.0	0.2941	7.78e-05	0.0304	0.0001	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA20|CB5CE50_007451-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_001147-T1	trans_unconfirmed	0.0	0.4286	5.68e-08	8.11e-05	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_001147-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_002712-T1	trans_unconfirmed	0.0	0.4286	5.68e-08	8.11e-05	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_002712-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_007682-T1	trans_unconfirmed	0.0	0.3478	8.1e-06	0.00516	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_007682-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_007977-T1	trans_unconfirmed	0.0	0.25	4.82e-05	0.0211	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_007977-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_007978-T1	trans_unconfirmed	0.0	0.25	4.82e-05	0.0211	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_007978-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_008193-T1	trans_unconfirmed	0.0	0.3871	2.16e-06	0.00175	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_008193-T1	F42		shell		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_008239-T1	unexplained_physical	1.0	0.85	9.25e-19	9.31e-15	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_008239-T1	F42		cloud		0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_008329-T1	trans_unconfirmed	0.0	0.25	4.82e-05	0.0211	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_008329-T1	F42		cloud	DUF3435	0.0
730333_Guatemala|C537722_008849-T1	CA26|C27950D_008499-T1	trans_unconfirmed	0.0	0.25	4.82e-05	0.0211	0.0	ambiguous	{'Coccidioides immitis': 20}	0.2889	ambiguous	730333_Guatemala|C537722_008849-T1	CA26|C27950D_008499-T1	F42		cloud		0.0
