Short,Species,Strain,Group,TaxonGroup,Protein_Source,Protein_Accession,Taxon_ID,Genome_Source,Genome_Accession,GFF3_Source,GFF3_Accession
Asfu_H1215,Aspergillus fumigatus,H-1-21-5,INGROUP,,ncbi,GCA_020502245.1,746128,ncbi,GCA_020502245.1,,
Asfu_A345L2,Aspergillus fumigatus,A-3-45L-2,INGROUP,,ncbi,GCA_020502325.1,746128,ncbi,GCA_020502325.1,,
Asfu_A346s1,Aspergillus fumigatus,A-3-46s-1,INGROUP,,ncbi,GCA_020502335.1,746128,ncbi,GCA_020502335.1,,
Asfu_L2212,Aspergillus fumigatus,L-2-21-2,INGROUP,,ncbi,GCA_020502365.1,746128,ncbi,GCA_020502365.1,,
Asfu_L243,Aspergillus fumigatus,L-2-4-3,INGROUP,,ncbi,GCA_020502375.1,746128,ncbi,GCA_020502375.1,,
Asfu_L2241,Aspergillus fumigatus,L-2-24-1,INGROUP,,ncbi,GCA_020502385.1,746128,ncbi,GCA_020502385.1,,
Asfu_A343s1,Aspergillus fumigatus,A-3-43s-1,INGROUP,,ncbi,GCA_020502425.1,746128,ncbi,GCA_020502425.1,,
Asfu_A236s3,Aspergillus fumigatus,A-2-36s-3,INGROUP,,ncbi,GCA_020502435.1,746128,ncbi,GCA_020502435.1,,
Asfu_A235s1,Aspergillus fumigatus,A-2-35s-1,INGROUP,,ncbi,GCA_020502455.1,746128,ncbi,GCA_020502455.1,,
Asfu_C133L2,Aspergillus fumigatus,C-1-33L-2,INGROUP,,ncbi,GCA_020502485.1,746128,ncbi,GCA_020502485.1,,
Asfu_C140L2,Aspergillus fumigatus,C-1-40L-2,INGROUP,,ncbi,GCA_020502495.1,746128,ncbi,GCA_020502495.1,,
Asfu_E137L2,Aspergillus fumigatus,E-1-37L-2,INGROUP,,ncbi,GCA_020502525.1,746128,ncbi,GCA_020502525.1,,
Asfu_E1462,Aspergillus fumigatus,E-1-46-2,INGROUP,,ncbi,GCA_020502545.1,746128,ncbi,GCA_020502545.1,,
Asfu_C128L1,Aspergillus fumigatus,C-1-28L-1,INGROUP,,ncbi,GCA_020502575.1,746128,ncbi,GCA_020502575.1,,
Asfu_C130L1,Aspergillus fumigatus,C-1-30L-1,INGROUP,,ncbi,GCA_020502595.1,746128,ncbi,GCA_020502595.1,,
Asfu_C131s1,Aspergillus fumigatus,C-1-31s-1,INGROUP,,ncbi,GCA_020502605.1,746128,ncbi,GCA_020502605.1,,
Asfu_B1301,Aspergillus fumigatus,B-1-30-1,INGROUP,,ncbi,GCA_020502615.1,746128,ncbi,GCA_020502615.1,,
Asfu_H1152,Aspergillus fumigatus,H-1-15-2,INGROUP,,ncbi,GCA_020502625.1,746128,ncbi,GCA_020502625.1,,
Asfu_B1323,Aspergillus fumigatus,B-1-32-3,INGROUP,,ncbi,GCA_020502675.1,746128,ncbi,GCA_020502675.1,,
Asfu_D215L3,Aspergillus fumigatus,D-2-15L-3,INGROUP,,ncbi,GCA_020502695.1,746128,ncbi,GCA_020502695.1,,
Asfu_I122,Aspergillus fumigatus,I-1-2-2,INGROUP,,ncbi,GCA_020502705.1,746128,ncbi,GCA_020502705.1,,
Asfu_I124,Aspergillus fumigatus,I-1-2-4,INGROUP,,ncbi,GCA_020502715.1,746128,ncbi,GCA_020502715.1,,
Asfu_I1192,Aspergillus fumigatus,I-1-19-2,INGROUP,,ncbi,GCA_020502725.1,746128,ncbi,GCA_020502725.1,,
Asfu_I1321,Aspergillus fumigatus,I-1-32-1,INGROUP,,ncbi,GCA_020502875.1,746128,ncbi,GCA_020502875.1,,
Asfu_I1322,Aspergillus fumigatus,I-1-32-2,INGROUP,,ncbi,GCA_020502985.1,746128,ncbi,GCA_020502985.1,,
Asfu_I1224,Aspergillus fumigatus,I-1-22-4,INGROUP,,ncbi,GCA_020502995.1,746128,ncbi,GCA_020502995.1,,
Asfu_I1225,Aspergillus fumigatus,I-1-22-5,INGROUP,,ncbi,GCA_020503015.1,746128,ncbi,GCA_020503015.1,,
Asfu_I1121,Aspergillus fumigatus,I-1-12-1,INGROUP,,ncbi,GCA_020503055.1,746128,ncbi,GCA_020503055.1,,
Asfu_D226s1,Aspergillus fumigatus,D-2-26s-1,INGROUP,,ncbi,GCA_020503065.1,746128,ncbi,GCA_020503065.1,,
Asfu_I1251,Aspergillus fumigatus,I-1-25-1,INGROUP,,ncbi,GCA_020503085.1,746128,ncbi,GCA_020503085.1,,
Asfu_F13L1,Aspergillus fumigatus,F-1-3L-1,INGROUP,,ncbi,GCA_020503095.1,746128,ncbi,GCA_020503095.1,,
Asfu_F113L3,Aspergillus fumigatus,F-1-13L-3,INGROUP,,ncbi,GCA_020503105.1,746128,ncbi,GCA_020503105.1,,
Asfu_F133L2,Aspergillus fumigatus,F-1-33L-2,INGROUP,,ncbi,GCA_020503165.1,746128,ncbi,GCA_020503165.1,,
Asfu_C193s1,Aspergillus fumigatus,C-1-93s-1,INGROUP,,ncbi,GCA_020503175.1,746128,ncbi,GCA_020503175.1,,
Asfu_F113L1,Aspergillus fumigatus,F-1-13L-1,INGROUP,,ncbi,GCA_020503185.1,746128,ncbi,GCA_020503185.1,,
Asfu_K112L1,Aspergillus fumigatus,K-1-12L-1,INGROUP,,ncbi,GCA_020503195.1,746128,ncbi,GCA_020503195.1,,
Asfu_F14L1,Aspergillus fumigatus,F-1-4L-1,INGROUP,,ncbi,GCA_020503205.1,746128,ncbi,GCA_020503205.1,,
Asfu_K14s1_2,Aspergillus fumigatus,K-1-4s-1_2,INGROUP,,ncbi,GCA_020503245.1,746128,ncbi,GCA_020503245.1,,
Asfu_K124L1,Aspergillus fumigatus,K-1-24L-1,INGROUP,,ncbi,GCA_020503265.1,746128,ncbi,GCA_020503265.1,,
Asfu_F110L1,Aspergillus fumigatus,F-1-10L-1,INGROUP,,ncbi,GCA_020503275.1,746128,ncbi,GCA_020503275.1,,
Asfu_L2114,Aspergillus fumigatus,L-2-11-4,INGROUP,,ncbi,GCA_020503295.1,746128,ncbi,GCA_020503295.1,,
Asfu_L2112,Aspergillus fumigatus,L-2-11-2,INGROUP,,ncbi,GCA_020503305.1,746128,ncbi,GCA_020503305.1,,
Asfu_L2224,Aspergillus fumigatus,L-2-22-4,INGROUP,,ncbi,GCA_020503345.1,746128,ncbi,GCA_020503345.1,,
Asfu_L2163,Aspergillus fumigatus,L-2-16-3,INGROUP,,ncbi,GCA_020503365.1,746128,ncbi,GCA_020503365.1,,
Asfu_L2154,Aspergillus fumigatus,L-2-15-4,INGROUP,,ncbi,GCA_020503375.1,746128,ncbi,GCA_020503375.1,,
Asfu_L295,Aspergillus fumigatus,L-2-9-5,INGROUP,,ncbi,GCA_020503395.1,746128,ncbi,GCA_020503395.1,,
Asfu_L271,Aspergillus fumigatus,L-2-7-1,INGROUP,,ncbi,GCA_020503435.1,746128,ncbi,GCA_020503435.1,,
Asfu_L272,Aspergillus fumigatus,L-2-7-2,INGROUP,,ncbi,GCA_020503445.1,746128,ncbi,GCA_020503445.1,,
Asfu_L291,Aspergillus fumigatus,L-2-9-1,INGROUP,,ncbi,GCA_020503455.1,746128,ncbi,GCA_020503455.1,,
Asfu_L2171,Aspergillus fumigatus,L-2-17-1,INGROUP,,ncbi,GCA_020503465.1,746128,ncbi,GCA_020503465.1,,
Asfu_L2161,Aspergillus fumigatus,L-2-16-1,INGROUP,,ncbi,GCA_020503515.1,746128,ncbi,GCA_020503515.1,,
Asfu_K14s1,Aspergillus fumigatus,K-1-4s-1,INGROUP,,ncbi,GCA_020503535.1,746128,ncbi,GCA_020503535.1,,
Asfu_K13L4,Aspergillus fumigatus,K-1-3L-4,INGROUP,,ncbi,GCA_020503545.1,746128,ncbi,GCA_020503545.1,,
Asfu_K118L6,Aspergillus fumigatus,K-1-18L-6,INGROUP,,ncbi,GCA_020503555.1,746128,ncbi,GCA_020503555.1,,
Asfu_K18L1,Aspergillus fumigatus,K-1-8L-1,INGROUP,,ncbi,GCA_020503565.1,746128,ncbi,GCA_020503565.1,,
Asfu_K11L5,Aspergillus fumigatus,K-1-1L-5,INGROUP,,ncbi,GCA_020503595.1,746128,ncbi,GCA_020503595.1,,
Asfu_K132s1,Aspergillus fumigatus,K-1-32s-1,INGROUP,,ncbi,GCA_020503635.1,746128,ncbi,GCA_020503635.1,,
Asfu_D239L2,Aspergillus fumigatus,D-2-39L-2,INGROUP,,ncbi,GCA_020503645.1,746128,ncbi,GCA_020503645.1,,
Asfu_K118L3,Aspergillus fumigatus,K-1-18L-3,INGROUP,,ncbi,GCA_020503665.1,746128,ncbi,GCA_020503665.1,,
Asfu_K134L1,Aspergillus fumigatus,K-1-34L-1,INGROUP,,ncbi,GCA_020503705.1,746128,ncbi,GCA_020503705.1,,
Asfu_K13L2,Aspergillus fumigatus,K-1-3L-2,INGROUP,,ncbi,GCA_020503715.1,746128,ncbi,GCA_020503715.1,,
Asfu_A247s3,Aspergillus fumigatus,A-2-47s-3,INGROUP,,ncbi,GCA_020503725.1,746128,ncbi,GCA_020503725.1,,
Asfu_A247L2,Aspergillus fumigatus,A-2-47L-2,INGROUP,,ncbi,GCA_020503735.1,746128,ncbi,GCA_020503735.1,,
Asfu_A248s2,Aspergillus fumigatus,A-2-48s-2,INGROUP,,ncbi,GCA_020503745.1,746128,ncbi,GCA_020503745.1,,
Asfu_A227s1,Aspergillus fumigatus,A-2-27s-1,INGROUP,,ncbi,GCA_020503795.1,746128,ncbi,GCA_020503795.1,,
Asfu_D244L1,Aspergillus fumigatus,D-2-44L-1,INGROUP,,ncbi,GCA_020503805.1,746128,ncbi,GCA_020503805.1,,
Asfu_D243L1,Aspergillus fumigatus,D-2-43L-1,INGROUP,,ncbi,GCA_020503815.1,746128,ncbi,GCA_020503815.1,,
Asfu_A226s2,Aspergillus fumigatus,A-2-26s-2,INGROUP,,ncbi,GCA_020503825.1,746128,ncbi,GCA_020503825.1,,
Asfu_B173L1,Aspergillus fumigatus,B-1-73L-1,INGROUP,,ncbi,GCA_020503885.1,746128,ncbi,GCA_020503885.1,,
Asfu_B166L1,Aspergillus fumigatus,B-1-66L-1,INGROUP,,ncbi,GCA_020503895.1,746128,ncbi,GCA_020503895.1,,
Asfu_B178L1,Aspergillus fumigatus,B-1-78L-1,INGROUP,,ncbi,GCA_020503905.1,746128,ncbi,GCA_020503905.1,,
Asfu_C176s2,Aspergillus fumigatus,C-1-76s-2,INGROUP,,ncbi,GCA_020503915.1,746128,ncbi,GCA_020503915.1,,
Asfu_D232L1,Aspergillus fumigatus,D-2-32L-1,INGROUP,,ncbi,GCA_020503935.1,746128,ncbi,GCA_020503935.1,,
Asfu_C124L2,Aspergillus fumigatus,C-1-24L-2,INGROUP,,ncbi,GCA_020510485.1,746128,ncbi,GCA_020510485.1,,
Asfu_M200011028,Aspergillus fumigatus,M.20.0011028,INGROUP,,ncbi,GCA_029618165.1,746128,ncbi,GCA_029618165.1,,
Asfu_M200011027,Aspergillus fumigatus,M.20.0011027,INGROUP,,ncbi,GCA_029618175.1,746128,ncbi,GCA_029618175.1,,
Asfu_0030661546_AFU_2506,Aspergillus fumigatus,0030661546 AFU 25/06,INGROUP,,ncbi,GCA_029618185.1,746128,ncbi,GCA_029618185.1,,
Asfu_51TA,Aspergillus fumigatus,5.1TA,INGROUP,,ncbi,GCA_029618195.1,746128,ncbi,GCA_029618195.1,,
Asfu_070_0170BAL1,Aspergillus fumigatus,070 01-70-BAL-1,INGROUP,,ncbi,GCA_029618205.1,746128,ncbi,GCA_029618205.1,,
Asfu_0040673067_AFU_3006,Aspergillus fumigatus,0040673067 AFU 30/06,INGROUP,,ncbi,GCA_029618225.1,746128,ncbi,GCA_029618225.1,,
Asfu_0040668669_AFU_3006,Aspergillus fumigatus,0040668669 AFU 30/06,INGROUP,,ncbi,GCA_029618255.1,746128,ncbi,GCA_029618255.1,,
Asfu_0040675686_AFU_3006,Aspergillus fumigatus,0040675686 AFU 30/06,INGROUP,,ncbi,GCA_029618275.1,746128,ncbi,GCA_029618275.1,,
Asfu_0040679185_AFU_3006,Aspergillus fumigatus,0040679185 AFU 30/06,INGROUP,,ncbi,GCA_029618285.1,746128,ncbi,GCA_029618285.1,,
Asfu_0040676010_AFU_3006,Aspergillus fumigatus,0040676010 AFU 30/06,INGROUP,,ncbi,GCA_029618305.1,746128,ncbi,GCA_029618305.1,,
Asfu_0040676907_AFU_2506,Aspergillus fumigatus,0040676907 AFU 25/06,INGROUP,,ncbi,GCA_029618335.1,746128,ncbi,GCA_029618335.1,,
Asfu_AF1009B,Aspergillus fumigatus,AF100-9B,,DAPC_Clade_1,ncbi,GCA_040126065.1,746128,ncbi,GCA_040126065.1,,
Asfu_ATCC_42202,Aspergillus fumigatus,ATCC 42202,,DAPC_Clade_3,ncbi,GCA_040142845.1,746128,ncbi,GCA_040142845.1,,
Asfu_4710,Aspergillus fumigatus,47-10,INGROUP,,ncbi,GCA_040142855.1,746128,ncbi,GCA_040142855.1,,
Asfu_474,Aspergillus fumigatus,47-4,INGROUP,,ncbi,GCA_040142865.1,746128,ncbi,GCA_040142865.1,,
Asfu_08190230,Aspergillus fumigatus,08-19-02-30,,DAPC_Clade_1,ncbi,GCA_040142875.1,746128,ncbi,GCA_040142875.1,,
Asfu_ATCC_13073,Aspergillus fumigatus,ATCC 13073,,DAPC_Clade_3,ncbi,GCA_040142885.1,746128,ncbi,GCA_040142885.1,,
Asfu_B5233,Aspergillus fumigatus,B5233,,DAPC_Clade_3,ncbi,GCA_040142945.1,746128,ncbi,GCA_040142945.1,,
Asfu_ATCC_46645,Aspergillus fumigatus,ATCC 46645,,DAPC_Clade_2,ncbi,GCA_040142955.1,746128,ncbi,GCA_040142955.1,,
Asfu_H237,Aspergillus fumigatus,H237,,DAPC_Clade_3,ncbi,GCA_040142975.1,746128,ncbi,GCA_040142975.1,,
Asfu_W72310,Aspergillus fumigatus,W72310,INGROUP,,ncbi,GCA_040167795.1,746128,ncbi,GCA_040167795.1,,
Asfu_D141,Aspergillus fumigatus,D141,,DAPC_Clade_3,ncbi,GCA_040167805.1,746128,ncbi,GCA_040167805.1,,
Asfu_UD1,Aspergillus fumigatus,UD1,INGROUP,,ncbi,GCA_045820835.1,746128,ncbi,GCA_045820835.1,,
Asfu_AfB8,Aspergillus fumigatus,AfB8,INGROUP,,ncbi,GCA_046867075.2,746128,ncbi,GCA_046867075.2,,
Asfu_AfB2,Aspergillus fumigatus,AfB2,INGROUP,,ncbi,GCA_046867235.2,746128,ncbi,GCA_046867235.2,,
Asfu_AfB7,Aspergillus fumigatus,AfB7,INGROUP,,ncbi,GCA_046867255.2,746128,ncbi,GCA_046867255.2,,
Asfu_AfB6,Aspergillus fumigatus,AfB6,INGROUP,,ncbi,GCA_048595945.2,746128,ncbi,GCA_048595945.2,,
Asfu_eAF1023,Aspergillus fumigatus,eAF1023,INGROUP,,ncbi,GCA_058970245.1,746128,ncbi,GCA_058970245.1,,
Asfu_eAF1090,Aspergillus fumigatus,eAF1090,INGROUP,,ncbi,GCA_058972525.1,746128,ncbi,GCA_058972525.1,,
Asfu_eAF1436,Aspergillus fumigatus,eAF1436,INGROUP,,ncbi,GCA_058972625.1,746128,ncbi,GCA_058972625.1,,
Asfu_A1163,Aspergillus fumigatus,A1163,INGROUP,DAPC_Clade_1,ncbi,GCA_000150145.1,451804,ncbi,GCA_000150145.1,,
Asfu_Af293,Aspergillus fumigatus,Af293,INGROUP,DAPC_Clade_1,uniprot,UP000002530,330879,ncbi,GCA_000002655.1,,
Asfu_Z5,Aspergillus fumigatus,Z5,INGROUP,,ncbi,GCA_001029325.1,1437362,ncbi,GCA_001029325.1,,
